series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	BOTHSEX	NUMBER	Both	Number	2	1	0	1	0	0.5	2016	0	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	FEMALE	NUMBER	Female	Number	38	56	53	52	52	52	2016	52	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	MALE	NUMBER	Male	Number	141	218	224	207	201	204	2016	201	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	BOTHSEX	NUMBER	Both	Number	179	274	277	259	253	256	2016	253	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	FEMALE	NUMBER	Female	Number	695	781	694	758	793	775.5	2016	793	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	32	-65.14563274	-35.19446255	ARG	Argentina	2	MALE	NUMBER	Male	Number	2827	2759	2893	3075	3237	3156	2016	3237	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	32	-65.14563274	-35.19446255	ARG	Argentina	3	BOTHSEX	NUMBER	Both	Number	3522	3539	3587	3833	4030	3931.5	2016	4030	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	36	134.3499412	-25.57717202	AUS	Australia	1	FEMALE	NUMBER	Female	Number	586	605	702	856	844	850	2016	844	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	36	134.3499412	-25.57717202	AUS	Australia	2	MALE	NUMBER	Male	Number	1937	1881	2059	2417	2343	2380	2016	2343	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	36	134.3499412	-25.57717202	AUS	Australia	3	BOTHSEX	NUMBER	Both	Number	2522	2486	2761	3273	3187	3230	2016	3187	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	40	14.14172472	47.58704857	AUT	Austria	1	FEMALE	NUMBER	Female	Number	438	363	324	331	344	337.5	2016	344	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	40	14.14172472	47.58704857	AUT	Austria	2	MALE	NUMBER	Male	Number	1175	1067	1024	1056	1019	1037.5	2016	1019	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	40	14.14172472	47.58704857	AUT	Austria	3	BOTHSEX	NUMBER	Both	Number	1613	1430	1348	1387	1363	1375	2016	1363	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	FEMALE	NUMBER	Female	Number	1	1	1	1	1	1	2016	1	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	44	-78.05111663	24.69546597	BHS	Bahamas	2	MALE	NUMBER	Male	Number	5	6	6	6	6	6	2016	6	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	44	-78.05111663	24.69546597	BHS	Bahamas	3	BOTHSEX	NUMBER	Both	Number	6	7	7	7	7	7	2016	7	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	FEMALE	NUMBER	Female	Number	9	10	11	10	10	10	2016	10	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	48	50.5490754	26.04407747	BHR	Bahrain	2	MALE	NUMBER	Male	Number	36	53	54	70	74	72	2016	74	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	48	50.5490754	26.04407747	BHR	Bahrain	3	BOTHSEX	NUMBER	Both	Number	45	62	65	80	85	82.5	2016	85	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	FEMALE	NUMBER	Female	Number	4981	5760	6409	5944	5666	5805	2016	5666	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	50	89.17660788	22.86961622	BGD	Bangladesh	2	MALE	NUMBER	Male	Number	3827	3295	3334	3847	3878	3862.5	2016	3878	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	50	89.17660788	22.86961622	BGD	Bangladesh	3	BOTHSEX	NUMBER	Both	Number	8807	9055	9742	9791	9544	9667.5	2016	9544	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	51	44.93839317	40.29499741	ARM	Armenia	1	FEMALE	NUMBER	Female	Number	22	27	37	46	43	44.5	2016	43	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	51	44.93839317	40.29499741	ARM	Armenia	2	MALE	NUMBER	Male	Number	79	104	136	157	149	153	2016	149	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	51	44.93839317	40.29499741	ARM	Armenia	3	BOTHSEX	NUMBER	Both	Number	101	131	173	203	192	197.5	2016	192	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	FEMALE	NUMBER	Female	Number	1	5	2	1	1	1	2016	1	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	52	-59.5346489	13.13648273	BRB	Barbados	2	MALE	NUMBER	Male	Number	5	5	4	1	1	1	2016	1	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	52	-59.5346489	13.13648273	BRB	Barbados	3	BOTHSEX	NUMBER	Both	Number	6	10	6	2	2	2	2016	2	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	56	4.660976456	50.64104975	BEL	Belgium	1	FEMALE	NUMBER	Female	Number	735	651	757	771	798	784.5	2016	798	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	56	4.660976456	50.64104975	BEL	Belgium	2	MALE	NUMBER	Male	Number	1604	1584	1572	1496	1554	1525	2016	1554	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	56	4.660976456	50.64104975	BEL	Belgium	3	BOTHSEX	NUMBER	Both	Number	2339	2235	2328	2267	2351	2309	2016	2351	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	60	-64.78155012	32.27881922	BMU	Bermuda	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	60	-64.78155012	32.27881922	BMU	Bermuda	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	FEMALE	NUMBER	Female	Number	27	29	29	32	32	32	2016	32	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	64	90.45098484	27.39598568	BTN	Bhutan	2	MALE	NUMBER	Male	Number	44	51	52	59	59	59	2016	59	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	64	90.45098484	27.39598568	BTN	Bhutan	3	BOTHSEX	NUMBER	Both	Number	71	80	81	91	91	91	2016	91	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	FEMALE	NUMBER	Female	Number	528	520	515	472	467	469.5	2016	467	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	MALE	NUMBER	Male	Number	837	880	882	852	860	856	2016	860	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	BOTHSEX	NUMBER	Both	Number	1365	1401	1397	1325	1326	1325.5	2016	1326	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	FEMALE	NUMBER	Female	Number	85	72	62	67	65	66	2016	65	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	MALE	NUMBER	Male	Number	319	278	236	249	243	246	2016	243	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	BOTHSEX	NUMBER	Both	Number	404	350	298	315	308	311.5	2016	308	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	FEMALE	NUMBER	Female	Number	36	47	53	52	51	51.5	2016	51	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	72	23.81380223	-22.18810073	BWA	Botswana	2	MALE	NUMBER	Male	Number	168	186	171	162	158	160	2016	158	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	72	23.81380223	-22.18810073	BWA	Botswana	3	BOTHSEX	NUMBER	Both	Number	204	233	224	214	209	211.5	2016	209	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	FEMALE	NUMBER	Female	Number	1780	2341	2831	3307	3263	3285	2016	3263	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	76	-53.08432878	-10.77668561	BRA	Brazil	2	MALE	NUMBER	Male	Number	6579	7860	8418	10064	10203	10133.5	2016	10203	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	76	-53.08432878	-10.77668561	BRA	Brazil	3	BOTHSEX	NUMBER	Both	Number	8359	10201	11249	13371	13467	13419	2016	13467	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	FEMALE	NUMBER	Female	Number	2	3	3	3	3	3	2016	3	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	84	-88.70199554	17.19965901	BLZ	Belize	2	MALE	NUMBER	Male	Number	11	11	13	14	14	14	2016	14	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	84	-88.70199554	17.19965901	BLZ	Belize	3	BOTHSEX	NUMBER	Both	Number	14	14	16	17	17	17	2016	17	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	FEMALE	NUMBER	Female	Number	16	11	9	8	8	8	2016	8	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	MALE	NUMBER	Male	Number	31	25	21	21	21	21	2016	21	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	BOTHSEX	NUMBER	Both	Number	46	36	30	29	28	28.5	2016	28	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	FEMALE	NUMBER	Female	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	MALE	NUMBER	Male	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	BOTHSEX	NUMBER	Both	Number										
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	FEMALE	NUMBER	Female	Number	2	3	4	5	6	5.5	2016	6	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	MALE	NUMBER	Male	Number	7	9	11	13	14	13.5	2016	14	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_STA_SCIDEN	Number of deaths attributed to suicide, by sex (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	BOTHSEX	NUMBER	Both	Number	9	12	14	19	19	19	2016	19	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
