series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	20	1.576257417	42.54548611	AND	Andorra	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	20	1.576257417	42.54548611	AND	Andorra	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	20	1.576257417	42.54548611	AND	Andorra	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	20	1.576257417	42.54548611	AND	Andorra	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	24	17.57817062	-12.33724746	AGO	Angola	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	24	17.57817062	-12.33724746	AGO	Angola	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	24	17.57817062	-12.33724746	AGO	Angola	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	24	17.57817062	-12.33724746	AGO	Angola	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage		0		0	2015	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage		0		0	2015	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage		97.92		97.92	2015	97.92	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage		2.08		2.08	2015	2.08	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage			6.76	6.76	2016	6.76	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	32	-65.14563274	-35.19446255	ARG	Argentina	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage			2.9	2.9	2016	2.9	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	32	-65.14563274	-35.19446255	ARG	Argentina	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage			67.39	67.39	2016	67.39	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	32	-65.14563274	-35.19446255	ARG	Argentina	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage			21.98	21.98	2016	21.98	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	36	134.3499412	-25.57717202	AUS	Australia	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage			27.78	27.78	2016	27.78	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	36	134.3499412	-25.57717202	AUS	Australia	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage			0	0	2016	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	36	134.3499412	-25.57717202	AUS	Australia	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage			0	0	2016	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	36	134.3499412	-25.57717202	AUS	Australia	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage			0	0	2016	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	40	14.14172472	47.58704857	AUT	Austria	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage			1.19	1.19	2016	1.19	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	40	14.14172472	47.58704857	AUT	Austria	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage			0	0	2016	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	40	14.14172472	47.58704857	AUT	Austria	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage			7.51	7.51	2016	7.51	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	40	14.14172472	47.58704857	AUT	Austria	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage			28.06	28.06	2016	28.06	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	44	-78.05111663	24.69546597	BHS	Bahamas	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	44	-78.05111663	24.69546597	BHS	Bahamas	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	44	-78.05111663	24.69546597	BHS	Bahamas	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage		0		0	2015	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	48	50.5490754	26.04407747	BHR	Bahrain	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage		0		0	2015	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	48	50.5490754	26.04407747	BHR	Bahrain	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage		23.08		23.08	2015	23.08	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	48	50.5490754	26.04407747	BHR	Bahrain	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage		76.92		76.92	2015	76.92	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	50	89.17660788	22.86961622	BGD	Bangladesh	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	50	89.17660788	22.86961622	BGD	Bangladesh	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	50	89.17660788	22.86961622	BGD	Bangladesh	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	51	44.93839317	40.29499741	ARM	Armenia	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage		0		0	2015	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	51	44.93839317	40.29499741	ARM	Armenia	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage		20		20	2015	20	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	51	44.93839317	40.29499741	ARM	Armenia	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage		60		60	2015	60	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	51	44.93839317	40.29499741	ARM	Armenia	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage		20		20	2015	20	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	52	-59.5346489	13.13648273	BRB	Barbados	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	52	-59.5346489	13.13648273	BRB	Barbados	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	52	-59.5346489	13.13648273	BRB	Barbados	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	56	4.660976456	50.64104975	BEL	Belgium	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage			5.95	5.95	2016	5.95	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	56	4.660976456	50.64104975	BEL	Belgium	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage			0	0	2016	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	56	4.660976456	50.64104975	BEL	Belgium	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage			58.33	58.33	2016	58.33	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	56	4.660976456	50.64104975	BEL	Belgium	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage			47.62	47.62	2016	47.62	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	60	-64.78155012	32.27881922	BMU	Bermuda	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	60	-64.78155012	32.27881922	BMU	Bermuda	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	60	-64.78155012	32.27881922	BMU	Bermuda	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	64	90.45098484	27.39598568	BTN	Bhutan	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	64	90.45098484	27.39598568	BTN	Bhutan	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	64	90.45098484	27.39598568	BTN	Bhutan	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage			55.48	55.48	2016	55.48	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage			9.3	9.3	2016	9.3	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage			22.59	22.59	2016	22.59	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage			12.62	12.62	2016	12.62	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage			39.58	39.58	2016	39.58	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage			6.25	6.25	2016	6.25	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage			41.67	41.67	2016	41.67	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage			0	0	2016	0	GLOTIP Database	C
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	72	23.81380223	-22.18810073	BWA	Botswana	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	72	23.81380223	-22.18810073	BWA	Botswana	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	72	23.81380223	-22.18810073	BWA	Botswana	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	76	-53.08432878	-10.77668561	BRA	Brazil	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	76	-53.08432878	-10.77668561	BRA	Brazil	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	76	-53.08432878	-10.77668561	BRA	Brazil	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	84	-88.70199554	17.19965901	BLZ	Belize	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	84	-88.70199554	17.19965901	BLZ	Belize	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	84	-88.70199554	17.19965901	BLZ	Belize	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	<15Y	MALE	PERCENT	under 15 years old	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	4	15+	MALE	PERCENT	15 years old and over	Male	Percentage								
2018.Q2.G.01	VC_VAW_DIST	Age and sex distribution of detected victims of trafficking in persons (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	<15Y	FEMALE	PERCENT	under 15 years old	Female	Percentage			6.49	6.49	2016	6.49	GLOTIP Database	C
