"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","",""
"21","Northern America","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","",""
"29","Caribbean","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","1.89087","1.9732","3.71603","7.63377","22.44471","2.49706","6.00987","6.61961","7.57323","7.97445","5.42727",2016.0,"5.42727","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"30","Eastern Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","14.94874","18.19684","35.80657","242.3437","282.22535","304.34343","115.443","44.78821","43.62647","29.02992","25.31014",2016.0,"25.31014","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"34","Southern Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","17.71614","17.79046","38.10561","71.57914","84.46161","90.41046","96.18093","108.65812","92.52506","82.3676","60.97755",2016.0,"60.97755","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"35","South-Eastern Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","114.39123","119.23104","85.04989","163.27506","200.37943","199.95133","198.73016","224.43456","234.7699","177.97028","152.4592",2016.0,"152.4592","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"39","Southern Europe","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","4.15089","3.36901","6.00713","8.57407","8.44103","8.10059","8.49416","14.69633","13.22171","13.18918","14.13923",2016.0,"14.13923","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"53","Australia and New Zealand","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","",""
"54","Melanesia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","26.90717","21.23359","19.32179","32.25795","30.18365","33.06051","29.95107","42.17777","35.989","43.01798","39.51907",2016.0,"39.51907","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"57","Micronesia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","3.77329","2.79043","4.57704","4.94572","6.50728","5.28422","4.43496","3.05903","3.03744","4.09894","3.81007",2016.0,"3.81007","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"61","Polynesia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","6.05899","4.68264","4.27069","9.60503","9.40231","10.26865","10.62013","12.35769","11.74211","11.29823","10.70155",2016.0,"10.70155","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"62","Central and Southern Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","",""
"97","European Union","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","16.6391","15.61804","24.41424","55.30632","62.62395","71.12058","77.87723","86.91717","75.13673","66.89384","50.41885",2016.0,"50.41885","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"135","Caucasus and Central Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","4.66821","5.51367","11.48676","15.88763","16.88359","22.3596","19.5713","26.93119","23.83732","21.94985","21.91955",2016.0,"21.91955","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"142","Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","175.33458","324.27502","343.57701","522.17934","624.78546","646.22036","462.53397","438.11731","424.75939","348.36226","311.55102",2016.0,"311.55102","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"143","Central Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","3.59877","4.46861","8.59627","10.42096","11.99247","16.73951","14.48858","14.53462","13.90999","13.20485","13.01745",2016.0,"13.01745","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"145","Western Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","24.67971","164.58807","176.01867","34.56049","45.72659","34.77563","37.69131","45.7018","39.92797","45.7896","59.78668",2016.0,"59.78668","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"150","Europe","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","5.72602","4.8559","12.46009","17.10899","16.29321","17.2416","20.13911","33.51248","48.70874","53.43772","52.92462",2016.0,"52.92462","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"151","Eastern Europe","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","1.57513","1.48689","6.45297","8.53492","7.85217","9.14102","11.64494","18.81615","35.48703","40.24854","38.78539",2016.0,"38.78539","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"154","Northern Europe","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","",""
"155","Western Europe","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","",""
"158","Other non-specified areas","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","64.31282","71.35248","89.17475","148.00504","186.96263","144.78803","153.52423","193.80754","179.96547","173.7752","150.50738",2016.0,"150.50738","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"202","Sub-Saharan Africa","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.b","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries","4.b.1","Volume of official development assistance flows for scholarships by sector and type of study","1","DC_TOF_SCHIPSL","Total official flows for scholarships, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","33.99405","41.11594","67.53794","95.22854","106.03074","77.49971","88.29544","133.492","112.20888","130.92904","113.01651",2016.0,"113.01651","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
