series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Bounds	Units description	Bounds description	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	12	2.678164227	28.15940032	DZA	Algeria	3	INDEX	UB	Index	Upper bound	0.91096	0.91026	0.90979	0.90917	0.90882	0.90845	0.90825	0.90807	0.90786	0.90758	0.90721	0.90682	0.90641	0.9062	0.90605	0.90595	0.9059	0.90614	0.90642	0.90664	0.90681	0.90718	0.90727	0.90774	0.90779	0.90829	0.907654	2018	0.90829	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	16	-170.7187269	-14.30587306	ASM	American Samoa	1	INDEX	LB	Index	Lower bound	0.85587	0.85794	0.85894	0.86014	0.86151	0.85732	0.85708	0.85439	0.85349	0.84678	0.84038	0.84002	0.8358	0.82864	0.825	0.8225	0.81679	0.81333	0.80139	0.7998	0.7953	0.7908	0.77605	0.77143	0.76693	0.75945	0.772932	2018	0.75945	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	16	-170.7187269	-14.30587306	ASM	American Samoa	2	INDEX	MP	Index	P	0.8821	0.88366	0.88374	0.88263	0.88189	0.88016	0.87768	0.87624	0.87288	0.87045	0.86759	0.86496	0.86264	0.86172	0.85973	0.8568	0.85522	0.85369	0.85266	0.84957	0.84715	0.84414	0.84291	0.83911	0.83705	0.83591	0.839824	2018	0.83591	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	16	-170.7187269	-14.30587306	ASM	American Samoa	3	INDEX	UB	Index	Upper bound	0.90519	0.9039	0.90374	0.90128	0.90046	0.89803	0.89478	0.89369	0.89022	0.887	0.88542	0.88358	0.88205	0.88172	0.88109	0.88192	0.88157	0.88252	0.88157	0.88517	0.88767	0.88882	0.88731	0.89262	0.8932	0.89834	0.892058	2018	0.89834	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	20	1.576257417	42.54548611	AND	Andorra	1	INDEX	LB	Index	Lower bound	0.92401	0.9236	0.92321	0.92279	0.92238	0.92196	0.92142	0.92087	0.92033	0.91979	0.91969	0.91965	0.9196	0.91956	0.91949	0.91943	0.91937	0.91928	0.91927	0.91923	0.91913	0.91905	0.919	0.91885	0.91884	0.91872	0.918892	2018	0.91872	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	20	1.576257417	42.54548611	AND	Andorra	2	INDEX	MP	Index	P	0.92441	0.92432	0.92399	0.92358	0.92316	0.92275	0.92233	0.92187	0.92133	0.92083	0.92028	0.91979	0.91974	0.91965	0.9196	0.91958	0.91956	0.91956	0.91953	0.91949	0.91947	0.91942	0.91937	0.91932	0.91926	0.91922	0.919318	2018	0.91922	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	20	1.576257417	42.54548611	AND	Andorra	3	INDEX	UB	Index	Upper bound	0.92466	0.92454	0.92446	0.92437	0.92395	0.92353	0.92312	0.9227	0.92228	0.92187	0.92133	0.92078	0.92024	0.91974	0.91969	0.91968	0.91969	0.91969	0.91966	0.91968	0.91969	0.9197	0.9197	0.9197	0.91971	0.91971	0.919704	2018	0.91971	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	24	17.57817062	-12.33724746	AGO	Angola	1	INDEX	LB	Index	Lower bound	0.93204	0.9323	0.93247	0.93289	0.93327	0.93324	0.93341	0.93351	0.93371	0.93372	0.93359	0.93344	0.93307	0.9329	0.93263	0.93227	0.93205	0.93153	0.93087	0.93071	0.93005	0.93004	0.92959	0.92911	0.92896	0.92853	0.929246	2018	0.92853	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	24	17.57817062	-12.33724746	AGO	Angola	2	INDEX	MP	Index	P	0.93712	0.93702	0.93691	0.9368	0.93676	0.93668	0.93653	0.93647	0.93635	0.93634	0.93623	0.93626	0.9362	0.93625	0.93623	0.93618	0.93616	0.93605	0.93606	0.93589	0.93599	0.93593	0.93594	0.93592	0.93589	0.93592	0.93592	2018	0.93592	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	24	17.57817062	-12.33724746	AGO	Angola	3	INDEX	UB	Index	Upper bound	0.93892	0.93856	0.93831	0.938	0.93791	0.93786	0.9378	0.93776	0.93774	0.9377	0.93765	0.9376	0.93756	0.93754	0.93753	0.93754	0.93765	0.9379	0.93807	0.93822	0.93855	0.9389	0.93897	0.93928	0.93964	0.93998	0.939354	2018	0.93998	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	INDEX	LB	Index	Lower bound	0.93252	0.93222	0.93096	0.92997	0.92834	0.92599	0.9249	0.92252	0.92046	0.9185	0.91598	0.91319	0.91035	0.90868	0.90485	0.90153	0.8988	0.89505	0.89099	0.88756	0.88241	0.87956	0.87518	0.87012	0.8692	0.86359	0.87153	2018	0.86359	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	INDEX	MP	Index	P	0.94113	0.94032	0.93906	0.93717	0.93556	0.93322	0.93104	0.92848	0.92642	0.92401	0.92191	0.91971	0.91734	0.91545	0.91316	0.91075	0.90829	0.90632	0.90392	0.90168	0.89918	0.89726	0.8947	0.89265	0.8907	0.88819	0.8927	2018	0.88819	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	INDEX	UB	Index	Upper bound	0.94663	0.94532	0.94387	0.9425	0.94073	0.9385	0.93645	0.93398	0.93131	0.92942	0.92766	0.92489	0.92293	0.9208	0.91911	0.91738	0.91678	0.91524	0.91446	0.91341	0.91298	0.91271	0.91158	0.91124	0.91105	0.9107	0.911456	2018	0.9107	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	31	50.01064725	40.39229544	AZE	Azerbaijan	1	INDEX	LB	Index	Lower bound	0.88802	0.89074	0.89032	0.89344	0.89555	0.89579	0.89628	0.89584	0.89622	0.89634	0.89587	0.89306	0.89171	0.88794	0.88457	0.88318	0.87972	0.878	0.87453	0.87255	0.87057	0.86793	0.86732	0.86298	0.85852	0.85746	0.862842	2018	0.85746	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	31	50.01064725	40.39229544	AZE	Azerbaijan	2	INDEX	MP	Index	P	0.91773	0.91771	0.91756	0.91695	0.91618	0.91545	0.9146	0.91412	0.91316	0.91316	0.91282	0.91214	0.91178	0.91092	0.91018	0.90969	0.90989	0.90988	0.90975	0.90987	0.91009	0.90982	0.91001	0.90998	0.90998	0.91001	0.90996	2018	0.91001	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	31	50.01064725	40.39229544	AZE	Azerbaijan	3	INDEX	UB	Index	Upper bound	0.92629	0.92497	0.92338	0.92154	0.9211	0.92102	0.92092	0.92064	0.9205	0.92037	0.9202	0.91988	0.91983	0.91889	0.91857	0.91774	0.91742	0.91873	0.9204	0.9218	0.92289	0.92508	0.92626	0.92849	0.93019	0.93183	0.92837	2018	0.93183	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	32	-65.14563274	-35.19446255	ARG	Argentina	1	INDEX	LB	Index	Lower bound	0.85973	0.85996	0.85985	0.85985	0.85981	0.85938	0.85905	0.85886	0.85845	0.85795	0.85738	0.85654	0.8561	0.85569	0.85447	0.85353	0.85274	0.85185	0.85052	0.84991	0.84903	0.84778	0.84637	0.84568	0.84459	0.84366	0.845616	2018	0.84366	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	32	-65.14563274	-35.19446255	ARG	Argentina	2	INDEX	MP	Index	P	0.8675	0.86722	0.86697	0.86652	0.86613	0.8659	0.86573	0.86546	0.8651	0.86475	0.8644	0.86415	0.86378	0.86327	0.86319	0.86272	0.86251	0.86228	0.86199	0.86178	0.86153	0.86141	0.86128	0.86089	0.8608	0.86046	0.860968	2018	0.86046	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	32	-65.14563274	-35.19446255	ARG	Argentina	3	INDEX	UB	Index	Upper bound	0.87396	0.87358	0.87313	0.87235	0.87211	0.87177	0.87118	0.87081	0.87052	0.87027	0.87033	0.87021	0.87012	0.86981	0.87005	0.86996	0.87019	0.87035	0.87046	0.87112	0.87153	0.87161	0.8719	0.8729	0.87302	0.87348	0.872582	2018	0.87348	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	36	134.3499412	-25.57717202	AUS	Australia	1	INDEX	LB	Index	Lower bound	0.89318	0.89226	0.8906	0.88768	0.88467	0.88155	0.87821	0.8751	0.87204	0.86885	0.86549	0.86225	0.8594	0.85589	0.85219	0.84753	0.84432	0.8399	0.83404	0.82866	0.82417	0.81944	0.81407	0.80749	0.79919	0.79544	0.807126	2018	0.79544	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	36	134.3499412	-25.57717202	AUS	Australia	2	INDEX	MP	Index	P	0.89616	0.89529	0.89403	0.89233	0.89032	0.88692	0.88385	0.88082	0.87773	0.87482	0.87131	0.86833	0.86499	0.86141	0.859	0.85587	0.85281	0.85012	0.84652	0.84365	0.84089	0.83688	0.83429	0.83132	0.82771	0.82413	0.830866	2018	0.82413	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	36	134.3499412	-25.57717202	AUS	Australia	3	INDEX	UB	Index	Upper bound	0.89907	0.89772	0.89688	0.89536	0.89427	0.89222	0.88962	0.8866	0.88325	0.88004	0.87696	0.87393	0.87052	0.86767	0.86423	0.86155	0.85852	0.85616	0.85415	0.85329	0.8522	0.85151	0.85099	0.8498	0.84938	0.84816	0.849968	2018	0.84816	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	40	14.14172472	47.58704857	AUT	Austria	1	INDEX	LB	Index	Lower bound	0.897	0.89676	0.89649	0.89623	0.89595	0.89565	0.89564	0.89564	0.89563	0.89563	0.89566	0.89568	0.89573	0.89577	0.89579	0.89582	0.89585	0.89587	0.89587	0.89587	0.89587	0.89587	0.89588	0.89588	0.89589	0.8959	0.895884	2018	0.8959	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	40	14.14172472	47.58704857	AUT	Austria	2	INDEX	MP	Index	P	0.89737	0.89733	0.89715	0.89686	0.8966	0.89629	0.89606	0.89581	0.89577	0.89577	0.89577	0.89579	0.89581	0.89584	0.89587	0.8959	0.89592	0.89595	0.89598	0.89602	0.89605	0.89609	0.89613	0.89617	0.8962	0.89623	0.896164	2018	0.89623	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	40	14.14172472	47.58704857	AUT	Austria	3	INDEX	UB	Index	Upper bound	0.89747	0.89748	0.89751	0.89751	0.89725	0.89698	0.89672	0.89643	0.89616	0.89589	0.89592	0.89588	0.89588	0.89591	0.89596	0.896	0.89606	0.8961	0.89616	0.89621	0.89628	0.89635	0.89641	0.89646	0.89654	0.89661	0.896474	2018	0.89661	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	44	-78.05111663	24.69546597	BHS	Bahamas	1	INDEX	LB	Index	Lower bound	0.72217	0.72253	0.72216	0.72156	0.72086	0.71992	0.71883	0.7178	0.71692	0.71549	0.71431	0.71332	0.71172	0.71074	0.70921	0.70748	0.70592	0.70407	0.7023	0.69934	0.69756	0.69548	0.69299	0.6914	0.68979	0.68721	0.691374	2018	0.68721	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	44	-78.05111663	24.69546597	BHS	Bahamas	2	INDEX	MP	Index	P	0.72617	0.72616	0.72593	0.72522	0.72472	0.72358	0.72268	0.72138	0.72031	0.71912	0.71811	0.71711	0.71617	0.71503	0.71373	0.7129	0.71197	0.71088	0.70984	0.70865	0.70755	0.70618	0.70554	0.70471	0.70338	0.70231	0.704424	2018	0.70231	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	44	-78.05111663	24.69546597	BHS	Bahamas	3	INDEX	UB	Index	Upper bound	0.72908	0.72885	0.7286	0.72844	0.72793	0.72742	0.72594	0.72503	0.72372	0.72261	0.72123	0.7206	0.7196	0.71865	0.71754	0.71652	0.71575	0.71552	0.71511	0.71481	0.71482	0.71484	0.71518	0.71502	0.71495	0.71531	0.71506	2018	0.71531	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	48	50.5490754	26.04407747	BHR	Bahrain	1	INDEX	LB	Index	Lower bound	0.89735	0.8982	0.89725	0.89664	0.89349	0.89173	0.89002	0.88633	0.88414	0.88172	0.87863	0.87483	0.87128	0.86907	0.86623	0.8625	0.85703	0.8507	0.84839	0.84224	0.83748	0.8329	0.82692	0.82163	0.81803	0.81334	0.822564	2018	0.81334	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	48	50.5490754	26.04407747	BHR	Bahrain	2	INDEX	MP	Index	P	0.91114	0.91072	0.90932	0.90718	0.90527	0.90242	0.89914	0.89621	0.89366	0.8902	0.88733	0.88428	0.88223	0.87887	0.87632	0.87383	0.8708	0.86869	0.86543	0.86315	0.86036	0.85768	0.85538	0.85283	0.84923	0.84635	0.852294	2018	0.84635	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	48	50.5490754	26.04407747	BHR	Bahrain	3	INDEX	UB	Index	Upper bound	0.9166	0.91544	0.91414	0.91345	0.91269	0.91126	0.90835	0.90516	0.90169	0.89794	0.89663	0.89368	0.89075	0.88766	0.88525	0.88183	0.87957	0.87719	0.87671	0.87614	0.8766	0.87583	0.87573	0.8759	0.87654	0.8755	0.8759	2018	0.8755	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	50	89.17660788	22.86961622	BGD	Bangladesh	1	INDEX	LB	Index	Lower bound	0.84731	0.84703	0.84631	0.84203	0.83677	0.83353	0.82896	0.82524	0.82059	0.8164	0.80977	0.80594	0.80083	0.79942	0.7919	0.78602	0.78011	0.77539	0.76826	0.76379	0.75614	0.74836	0.74286	0.73412	0.72464	0.72163	0.734322	2018	0.72163	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	50	89.17660788	22.86961622	BGD	Bangladesh	2	INDEX	MP	Index	P	0.85196	0.85155	0.85117	0.84979	0.8462	0.84269	0.83884	0.8347	0.82991	0.82559	0.82173	0.8184	0.813	0.8091	0.80435	0.80238	0.79816	0.79385	0.78937	0.78634	0.78148	0.77857	0.77356	0.7686	0.7657	0.76176	0.769638	2018	0.76176	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2018.Q2.G.01	ER_RSK_LSTI	Red List Index	50	89.17660788	22.86961622	BGD	Bangladesh	3	INDEX	UB	Index	Upper bound	0.85295	0.8525	0.8521	0.8516	0.85108	0.85065	0.84654	0.84264	0.83891	0.83493	0.83119	0.8272	0.82329	0.81937	0.81515	0.81109	0.80734	0.80372	0.80194	0.80079	0.80014	0.79946	0.79862	0.79779	0.79678	0.7977	0.79807	2018	0.7977	BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
