series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Location	Units	Location description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	12	2.678164227	28.15940032	DZA	Algeria	2	URBAN	PERCENT	Urban	Percentage	99.9	99.84	99.78	99.72	99.66	99.61	99.56	99.53	100	99.51	99.51	99.51	99.26	99.55	99.58	99.61	99.63	99.526	2016	99.63	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	12	2.678164227	28.15940032	DZA	Algeria	3	RURAL	PERCENT	Rural	Percentage	97.57	97.56	97.52	97.47	97.42	97.37	97.33	97.33	97.91	97.46	97.59	97.77	97.86	98.19	98.43	98.69	98.96	98.426	2016	98.96	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	20	1.576257417	42.54548611	AND	Andorra	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	20	1.576257417	42.54548611	AND	Andorra	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	20	1.576257417	42.54548611	AND	Andorra	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAREA	PERCENT	All areas	Percentage	22.84	20	24.94	25.97	27.01	28.05	29.1	37.5	31.27	32.38	33.51	34.6	35.82	36.99	32	42	40.52	37.466	2016	40.52	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	24	17.57817062	-12.33724746	AGO	Angola	2	URBAN	PERCENT	Urban	Percentage	41.07	30	44.69	46.5	48.31	50.12	51.95	66.1	55.63	57.5	59.37	82.5	63.14	65.03	51	64	70.73	62.78	2016	70.73	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	24	17.57817062	-12.33724746	AGO	Angola	3	RURAL	PERCENT	Rural	Percentage	14.1	4	14.81	15.1	15.34	15.54	15.72	8.8	16.01	16.12	16.21	5.5	16.28	16.27	3	7	15.98	11.706	2016	15.98	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAREA	PERCENT	All areas	Percentage	90.07	90.48	90.87	91.25	91.64	92.2	92.43	92.86	93.3	93.76	94.25	94.55	95.25	95.77	96.3	96.83	97.35	96.3	2016	97.35	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	URBAN	PERCENT	Urban	Percentage	100	100	100	99.99	99.97	99.94	99.92	99.91	99.91	99.92	99.94	99.96	99.99	100	100	100	100	99.998	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	RURAL	PERCENT	Rural	Percentage	85.37	86.05	86.75	87.43	88.1	89	89.43	90.11	90.8	91.51	92.22	92.68	93.67	94.39	95.12	95.84	96.55	95.114	2016	96.55	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAREA	PERCENT	All areas	Percentage	98.91	98.59	100	98.9	99.05	99.21	99.5	99.56	99.74	99.88	99.97	99.9	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	URBAN	PERCENT	Urban	Percentage	99.7	99.52	99.56	99.6	99.64	99.69	99.8	99.81	99.88	99.94	99.98	99.9	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	RURAL	PERCENT	Rural	Percentage	97.82	97.6	100	98.15	98.41	98.69	99	99.29	99.59	99.82	99.95	99.9	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAREA	PERCENT	All areas	Percentage	95.1	95.51	95.8	96.13	96.47	96.81	97.17	97.54	97.93	98.36	98.82	99.22	99.58	99.84	99.96	100	100	99.876	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	32	-65.14563274	-35.19446255	ARG	Argentina	2	URBAN	PERCENT	Urban	Percentage	95.1	95.51	95.8	96.13	96.47	96.81	97.17	97.54	97.93	98.36	98.82	99.22	99.58	99.84	99.96	100	100	99.876	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	32	-65.14563274	-35.19446255	ARG	Argentina	3	RURAL	PERCENT	Rural	Percentage	95.1	95.51	95.8	96.13	96.47	96.81	97.17	97.54	97.93	98.36	98.82	99.22	99.58	99.84	99.96	100	100	99.876	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	36	134.3499412	-25.57717202	AUS	Australia	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	36	134.3499412	-25.57717202	AUS	Australia	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	40	14.14172472	47.58704857	AUT	Austria	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	40	14.14172472	47.58704857	AUT	Austria	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	40	14.14172472	47.58704857	AUT	Austria	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAREA	PERCENT	All areas	Percentage	95.61	96.07	96.39	96.76	97.13	97.51	97.9	98.33	98.75	99.18	99.56	99.83	99.96	99.99	100	100	100	99.99	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	44	-78.05111663	24.69546597	BHS	Bahamas	2	URBAN	PERCENT	Urban	Percentage	95.77	96.07	96.26	96.5	96.75	97	97.26	97.54	97.82	98.13	98.44	98.76	99.08	99.4	99.68	99.87	100	99.606	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	44	-78.05111663	24.69546597	BHS	Bahamas	3	RURAL	PERCENT	Rural	Percentage	94.92	96.07	96.97	97.94	98.9	99.87	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAREA	PERCENT	All areas	Percentage		100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	48	50.5490754	26.04407747	BHR	Bahrain	2	URBAN	PERCENT	Urban	Percentage		100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	48	50.5490754	26.04407747	BHR	Bahrain	3	RURAL	PERCENT	Rural	Percentage		100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAREA	PERCENT	All areas	Percentage	32	35	37.31	39.61	40.6	44.23	50.53	46.5	51.25	53.63	55.26	59.6	60.88	61.5	62.4	68.2	75.92	65.78	2016	75.92	Source: Global Tracking Framework 2018	G
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	50	89.17660788	22.86961622	BGD	Bangladesh	2	URBAN	PERCENT	Urban	Percentage	81.2	77.55	78.57	79.59	76.6	82.61	77.8	82.1	84.81	85.88	90.1	90.2	89.17	88	90.7	92.51	94.01	90.878	2016	94.01	Source: Global Tracking Framework 2018	G
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	50	89.17660788	22.86961622	BGD	Bangladesh	3	RURAL	PERCENT	Rural	Percentage	20.5	21.49	23.73	25.98	30.4	31.19	38.85	36.6	37.57	40	42.49	49.3	47.57	54.2	51.4	55.53	68.85	55.51	2016	68.85	Source: Global Tracking Framework 2018	G
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAREA	PERCENT	All areas	Percentage	98.9	100	98	99.15	99.18	99.8	99.27	99.33	99.42	99.52	99.8	99.77	99.88	99.95	99.99	100	100	99.964	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	51	44.93839317	40.29499741	ARM	Armenia	2	URBAN	PERCENT	Urban	Percentage	99.1	99.26	99.29	99.32	99.36	99.9	99.45	99.51	99.58	99.67	99.7	99.86	99.93	99.98	100	100	100	99.982	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	51	44.93839317	40.29499741	ARM	Armenia	3	RURAL	PERCENT	Rural	Percentage	98.6	100	95.68	98.84	98.86	99.7	98.94	99.01	99.12	99.26	99.8	99.61	99.79	99.91	99.98	100	100	99.936	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	52	-59.5346489	13.13648273	BRB	Barbados	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	52	-59.5346489	13.13648273	BRB	Barbados	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	56	4.660976456	50.64104975	BEL	Belgium	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	56	4.660976456	50.64104975	BEL	Belgium	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAREA	PERCENT	All areas	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	60	-64.78155012	32.27881922	BMU	Bermuda	2	URBAN	PERCENT	Urban	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	60	-64.78155012	32.27881922	BMU	Bermuda	3	RURAL	PERCENT	Rural	Percentage	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAREA	PERCENT	All areas	Percentage	34.92	39.31	43.68	41.1	52.42	59.81	61.18	71.8	70.01	74.46	73.28	83.41	91.5	92.4	96.91	98.42	100	95.846	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	64	90.45098484	27.39598568	BTN	Bhutan	2	URBAN	PERCENT	Urban	Percentage	96.26	96.53	96.79	97.4	97.33	96.78	97.88	98.73	98.49	98.81	99.31	99.45	99.6	99.89	99.97	100	100	99.892	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	64	90.45098484	27.39598568	BTN	Bhutan	3	RURAL	PERCENT	Rural	Percentage	14.01	18.7	23.47	24.5	33.33	43.68	44.14	60.3	55.84	61.92	62.43	74.55	87.3	87.98	95.04	97.43	100	93.55	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAREA	PERCENT	All areas	Percentage	69.96	69.26	64	72.3	76.05	68.29	76.21	80.16	84.67	86.77	84.29	88.34	90.39	89.51	90.04	91.52	93.04	90.9	2016	93.04	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	URBAN	PERCENT	Urban	Percentage	95.81	94.21	88.58	94	96.21	89.92	95.17	98.2	99.23	98.87	97.61	99.08	99.23	99.52	99.31	99.46	99.31	99.366	2016	99.31	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	RURAL	PERCENT	Rural	Percentage	24.93	28.4	22.96	35.7	40.62	28.9	44.02	46.56	56.14	63.5	57.95	66.62	72.46	69.34	71.47	74.95	79.15	73.474	2016	79.15	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAREA	PERCENT	All areas	Percentage	98.77	99.4	98.5	99.05	99.13	99.22	99.39	99.7	99.58	99.73	99.86	99.71	99.99	100	100	100	100	99.998	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	URBAN	PERCENT	Urban	Percentage	99.02	99.1	99.3	99.24	99.32	99.4	99.71	99.59	99.7	99.82	99.91	99.76	99.99	100	100	100	100	99.998	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	RURAL	PERCENT	Rural	Percentage	98.6	99.6	97.7	98.92	99.01	99.11	99.19	99.77	99.5	99.67	99.82	99.67	99.98	100	100	100	100	99.996	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAREA	PERCENT	All areas	Percentage	27.31	24.8	31.36	33.38	35.4	37.42	39.46	41.51	43.1	45.68	47.79	53.24	52.06	54.21	56.37	58.53	60.69	56.372	2016	60.69	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	72	23.81380223	-22.18810073	BWA	Botswana	2	URBAN	PERCENT	Urban	Percentage	38.45	37	43.27	45.67	48.08	50.49	52.92	55.35	57.1	60.26	62.73	69.13	67.7	70.19	72.69	75.19	77.68	72.69	2016	77.68	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	72	23.81380223	-22.18810073	BWA	Botswana	3	RURAL	PERCENT	Rural	Percentage	14.62	8.1	17.18	18.6	20	21.39	22.8	24.21	42.9	27.12	28.6	23.87	31.59	33.09	34.57	36.04	37.49	34.556	2016	37.49	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAREA	PERCENT	All areas	Percentage	94.47	96.02	96.65	96.98	96.77	97.09	97.59	98.13	98.53	98.86	98.88	99.33	99.52	99.58	99.65	99.71	100	99.692	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	76	-53.08432878	-10.77668561	BRA	Brazil	2	URBAN	PERCENT	Urban	Percentage	99	99.22	99.43	99.5	99.59	99.63	99.71	99.78	99.82	99.85	99.83	99.9	99.93	99.94	99.95	99.96	100	99.956	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	76	-53.08432878	-10.77668561	BRA	Brazil	3	RURAL	PERCENT	Rural	Percentage	74.9	77.63	80.18	81.92	81.51	83.47	86.07	89.07	91.4	93.33	93.76	95.78	97.02	97.29	97.84	98.24	100	98.078	2016	100	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAREA	PERCENT	All areas	Percentage	89.84	89.94	90.03	90.1	90.18	90.27	90.99	90.48	90.62	90.77	89.92	91.68	91.34	91.55	91.77	91.8	92.21	91.734	2016	92.21	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	84	-88.70199554	17.19965901	BLZ	Belize	2	URBAN	PERCENT	Urban	Percentage	97.69	97.61	97.52	97.44	97.36	97.28	98.07	97.16	97.11	97.08	97	96.31	97.05	97.05	97.06	96.9	97.07	97.026	2016	97.07	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	84	-88.70199554	17.19965901	BLZ	Belize	3	RURAL	PERCENT	Rural	Percentage	82.7	83.04	83.35	83.64	83.93	84.22	82.78	84.84	85.19	85.56	83.04	87.22	86.77	87.18	87.6	87.5	88.42	87.494	2016	88.42	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAREA	PERCENT	All areas	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	URBAN	PERCENT	Urban	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	RURAL	PERCENT	Rural	Percentage																						
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAREA	PERCENT	All areas	Percentage	6.57	9.1	11.62	14.14	16.65	19.17	14.4	12.9	26.83	21.2	32.04	34.66	37.3	44.7	42.6	55.1	47.92	45.524	2016	47.92	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	URBAN	PERCENT	Urban	Percentage	58.98	59.6	60.21	60.83	61.45	62.07	61.2	68.6	64	71.37	65.35	66.04	66.74	60.4	68.14	67.6	69.56	66.488	2016	69.56	Source: Global Tracking Framework 2018	E
2018.Q2.G.01	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	RURAL	PERCENT	Rural	Percentage			1.95	4.57	7.21	9.86	6.5	5.4	18.03	11.03	23.68	26.57	29.49	41.3	35.45	52.6	41.54	40.076	2016	41.54	Source: Global Tracking Framework 2018	E
