"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2005","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"36","Australia","AUS","134.3499412","-25.57717202","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","20.43","27.79",2016.0,"27.79","Country data","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"40","Austria","AUT","14.14172472","47.58704857","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","23.25","20.8",2016.0,"20.8","Country data","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"44","Bahamas","BHS","-78.05111663","24.69546597","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","22.53","38.42",2016.0,"38.42","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"48","Bahrain","BHR","50.5490754","26.04407747","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","63.96","75.84",2016.0,"75.84","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"51","Armenia","ARM","44.93839317","40.29499741","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","28.13","29.58",2016.0,"29.58","Country data","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"52","Barbados","BRB","-59.5346489","13.13648273","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"56","Belgium","BEL","4.660976456","50.64104975","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","38.13","26.53",2016.0,"26.53","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"60","Bermuda","BMU","-64.78155012","32.27881922","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","73.33","66.76",2016.0,"66.76","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","18","13.57",2016.0,"13.57","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"72","Botswana","BWA","23.81380223","-22.18810073","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","52.95","23.98",2016.0,"23.98","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"74","Bouvet Island","BVT","3.410732868","-54.43295905","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","31.17","39.57",2016.0,"39.57","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"84","Belize","BLZ","-88.70199554","17.19965901","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","5.58","54.88",2016.0,"54.88","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","35.44","60.04",2016.0,"60.04","Country data","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","7.18","6.9",2016.0,"6.9","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"100","Bulgaria","BGR","25.23763153","42.75731323","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","18.31","8.6",2016.0,"8.6","Country data","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"104","Myanmar","MMR","96.51752295","21.19332882","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"108","Burundi","BDI","29.89080992","-3.366387428","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","64.89","52.3",2016.0,"52.3","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"112","Belarus","BLR","28.04940161","53.54193075","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","18.91","14.3",2016.0,"14.3","Country data","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"116","Cambodia","KHM","104.922836","12.71163737","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","32.59","49.29",2016.0,"49.29","Country data","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"120","Cameroon","CMR","12.7419827","5.692387031","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","76.15","59",2016.0,"59","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"124","Canada","CAN","-101.6575058","57.72360191","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","29.14","36.36",2016.0,"36.36","Country data","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"132","Cabo Verde","CPV","-23.63544151","15.07791834","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"136","Cayman Islands","CYM","-81.16740559","19.32266656","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","24.47","30.11",2016.0,"30.11","Country data","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"140","Central African Republic","CAF","20.93559492","7.003720791","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"144","Sri Lanka","LKA","80.70489654","7.614693343","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","291.77","51.85",2016.0,"51.85","Country data","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"148","Chad","TCD","18.66618401","15.36279341","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"152","Chile","CHL","-71.23029019","-35.2652885","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","37.23","26.97",2016.0,"26.97","Country data","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
"156","China","CHN","104.1403375","32.30955217","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"162","Christmas Island","CXR","105.6426067","-10.4882473","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","",""
"170","Colombia","COL","-73.07446751","3.888209046","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","41.07","33.53",2016.0,"33.53","Country data","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","[2005]: 2005: Data refer to 3 year average 2003-2005 // [2016]: 2016: Data refer to 3 year average 2014-2016"
