"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Freq_Code","Freq_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Latest_Year","Latest_Value","Nature_Desc","Source"
"36","Australia","AUS","134.3499412","-25.57717202","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","9.5","9.1","8.7","8.1","7.8","8.2","7.9","7.6","7","7","6.4","5.9","5.9","5.4",2013.0,"5.4","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"40","Austria","AUT","14.14172472","47.58704857","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","12.2","11.9","11.8","11.4","10.7","9.3","8.8","8.3","8.1","7.6","6.7","6.2","6.3","5.4",2013.0,"5.4","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"44","Bahamas","BHS","-78.05111663","24.69546597","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","24.9","20.8","17.5","13","15.8","20.1","14.6","15.5","14.4","16.1","12.2","10.9","11.3","13.8",2013.0,"13.8","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"48","Bahrain","BHR","50.5490754","26.04407747","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","12","17.3","19","16.2","15.8","15.8","22","15.9","13.5","13.4","10.7","9.6","11.2","8",2013.0,"8","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"50","Bangladesh","BGD","89.17660788","22.86961622","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","14.3","14.2","14.2","14","14.4","14.4","14.3","14.4","14.4","14.5","14.5","14.3","13.6","13.6",2013.0,"13.6","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"51","Armenia","ARM","44.93839317","40.29499741","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","20.6","20.1","19.8","19.4","19.3","19","18.7","18.5","18.6","19.1","19.1","19","18.4","18.3",2013.0,"18.3","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"52","Barbados","BRB","-59.5346489","13.13648273","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","15","8.6","11.5","11.8","16.9","8.8","7.6","9.8","5.8","8.6","8.9","11","10.2","6.7",2013.0,"6.7","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"56","Belgium","BEL","4.660976456","50.64104975","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","14.8","14.9","13","12","11.4","11","10.5","10.8","9.4","9.4","8.1","8.4","7.4","6.7",2013.0,"6.7","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"60","Bermuda","BMU","-64.78155012","32.27881922","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","16.5","16.7","16.5","16.5","17","17.1","17.1","17.1","17.2","17.5","17.4","15.8","15.1","15.1",2013.0,"15.1","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","15.8","16.1","16.6","16.6","16.5","16.7","20.6","16.2","17","16.7","17.1","17.3","22.8","23.2",2013.0,"23.2","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","19.3","19.2","19.1","18.8","18.5","18.5","18.5","18.3","18.1","18.1","18","16.3","17.6","17.7",2013.0,"17.7","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"72","Botswana","BWA","23.81380223","-22.18810073","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","30.1","29.5","28.7","30.4","28.7","27","27","26.9","26.9","27.5","27.4","24.9","23.8","23.6",2013.0,"23.6","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"74","Bouvet Island","BVT","3.410732868","-54.43295905","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","16.9","17.4","18.4","18.3","19.3","19.3","19.3","19.7","20","19.4","21.9","22","22.6","23.4",2013.0,"23.4","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"84","Belize","BLZ","-88.70199554","17.19965901","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","30.6","39.2","37.7","32.9","24.1","37.5","30.1","33.9","35.4","16.9","14.6","20.9","21.9","24.4",2013.0,"24.4","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","18.7","18.9","19.1","19.5","18.8","18.8","18.9","18.9","19.1","19.4","19.2","19.3","19.3","19.2",2013.0,"19.2","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","16.3","19.8","15","9","12.7","15","12.5","17.6","10.3","11.4","7.5","11.8","8","8.1",2013.0,"8.1","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"100","Bulgaria","BGR","25.23763153","42.75731323","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","12.6","13.1","12.2","12.3","12.2","12.5","13.9","14.3","14.4","12.1","10.5","9","8.3","8.3",2013.0,"8.3","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"104","Myanmar","MMR","96.51752295","21.19332882","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","21.8","21.5","21.3","21","20.8","20.6","20.4","19.9","20","20","19.8","19.7","20.3","20.3",2013.0,"20.3","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"108","Burundi","BDI","29.89080992","-3.366387428","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","31","31","30.2","30.5","30.4","30.8","30.7","30.9","30.8","30.8","30.9","31.2","31.3","31.3",2013.0,"31.3","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"112","Belarus","BLR","28.04940161","53.54193075","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","17.6","17.5","25.8","26.4","23.1","22.7","22.4","23.2","23.6","19.3","21.9","18.5","15.7","13.7",2013.0,"13.7","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"116","Cambodia","KHM","104.922836","12.71163737","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","17.8","17.8","17.9","18","18","18.2","18.4","18.3","18.5","18.8","18.7","18.7","17.5","17.4",2013.0,"17.4","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"120","Cameroon","CMR","12.7419827","5.692387031","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","27.7","27.7","28","28.1","28.4","28.7","28.5","28.8","28.9","28.9","29.1","29","27.6","27.6",2013.0,"27.6","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"124","Canada","CAN","-101.6575058","57.72360191","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","9.5","8.9","9.4","9.1","8.9","9.4","9.1","8.8","8","7.1","7.3","6.3","6.5","6",2013.0,"6","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"132","Cabo Verde","CPV","-23.63544151","15.07791834","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","26.2","26.4","26.6","26.8","26.8","26.7","26.6","26.3","26.2","26.4","26.7","26.5","25.9","26.1",2013.0,"26.1","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"136","Cayman Islands","CYM","-81.16740559","19.32266656","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"140","Central African Republic","CAF","20.93559492","7.003720791","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","30.7","30.5","30.3","31","31.1","31.2","31","31.1","31.1","31.3","31.2","31.2","30.1","32.4",2013.0,"32.4","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"144","Sri Lanka","LKA","80.70489654","7.614693343","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","18.3","18.5","18.5","18.6","18.7","19","19.1","18.9","19","19.2","19.1","19","17.4","17.4",2013.0,"17.4","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"148","Chad","TCD","18.66618401","15.36279341","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","25.9","25.7","25.8","25.6","25","24.8","24.8","25.1","25.3","25.3","28.5","25.5","24.1","24.1",2013.0,"24.1","Estimated data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"152","Chile","CHL","-71.23029019","-35.2652885","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","17.3","15.6","15.4","17.3","17.1","17","18","12.8","13.8","12.3","12.2","12.1","11.7","12.4",2013.0,"12.4","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"156","China","CHN","104.1403375","32.30955217","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","18","22","22.3","21","20.7","21.1","21","20.6","21.2","20.4","20.2","20.7","19.3","18.8",2013.0,"18.8","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
"162","Christmas Island","CXR","105.6426067","-10.4882473","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"170","Colombia","COL","-73.07446751","3.888209046","3","Ensure healthy lives and promote well-being for all at all ages","3.6","By 2020, halve the number of global deaths and injuries from road traffic accidents","3.6.1","Death rate due to road traffic injuries","1","SH_STA_TRAF","Death rate due to road traffic injuries (per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","ANNUAL","Global","G","Global","19.9","19.9","18.9","17","17.3","16.7","17.2","17.6","17.6","17.3","15.8","15.3","16.8","16.8",2013.0,"16.8","Country adjusted data","Global Status Report on Road Safety 2015 ( Data come from different sources police data, Ministry of health and Ministry of transport, studies and Survey)"
