series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of product	Units description	Type of product description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	12	2.678164227	28.15940032	DZA	Algeria	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.02679	0.02684	0.02769	0.02545	0.02552	0.0242	0.02477	0.0276	0.03259	0.03476	0.03367	0.03428	0.03505	0.03643	0.03453	0.0343	0.03419	0.0349	2016	0.03419	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	12	2.678164227	28.15940032	DZA	Algeria	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.03825	0.03833	0.03958	0.03843	0.04449	0.04269	0.04209	0.04593	0.05396	0.05884	0.05519	0.05468	0.05535	0.05634	0.05406	0.05189	0.05097	0.053722	2016	0.05097	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	12	2.678164227	28.15940032	DZA	Algeria	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	0.53434	0.55054	0.53501	0.53445	0.54506	0.50599	0.50746	0.51392	0.53756	0.64449	0.61211	0.6255	0.63201	0.65498	0.62697	0.61988	0.61602	0.629972	2016	0.61602	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	12	2.678164227	28.15940032	DZA	Algeria	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	0.26612	0.29238	0.26917	0.3027	0.30723	0.27922	0.2821	0.26733	0.25659	0.33706	0.31284	0.32609	0.34155	0.35872	0.33714	0.33517	0.33437	0.34139	2016	0.33437	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	16	-170.7187269	-14.30587306	ASM	American Samoa	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	16	-170.7187269	-14.30587306	ASM	American Samoa	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	20	1.576257417	42.54548611	AND	Andorra	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	20	1.576257417	42.54548611	AND	Andorra	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	20	1.576257417	42.54548611	AND	Andorra	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	20	1.576257417	42.54548611	AND	Andorra	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	20	1.576257417	42.54548611	AND	Andorra	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass																						
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	24	17.57817062	-12.33724746	AGO	Angola	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.3048	0.39452	0.33062	0.37144	0.3671	0.37478	0.34629	0.37982	0.38217	0.44269	0.33895	0.33179	0.29532	0.30751	0.30353	0.30436	0.31006	0.304156	2016	0.31006	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	24	17.57817062	-12.33724746	AGO	Angola	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.04551	0.0688	0.06017	0.07482	0.08185	0.08217	0.06717	0.08108	0.09569	0.12074	0.09955	0.09339	0.0882	0.09542	0.08716	0.08998	0.09426	0.091004	2016	0.09426	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	24	17.57817062	-12.33724746	AGO	Angola	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.03337	0.03854	0.03476	0.03945	0.03862	0.04173	0.03339	0.04072	0.04782	0.06348	0.0442	0.04294	0.0418	0.04351	0.04195	0.04167	0.04275	0.042336	2016	0.04275	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	24	17.57817062	-12.33724746	AGO	Angola	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	0.92328	1.09611	0.99066	1.07694	1.03852	1.00949	0.88202	0.95687	0.97177	1.18993	1.01915	1.00748	0.82504	0.98668	0.85408	0.8706	0.90224	0.887728	2016	0.90224	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	24	17.57817062	-12.33724746	AGO	Angola	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	0.53961	0.59426	0.56509	0.59124	0.55095	0.51081	0.43517	0.45525	0.44609	0.56302	0.53645	0.53936	0.39972	0.54025	0.42143	0.43459	0.45517	0.450232	2016	0.45517	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.814	0.96835	1.00443	0.94002	0.93755	0.94476	1.21512	0.95371	0.79166	0.6377	0.69458	0.82972	0.65804	0.66677	0.638	0.61659	0.58872	0.633624	2016	0.58872	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.14849	0.14811	0.15365	0.12947	0.12235	0.12549	0.12443	0.11151	0.11189	0.10388	0.11274	0.11381	0.10432	0.11404	0.10952	0.10815	0.10588	0.108382	2016	0.10588	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.1665	0.16133	0.18392	0.1501	0.14123	0.15163	0.135	0.12275	0.1245	0.11706	0.1241	0.12402	0.10964	0.11319	0.11123	0.1044	0.1002	0.107732	2016	0.1002	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	1.40494	1.56668	1.64925	1.50789	1.46568	1.48144	1.71741	1.42218	1.2664	1.09457	1.1652	1.31035	1.08488	1.12406	1.08339	1.0471	1.00385	1.068656	2016	1.00385	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	0.27595	0.28889	0.30725	0.2883	0.26455	0.25956	0.24285	0.23422	0.23836	0.23593	0.23378	0.24281	0.21287	0.23005	0.22465	0.21797	0.20904	0.218916	2016	0.20904	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.80636	0.76995	0.83743	0.92326	0.93059	0.6981	0.52076	0.47092	0.38898	0.40644	0.398	0.46159	0.45792	0.50993	0.51216	0.53099	0.56737	0.515674	2016	0.56737	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.13931	0.12474	0.13891	0.14741	0.14016	0.10093	0.07437	0.05834	0.05564	0.06261	0.06185	0.06922	0.06963	0.07667	0.07556	0.07758	0.08218	0.076324	2016	0.08218	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.15243	0.14444	0.1495	0.14889	0.1324	0.1083	0.08783	0.08274	0.08603	0.12058	0.11339	0.11051	0.1096	0.12393	0.11919	0.11777	0.12649	0.119396	2016	0.12649	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	31	50.01064725	40.39229544	AZE	Azerbaijan	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	1.52605	1.48286	1.55979	1.64859	1.59913	1.20029	0.89918	0.79303	0.73933	0.86913	0.81665	0.89446	0.8944	0.98474	0.96038	0.98601	1.05056	0.975218	2016	1.05056	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	31	50.01064725	40.39229544	AZE	Azerbaijan	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	0.42794	0.44373	0.43396	0.42903	0.39598	0.29295	0.21622	0.18103	0.20867	0.27951	0.24341	0.25313	0.25724	0.27421	0.25347	0.25967	0.27451	0.26382	2016	0.27451	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	32	-65.14563274	-35.19446255	ARG	Argentina	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.36803	0.32924	0.23569	0.27836	0.33054	0.35467	0.35353	0.37031	0.3579	0.37068	0.37895	0.40299	0.37137	0.37566	0.39781	0.39957	0.4213	0.393142	2016	0.4213	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	32	-65.14563274	-35.19446255	ARG	Argentina	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.1389	0.15577	0.09925	0.09181	0.09537	0.09363	0.09381	0.09312	0.09474	0.10178	0.10019	0.10907	0.12158	0.11688	0.11292	0.11402	0.12083	0.117246	2016	0.12083	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	32	-65.14563274	-35.19446255	ARG	Argentina	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.19721	0.19518	0.12856	0.1239	0.11707	0.1108	0.10195	0.09788	0.10096	0.10841	0.0993	0.09533	0.09979	0.0993	0.10391	0.10177	0.1044	0.101834	2016	0.1044	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	32	-65.14563274	-35.19446255	ARG	Argentina	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	1.31652	1.29611	0.97488	0.99716	1.02456	1.04349	0.98387	0.99005	0.9659	1.01997	0.97516	0.98629	0.97865	1.01531	1.05887	1.05423	1.10258	1.041928	2016	1.10258	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	32	-65.14563274	-35.19446255	ARG	Argentina	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	0.61238	0.61592	0.51138	0.50308	0.48158	0.4844	0.43458	0.42873	0.41231	0.43911	0.39672	0.3789	0.3859	0.42347	0.44423	0.43887	0.45605	0.429704	2016	0.45605	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	36	134.3499412	-25.57717202	AUS	Australia	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.17369	0.15563	0.16874	0.17359	0.17984	0.18295	0.17681	0.22623	0.17541	0.18856	0.17379	0.18304	0.18553	0.17563	0.17555	0.17452	0.17477	0.1772	2016	0.17477	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	36	134.3499412	-25.57717202	AUS	Australia	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.17641	0.17739	0.17841	0.199	0.19106	0.19091	0.16417	0.19069	0.15644	0.18785	0.18157	0.17686	0.18671	0.19448	0.20364	0.20385	0.20547	0.19883	2016	0.20547	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	36	134.3499412	-25.57717202	AUS	Australia	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.16237	0.17793	0.18486	0.18598	0.18529	0.18846	0.16943	0.19963	0.1761	0.20486	0.19918	0.19134	0.19817	0.19526	0.19524	0.195	0.19483	0.1957	2016	0.19483	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	36	134.3499412	-25.57717202	AUS	Australia	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	0.67413	0.65717	0.66382	0.70306	0.69723	0.70142	0.62165	0.74447	0.61396	0.69764	0.66437	0.6615	0.687	0.67407	0.68367	0.68018	0.68028	0.68104	2016	0.68028	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	36	134.3499412	-25.57717202	AUS	Australia	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	0.16166	0.14622	0.1318	0.14449	0.14104	0.13911	0.11125	0.12792	0.10602	0.11637	0.10982	0.11026	0.11659	0.10869	0.10924	0.10681	0.1052	0.109306	2016	0.1052	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	40	14.14172472	47.58704857	AUT	Austria	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.28106	0.27496	0.27751	0.30332	0.32029	0.33202	0.33543	0.3406	0.34409	0.34173	0.32915	0.33699	0.32183	0.32135	0.32946	0.3337	0.33612	0.328492	2016	0.33612	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	40	14.14172472	47.58704857	AUT	Austria	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.0449	0.04328	0.04364	0.04798	0.05096	0.05038	0.04891	0.04976	0.04966	0.05103	0.04741	0.0482	0.04857	0.05045	0.04964	0.05041	0.05091	0.049996	2016	0.05091	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	40	14.14172472	47.58704857	AUT	Austria	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.12093	0.11971	0.11932	0.12807	0.13362	0.13147	0.13218	0.13221	0.13161	0.13364	0.13259	0.12891	0.1315	0.13032	0.12759	0.12673	0.12669	0.128566	2016	0.12669	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	40	14.14172472	47.58704857	AUT	Austria	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	0.58468	0.57309	0.57405	0.6174	0.64967	0.65344	0.64997	0.65422	0.66221	0.66058	0.63978	0.6472	0.62843	0.62993	0.6415	0.64611	0.64856	0.638906	2016	0.64856	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	40	14.14172472	47.58704857	AUT	Austria	5	KG_PER_CON_USD	BIM	Kilograms per constant USD	Biomass	0.13779	0.13515	0.13358	0.13804	0.1448	0.13958	0.13345	0.13166	0.13685	0.13418	0.13063	0.13309	0.12652	0.12782	0.13482	0.13527	0.13483	0.131852	2016	0.13483	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	44	-78.05111663	24.69546597	BHS	Bahamas	1	KG_PER_CON_USD	NMM	Kilograms per constant USD	Non-metallic minerals	0.94946	0.72819	0.72626	0.64552	0.63958	0.72485	0.69805	0.57303	0.53311	0.56558	0.62091	0.54392	0.46595	0.50244	0.54324	0.54801	0.5348	0.518888	2016	0.5348	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	44	-78.05111663	24.69546597	BHS	Bahamas	2	KG_PER_CON_USD	MEO	Kilograms per constant USD	Metal ores	0.07202	0.05548	0.04942	0.0432	0.04133	0.04295	0.04671	0.0428	0.04326	0.03892	0.03928	0.04198	0.04313	0.04382	0.0451	0.04725	0.04798	0.045456	2016	0.04798	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	44	-78.05111663	24.69546597	BHS	Bahamas	3	KG_PER_CON_USD	FOF	Kilograms per constant USD	Fossil fuels	0.09492	0.08533	0.07874	0.06603	0.06454	0.06724	0.07233	0.06802	0.06941	0.06592	0.06595	0.07125	0.07143	0.07069	0.07425	0.07591	0.07672	0.0738	2016	0.07672	Environment Live Global Material Flows Database	E
2018.Q2.G.01	EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2005 United States dollar)	44	-78.05111663	24.69546597	BHS	Bahamas	4	KG_PER_CON_USD	RAW	Kilograms per constant USD	All raw materials	1.21074	0.95487	0.93297	0.83297	0.82324	0.9129	0.89766	0.76372	0.7304	0.75809	0.81224	0.74695	0.66808	0.70891	0.75812	0.77108	0.76053	0.733344	2016	0.76053	Environment Live Global Material Flows Database	E
