"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ModeOfTransportation_Code","ModeOfTransportation_Desc","ReportingType_Code","ReportingType_Desc","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"9","Oceania","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","16005000087",2016.0,"16005000087","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"9","Oceania","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","189,722,610,886",2016.0,"189,722,610,886","Data nature not available","International Civil Aviation Organization (ICAO)"
"11","Western Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"11","Western Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
"11","Western Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"13","Central America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"13","Central America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"13","Central America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
"14","Eastern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"14","Eastern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
"14","Eastern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"15","Northern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","49643888613",2016.0,"49643888613","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"15","Northern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","1144906106123.09",2016.0,"1144906106123.09","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"15","Northern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","55,048,399,108",2016.0,"55,048,399,108","Data nature not available","International Civil Aviation Organization (ICAO)"
"17","Middle Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"17","Middle Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
"17","Middle Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"18","Southern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"18","Southern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"18","Southern Africa","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
"19","Americas","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"19","Americas","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
"19","Americas","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"21","Northern America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","5745333084792.77",2016.0,"5745333084792.77","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"21","Northern America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","1,698,833,685,657",2016.0,"1,698,833,685,657","Data nature not available","International Civil Aviation Organization (ICAO)"
"21","Northern America","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","11875000000",2016.0,"11875000000","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"29","Caribbean","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
"29","Caribbean","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"29","Caribbean","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","6716646427147.24",2016.0,"6716646427147.24","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","1821233701347",2016.0,"1821233701347","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","1,294,865,043,452",2016.0,"1,294,865,043,452","Data nature not available","International Civil Aviation Organization (ICAO)"
"34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","1206905812723",2016.0,"1206905812723","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","232,795,350,613",2016.0,"232,795,350,613","Data nature not available","International Civil Aviation Organization (ICAO)"
"34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","17432946626293.00",2016.0,"17432946626293.00","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"35","South-Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","533,838,607,529",2016.0,"533,838,607,529","Data nature not available","International Civil Aviation Organization (ICAO)"
"35","South-Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","1474030387444.68",2016.0,"1474030387444.68","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"35","South-Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","37821692083",2016.0,"37821692083","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"39","Southern Europe","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"39","Southern Europe","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
"39","Southern Europe","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"53","Australia and New Zealand","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","349432649244.06",2016.0,"349432649244.06","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"53","Australia and New Zealand","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","182,686,712,026",2016.0,"182,686,712,026","Data nature not available","International Civil Aviation Organization (ICAO)"
"53","Australia and New Zealand","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","16005000087",2016.0,"16005000087","Data nature not available","The International Transport Forum at the OECD (ITF-OECD)"
"54","Melanesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","ROA","Road transport","G","Global","","","","",""
"54","Melanesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","AIR","Air transport","G","Global","","","","",""
"54","Melanesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_RDP_PFVOL","Passenger volume (passenger kilometres), by mode of transport","2019.Q1.G.01","P_KM","Passenger kilometres","RAI","Rail transport","G","Global","","","","",""
