"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"36","Australia","AUS","134.3499412","-25.57717202","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","139.554","146.4312","154.701","155.2583","157.8209","154.2996","168.6564","170.4668","164.6763","161.1614","165.2355","163.974","168.0283",2016.0,"168.0283","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"40","Austria","AUT","14.14172472","47.58704857","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","116.1557","106.788","108.3359","108.6152","110.1537","112.3358","112.9183","113.8038","115.6367","117.2975","118.9683","117.9363","116.0586",2016.0,"116.0586","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"44","Bahamas","BHS","-78.05111663","24.69546597","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","63.58832","64.49822","63.66259","65.54834","66.10958","66.90463","65.82761","76.08162","74.51591","104.362","110.4925","112.4353","129.2422",2016.0,"129.2422","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"48","Bahrain","BHR","50.5490754","26.04407747","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","","","","","","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","0.12518","0.19568","0.34394","0.49695","0.8192","1.24916","2.05348","3.60386","3.9249","4.81376","5.60574","6.84699","7.76732",2016.0,"7.76732","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"51","Armenia","ARM","44.93839317","40.29499741","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","3.0416","4.95423","7.69467","14.48028","23.11356","30.23958","34.04729","43.54925","50.40783","53.92184","59.43566","60.56215","61.13944",2016.0,"61.13944","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"52","Barbados","BRB","-59.5346489","13.13648273","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","30.65997","32.28036","37.03587","37.26418","37.07376","32.84874","36.65576","37.37857","43.36456","37.0894","23.88698",2016.0,"23.88698","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"56","Belgium","BEL","4.660976456","50.64104975","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","83.89362","83.57977","83.11543","86.71142","87.6071","87.37488","91.76123","93.23571","93.93687","93.67056","93.91856","93.55449","",2015.0,"93.55449","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"60","Bermuda","BMU","-64.78155012","32.27881922","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","","","","","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","0.48917","0.46813","0.45047","2.17403","3.15597","4.07924","8.31375","13.87604","7.69645","19.58441","21.98957","26.59658","32.25391",2016.0,"32.25391","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","13.317","14.48983","16.96087","20.1142","24.58951","27.9803","31.56737","34.79165","38.30202","",2015.0,"38.30202","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","15.70272","20.83569","28.64668","43.12474","35.01306","38.61036","41.5579","44.61015","46.84301","49.90023","50.12078",2016.0,"50.12078","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"72","Botswana","BWA","23.81380223","-22.18810073","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","14.76671","15.86329","18.83059","31.65102","28.68553","27.43091","28.96352","26.58342","25.92834","27.02839","27.93872","31.12437","30.93597",2016.0,"30.93597","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"74","Bouvet Island","BVT","3.410732868","-54.43295905","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","104.7998","108.2435","106.7809","108.9277","111.3984","113.9113","118.3567","115.7489","114.766","115.7655","114.9966","114.2723","108.82",2016.0,"108.82","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"84","Belize","BLZ","-88.70199554","17.19965901","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","28.08989","29.4975","31.22926","32.7957","34.22029","35.52949","37.22972","38.78142","37.99788","40.33124","40.79846","40.38173","40.0487",2016.0,"40.0487","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","1.49112","1.45089","4.24006","5.51072","6.71858","7.21148","11.19545","11.23806","11.56506","11.26874","11.26878","11.54513","11.52418",2016.0,"11.52418","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","","","","","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","34.94955","43.25555","46.5669","58.91372","71.57115","82.38572","82.00823","80.64653","92.3281","82.29485","80.96648","78.75152","75.25522",2016.0,"75.25522","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"100","Bulgaria","BGR","25.23763153","42.75731323","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","26.38914","34.4334","54.81715","67.51691","79.86494","87.61783","90.30712","93.55347","92.79647","93.4315","92.97677","92.4245","95.7001",2016.0,"95.7001","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"104","Myanmar","MMR","96.51752295","21.19332882","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","","","","","","0.09138","0.6114","1.69635","1.96587","2.67124",2016.0,"2.67124","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"108","Burundi","BDI","29.89080992","-3.366387428","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","0.0519","0.04966","0.04763","0.04572","0.06591","0.27496","0.51002","0.69403","0.96421","1.51954","1.47824","1.402","1.39618",2016.0,"1.39618","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"112","Belarus","BLR","28.04940161","53.54193075","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","10.85853","15.39871","18.95167","25.6704","30.23822","33.35667","37.90064","41.18923","46.12","51.10791","54.69095","55.46357","55.21965",2016.0,"55.21965","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"116","Cambodia","KHM","104.922836","12.71163737","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","0.01197","0.74496","1.33618","3.72523","4.36027","5.2515","6.02958","7.17783","8.48118","10.9189","13.34121","",2015.0,"13.34121","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"120","Cameroon","CMR","12.7419827","5.692387031","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","0.32756","0.6047","0.69739","0.89987","1.23059","1.55954","1.82441","2.37764","2.6221","3.20891","3.64082","","",2014.0,"3.64082","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"124","Canada","CAN","-101.6575058","57.72360191","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","184.7596","197.9264","206.4792","211.9891","217.7378","216.2007","218.1557","207.5524","203.111","220.4873","221.1377","220.5556","222.9892",2016.0,"222.9892","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"132","Cabo Verde","CPV","-23.63544151","15.07791834","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","13.00216","14.98229","19.87769","27.46055","34.39386","37.63167","42.53535","44.63256","46.90445","46.23326","47.53499","46.07139","45.70347",2016.0,"45.70347","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"136","Cayman Islands","CYM","-81.16740559","19.32266656","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","","","","","","","","","","","","","",""
"140","Central African Republic","CAF","20.93559492","7.003720791","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","0","0","0","0","0.12006","0.31596","0.66421","0.93759","0.93972","1.17756","","","",2013.0,"1.17756","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
"144","Sri Lanka","LKA","80.70489654","7.614693343","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.1","(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","1","FB_ATM_TOTL","Number of automated teller machines (ATMs) per 100,000 adults","2019.Q1.G.01","NUMBER","Number","15+","15 years old and over","G","Global","","","","9.35299","11.20912","12.61571","13.46435","15.1499","15.79798","16.47545","16.86835","17.16245","",2015.0,"17.16245","Country data","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS"
