"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Value_2018","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"36","Australia","AUS","134.3499412","-25.57717202","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","33","34","38","38","38","37","37","37","40","40","41","37","37","37","39","40","40","43","43",2018.0,"43","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"40","Austria","AUT","14.14172472","47.58704857","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","49","49","49","62","62","62","62","59","60","50","51","51","51","51","59","56","56","56","63",2018.0,"63","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"44","Bahamas","BHS","-78.05111663","24.69546597","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","6","6","6","8","8","8","8","8","5","5","5","5","5","5","5","5","5","5","5",2018.0,"5","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"48","Bahrain","BHR","50.5490754","26.04407747","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","0","0","0","0","1","1","1","1","1","4","4","4","3","3","3","3",2018.0,"3","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"50","Bangladesh","BGD","89.17660788","22.86961622","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","30","6","6","6","6","6","51","","","19","64","64","69","69","19","70","70","71","71",2018.0,"71","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"51","Armenia","ARM","44.93839317","40.29499741","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","4","4","4","4","6","7","7","7","12","11","12","12","11","14","14","14","14","13","19",2018.0,"19","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"52","Barbados","BRB","-59.5346489","13.13648273","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","3","3","3","3","4","4","4","4","3","3","3","3","3","3","5","5","5","5","5",2018.0,"5","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"56","Belgium","BEL","4.660976456","50.64104975","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","35","35","35","35","53","52","52","52","53","53","57","59","57","57","62","59","59","57","57",2018.0,"57","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"60","Bermuda","BMU","-64.78155012","32.27881922","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","3","14","14","14","14","14","14","4","4","4","4","4","4","4","4","4","4","4","4",2018.0,"4","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","15","15","15","24","24","25","22","22","22","22","29","33","33","33","33","69","69","69","69",2018.0,"69","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","3","3","7","7","7","7","7","6","5","5","8","7","9","9","9","9","9","9","9",2018.0,"9","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"72","Botswana","BWA","23.81380223","-22.18810073","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","8","8","8","8","8","7","7","7","7","7","5","5","5","5","6","6","6","6","6",2018.0,"6","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"74","Bouvet Island","BVT","3.410732868","-54.43295905","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","29","29","35","44","44","44","44","45","46","46","45","44","44","44","44","46","51","55","55",2018.0,"55","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"84","Belize","BLZ","-88.70199554","17.19965901","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","2","2","2","2","1","2","2","2","1","0","0","0","0","1","1","1","1","3","3",2018.0,"3","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1",2018.0,"1","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","3","3",2018.0,"3","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"100","Bulgaria","BGR","25.23763153","42.75731323","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","26","26","63","63","63","63","53","53","52","52","50","50","50","55","59","49","49","46","57",2018.0,"57","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"104","Myanmar","MMR","96.51752295","21.19332882","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","14","14","26","24","26","43","44","44",2018.0,"44","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"108","Burundi","BDI","29.89080992","-3.366387428","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","7","17","33","33","33","33","36","36","36","36","37","34","32","32","32","32","44","44","44",2018.0,"44","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"112","Belarus","BLR","28.04940161","53.54193075","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","10","10","10","10","10","32","32","32","32","35","35","35","35","29","29","30","30","38","38",2018.0,"38","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"116","Cambodia","KHM","104.922836","12.71163737","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","10","9","9","9","12","12","12","12","24","20","26","26","25","25","25","25","25","25","25",2018.0,"25","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"120","Cameroon","CMR","12.7419827","5.692387031","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","10","10","10","16","16","16","16","16","25","25","25","25","25","25","56","56","56","56","56",2018.0,"56","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"124","Canada","CAN","-101.6575058","57.72360191","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","62","62","62","62","62","65","64","64","65","68","68","68","76","76","77","77","88","88","91",2018.0,"91","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"132","Cabo Verde","CPV","-23.63544151","15.07791834","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","8","8","8","8","8","8","11","11","13","13","13","13","15","15","15","15","15","17","17",2018.0,"17","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"136","Cayman Islands","CYM","-81.16740559","19.32266656","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"140","Central African Republic","CAF","20.93559492","7.003720791","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","8","8","8","8","","","11","11","11","11","10","","13","13","","","","12","12",2018.0,"12","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"144","Sri Lanka","LKA","80.70489654","7.614693343","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","11","10","10","10","10","11","11","11","13","13","13","12","13","13","13","13","13","13","13",2018.0,"13","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"148","Chad","TCD","18.66618401","15.36279341","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","3","3","3","9","9","10","10","10","8","8","8","8","24","28","28","28","28","24","24",2018.0,"24","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"152","Chile","CHL","-71.23029019","-35.2652885","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","13","13","15","15","15","15","18","18","18","18","17","17","17","17","19","19","19","19","",2017.0,"19","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"156","China","CHN","104.1403375","32.30955217","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","650","650","650","650","604","604","604","604","611","637","637","637","635","635","699","699","699","699","709",2018.0,"709","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"162","Christmas Island","CXR","105.6426067","-10.4882473","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"170","Colombia","COL","-73.07446751","3.888209046","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLN","Number of seats held by women in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","19","19","19","20","20","20","20","14","14","14","14","21","20","20","20","33","33","31","31",2018.0,"31","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
