"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source"
"36","Australia","AUS","134.3499412","-25.57717202","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"40","Austria","AUT","14.14172472","47.58704857","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"44","Bahamas","BHS","-78.05111663","24.69546597","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","22.4","","","",2014.0,"22.4","Country data","DHS"
"51","Armenia","ARM","44.93839317","40.29499741","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","0.0","",2016.0,"0.0","Country data","DHS"
"52","Barbados","BRB","-59.5346489","13.13648273","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","0.7","","","","","",2012.0,"0.7","Country data","MICS"
"56","Belgium","BEL","4.660976456","50.64104975","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"60","Bermuda","BMU","-64.78155012","32.27881922","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","6.2","","","","","","","",2010.0,"6.2","Country data","MICS"
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","2.4","","",2015.0,"2.4","Country data","DHS"
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","0.2","","","","","",2012.0,"0.2","Country data","MICS"
"72","Botswana","BWA","23.81380223","-22.18810073","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"74","Bouvet Island","BVT","3.410732868","-54.43295905","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","5.9","","","","","","","","","","",2006.0,"5.9","Country data","PNDS"
"84","Belize","BLZ","-88.70199554","17.19965901","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","3.4","","","","","","",2011.0,"3.4","Country data","MICS"
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","5.6","","",2015.0,"5.6","Country data","DHS"
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"100","Bulgaria","BGR","25.23763153","42.75731323","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"104","Myanmar","MMR","96.51752295","21.19332882","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","1.9","","",2015.0,"1.9","Country data","DHS"
"108","Burundi","BDI","29.89080992","-3.366387428","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","2.5","","","","","","","",2010.0,"2.5","Country data","DHS"
"112","Belarus","BLR","28.04940161","53.54193075","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","0.0","","","","","",2012.0,"0.0","Country data","MICS"
"116","Cambodia","KHM","104.922836","12.71163737","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","1.9","","","",2014.0,"1.9","Country data","DHS"
"120","Cameroon","CMR","12.7419827","5.692387031","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","10.2","","","",2014.0,"10.2","Country data","MICS"
"124","Canada","CAN","-101.6575058","57.72360191","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"132","Cabo Verde","CPV","-23.63544151","15.07791834","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","2.8","","","","","","","","","","","",2005.0,"2.8","Country data","DHS"
"136","Cayman Islands","CYM","-81.16740559","19.32266656","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"140","Central African Republic","CAF","20.93559492","7.003720791","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","29.1","","","","","","","",2010.0,"29.1","Country data","MICS"
"144","Sri Lanka","LKA","80.70489654","7.614693343","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","1.7","","","","","","","","","",2007.0,"1.7","Country data","DHS"
"148","Chad","TCD","18.66618401","15.36279341","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","29.7","","",2015.0,"29.7","Country data","DHS"
"152","Chile","CHL","-71.23029019","-35.2652885","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"156","China","CHN","104.1403375","32.30955217","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"162","Christmas Island","CXR","105.6426067","-10.4882473","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"170","Colombia","COL","-73.07446751","3.888209046","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","4.9","","",2015.0,"4.9","Country data","DHS"
"174","Comoros","COM","43.34234565","-11.66121732","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","10.0","","","","","",2012.0,"10.0","Country data","DHS"
"175","Mayotte","MYT","45.14015057","-12.82217691","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
"178","Congo","COG","15.22052612","-0.840544119","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","6.9","","",2015.0,"6.9","Country data","MICS"
"180","Democratic Republic of the Congo","COD","23.65496507","-2.877154732","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","10.0","","","",2014.0,"10.0","Country data","DHS"
"184","Cook Islands","COK","-159.7711391","-21.22696458","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF15","Proportion of women aged 20-24 years who were married or in a union before age 15 (%)","2019.Q1.G.01","PER_MARW_20T24Y","% of married women aged 20-24 years","20-24","20 to 24 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","",""
