ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Latest_Year,Latest_Value
CAF,20.93559492,7.003720791,140,Central African Republic,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,NA,,NA,NA,,NA,NA,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,28,,19,24,,29,26.88327,2017.0,26.88327
LKA,80.70489654,7.614693343,144,Sri Lanka,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,60,61,73,67,71,71,79,75.74534,2017.0,75.74534
TCD,18.66618401,15.36279341,148,Chad,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,NA,,NA,,NA,NA,NA,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,28,,34,,40,40,44.47054,2017.0,44.47054
CHL,-71.23029019,-35.2652885,152,Chile,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,87,66,73,72,75,79,83.64106,2017.0,83.64106
CHN,104.1403375,32.30955217,156,China,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,87,89,86,94,98,99,98,100,2017.0,100
COL,-73.07446751,3.888209046,170,Colombia,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,78,48,70,74,75,85,89,88.15664,2017.0,88.15664
COM,43.34234565,-11.66121732,174,Comoros,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,NA,,,,NA,,,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,,,29,,,,37.36737,2017.0,37.36737
COG,15.22052612,-0.840544119,178,Congo,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,,,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,15,57,65,28,,,44,30.72331,2017.0,30.72331
COD,23.65496507,-2.877154732,180,Democratic Republic of the Congo,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,40,60,65,61,69,75,71,65.21345,2017.0,65.21345
COK,-159.7711391,-21.22696458,184,Cook Islands,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,NA,NA,,NA,NA,NA,,,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,,89,89,,67,56,43.14556,2017.0,43.14556
CRI,-84.19712782,9.970998683,188,Costa Rica,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,77,69,82,89,89,82,86,87.15872,2017.0,87.15872
HRV,17.95874553,45.45172212,191,Croatia,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,95,95,,96,66,71,71,70.57078,2017.0,70.57078
CUB,-79.54460144,22.10030366,192,Cuba,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,,92,99,99,96,99,99,99.3007,2017.0,99.3007
CYP,33.22285964,35.05659437,196,Cyprus,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,,NA,NA,,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,44,51,,67,62,,93,95.64103,2017.0,95.64103
AND,1.576257417,42.54548611,20,Andorra,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,36,29,31,20,29,29,42,29.03694,2017.0,29.03694
CZE,15.33151382,49.73913871,203,Czechia,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,86,85,92,88,88,88,,93.82146,2017.0,93.82146
BEN,2.339933594,9.65401646,204,Benin,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,,NA,,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,57,46,43,,44,,28,30.31163,2017.0,30.31163
DNK,9.326571283,56.03829721,208,Denmark,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,73,75,,86,91,91,89,89.58557,2017.0,89.58557
DMA,-61.3493756,15.43391378,212,Dominica,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,43,57,57,69,69,62,62,61.65546,2017.0,61.65546
DOM,-70.49847576,18.89832088,214,Dominican Republic,3,Ensure healthy lives and promote well-being for all at all ages,3.d,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks",3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,1,SH_IHR_CAPPRD,Average of 13 International Health Regulations (IHR) core capacities,2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,NA,,NA,NA,NA,NA,NA,NA,"Global Health Observatory (GHO), World Health Organisation (WHO).",,"Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).",,,,,,,,,52,,54,72,73,70,71,54.89981,2017.0,54.89981
