series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Units	Age description	Units description	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	84	-88.70199554	17.19965901	BLZ	Belize	1	15+	NUMBER	15 years old and over	Number	28.08989	29.4975	31.22926	32.7957	34.22029	35.52949	37.22972	38.78142	37.99788	40.33124	40.79846	40.38173	40.0487	39.911602	2016	40.0487	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	15+	NUMBER	15 years old and over	Number	1.49112	1.45089	4.24006	5.51072	6.71858	7.21148	11.19545	11.23806	11.56506	11.26874	11.26878	11.54513	11.52418	11.434378	2016	11.52418	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	15+	NUMBER	15 years old and over	Number	34.94955	43.25555	46.5669	58.91372	71.57115	82.38572	82.00823	80.64653	92.3281	82.29485	80.96648	78.75152	75.25522	81.919234	2016	75.25522	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	100	25.23763153	42.75731323	BGR	Bulgaria	1	15+	NUMBER	15 years old and over	Number	26.38914	34.4334	54.81715	67.51691	79.86494	87.61783	90.30712	93.55347	92.79647	93.4315	92.97677	92.4245	95.7001	93.465868	2016	95.7001	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	104	96.51752295	21.19332882	MMR	Myanmar	1	15+	NUMBER	15 years old and over	Number									0.09138	0.6114	1.69635	1.96587	2.67124	1.407248	2016	2.67124	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	108	29.89080992	-3.366387428	BDI	Burundi	1	15+	NUMBER	15 years old and over	Number	0.0519	0.04966	0.04763	0.04572	0.06591	0.27496	0.51002	0.69403	0.96421	1.51954	1.47824	1.402	1.39618	1.352034	2016	1.39618	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	112	28.04940161	53.54193075	BLR	Belarus	1	15+	NUMBER	15 years old and over	Number	10.85853	15.39871	18.95167	25.6704	30.23822	33.35667	37.90064	41.18923	46.12	51.10791	54.69095	55.46357	55.21965	52.520416	2016	55.21965	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	116	104.922836	12.71163737	KHM	Cambodia	1	15+	NUMBER	15 years old and over	Number		0.01197	0.74496	1.33618	3.72523	4.36027	5.2515	6.02958	7.17783	8.48118	10.9189	13.34121		9.97978	2015	13.34121	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	120	12.7419827	5.692387031	CMR	Cameroon	1	15+	NUMBER	15 years old and over	Number	0.32756	0.6047	0.69739	0.89987	1.23059	1.55954	1.82441	2.37764	2.6221	3.20891	3.64082			3.15727666666667	2014	3.64082	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	124	-101.6575058	57.72360191	CAN	Canada	1	15+	NUMBER	15 years old and over	Number	184.7596	197.9264	206.4792	211.9891	217.7378	216.2007	218.1557	207.5524	203.111	220.4873	221.1377	220.5556	222.9892	217.65616	2016	222.9892	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	15+	NUMBER	15 years old and over	Number	13.00216	14.98229	19.87769	27.46055	34.39386	37.63167	42.53535	44.63256	46.90445	46.23326	47.53499	46.07139	45.70347	46.489512	2016	45.70347	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	140	20.93559492	7.003720791	CAF	Central African Republic	1	15+	NUMBER	15 years old and over	Number	0	0	0	0	0.12006	0.31596	0.66421	0.93759	0.93972	1.17756				1.05864	2013	1.17756	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	144	80.70489654	7.614693343	LKA	Sri Lanka	1	15+	NUMBER	15 years old and over	Number				9.35299	11.20912	12.61571	13.46435	15.1499	15.79798	16.47545	16.86835	17.16245		16.5760575	2015	17.16245	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	148	18.66618401	15.36279341	TCD	Chad	1	15+	NUMBER	15 years old and over	Number	0	0.07802	0.07541	0.09108	0.28145	0.33945	0.42538	0.47375	0.39587	0.74822	0.9187	1.14383	1.40709	0.922742	2016	1.40709	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	152	-71.23029019	-35.2652885	CHL	Chile	1	15+	NUMBER	15 years old and over	Number	33.43405	39.51136	43.53767	49.12954	55.18599	58.25021	62.23539	65.28069	68.2401	64.56084	57.31952	56.7233	54.29362	60.227476	2016	54.29362	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	156	104.1403375	32.30955217	CHN	China	1	15+	NUMBER	15 years old and over	Number			9.56675	11.91448	15.48639	19.69887	24.66758	30.17458	37.36008	46.52417	54.75061	76.78764	81.45148	59.374796	2016	81.45148	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	162	105.6426067	-10.4882473	CXR	Christmas Island	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	170	-73.07446751	3.888209046	COL	Colombia	1	15+	NUMBER	15 years old and over	Number				24.51977	26.42308	27.85727	34.01241	31.673	35.1587	38.57526	40.08172	40.57729	41.1194	39.102474	2016	41.1194	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	174	43.34234565	-11.66121732	COM	Comoros	1	15+	NUMBER	15 years old and over	Number	0.58347	0.56642	0.55053	1.07027	1.04048	1.51747	1.96747	6.94208	5.59169	5.8962	5.07711	4.94251	5.02573	5.306648	2016	5.02573	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	175	45.14015057	-12.82217691	MYT	Mayotte	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	178	15.22052612	-0.840544119	COG	Congo	1	15+	NUMBER	15 years old and over	Number	0.47446	0.50639	0.57924	0.64622	1.08302	1.33042	1.87593	2.32855	2.7237	3.57437	6.30698	7.54493		5.037495	2015	7.54493	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	15+	NUMBER	15 years old and over	Number						0.09812	0.40573	0.48815	0.65387	0.72188	1.1082	1.31347		0.949355	2015	1.31347	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	184	-159.7711391	-21.22696458	COK	Cook Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	188	-84.19712782	9.970998683	CRI	Costa Rica	1	15+	NUMBER	15 years old and over	Number	25.66278	28.27471	31.26987	35.89841	38.29106	41.92917	43.72691	52.35718	54.29381	72.14114	79.61513	61.22691	63.87939	66.231276	2016	63.87939	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	191	17.95874553	45.45172212	HRV	Croatia	1	15+	NUMBER	15 years old and over	Number		61.6312	70.34891	79.80256	89.16215	96.23751	101.5644	109.8555	113.0015	114.1183	117.0759	123.3977	127.9289	119.10446	2016	127.9289	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	192	-79.54460144	22.10030366	CUB	Cuba	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	196	33.22285964	35.05659437	CYP	Cyprus	1	15+	NUMBER	15 years old and over	Number	55.42126	57.16697	64.45988	63.47804	66.18781	69.85948	71.76003	69.92652	63.88659	52.89838	53.35035	51.20062	50.06621	54.28043	2016	50.06621	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	203	15.33151382	49.73913871	CZE	Czechia	1	15+	NUMBER	15 years old and over	Number	31.72825	34.51275	37.52764	38.10001	38.2693	39.88406	41.65802	43.78759	45.71084	49.0608	49.60492	50.71302	52.53511	49.524938	2016	52.53511	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	204	2.339933594	9.65401646	BEN	Benin	1	15+	NUMBER	15 years old and over	Number							2.51658	2.87475	3.59036	4.48818	4.52166	4.59799	4.84562	4.408762	2016	4.84562	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	208	9.326571283	56.03829721	DNK	Denmark	1	15+	NUMBER	15 years old and over	Number	67.02341	68.13512	69.89021	70.39232	68.73	65.17744	63.13862	61.04724	58.7085	56.13239	53.99147	51.81747	48.68122	53.86621	2016	48.68122	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	212	-61.3493756	15.43391378	DMA	Dominica	1	15+	NUMBER	15 years old and over	Number	19.96635	21.70499	21.64982	18.00515	21.56849	35.86925	30.39882	46.31209	46.10252	49.40474	47.39285	41.90587	39.95174	44.951544	2016	39.95174	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	15+	NUMBER	15 years old and over	Number	19.0579	24.02914	24.47294	26.19341	26.7088	27.57344	28.48187	30.00183	31.21956	33.05497	33.9643	36.3022	38.00887	34.50998	2016	38.00887	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	218	-78.37005241	-1.447785891	ECU	Ecuador	1	15+	NUMBER	15 years old and over	Number	8.18764	8.05797	13.61097	34.83434	34.14719	43.23188	44.6977	47.07106	47.57034	49.23539	52.83243	53.98193	54.6497	51.653958	2016	54.6497	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	222	-88.86862995	13.73603564	SLV	El Salvador	1	15+	NUMBER	15 years old and over	Number	20.52242	22.80606	24.00212	25.42974	27.94534	29.25011	29.33704	29.34454	30.63341	33.39575	33.42395	35.79671	36.64476	33.978916	2016	36.64476	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	15+	NUMBER	15 years old and over	Number	0	0	0	0.79111	2.44672	2.33002	2.90315	5.37814	6.06286	5.19548	5.39485	7.34192	9.14748	6.628518	2016	9.14748	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	231	39.63505296	8.631223181	ETH	Ethiopia	1	15+	NUMBER	15 years old and over	Number	0.01997	0.01937	0.0305	0.04091	0.06817	0.09778	0.29764	0.31679	0.46026					0.46026	2012	0.46026	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	232	38.11074289	16.12894644	ERI	Eritrea	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	233	25.84093481	58.68487172	EST	Estonia	1	15+	NUMBER	15 years old and over	Number	67.66145	73.16636	80.19588	87.67444	89.49644	88.69279	88.67406	87.82545	83.58582	79.56049	76.70477	72.60531	69.97394	76.486066	2016	69.97394	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	242	177.9660884	-17.83301566	FJI	Fiji	1	15+	NUMBER	15 years old and over	Number	19.04772	19.4421	21.1728	22.61854	25.99415	27.25543	33.08292	36.36736	36.54806	41.37294	44.54682	45.93318	50.79654	43.839508	2016	50.79654	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	246	23.308447	61.91586738	FIN	Finland	1	15+	NUMBER	15 years old and over	Number			38.2746	37.78054	37.38268	37.15004	36.83116	36.46416	35.71627	36.32685	35.84291	33.28673	25.96002	33.426556	2016	25.96002	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	248	19.80945969	60.1544901	ALA	Åland Islands	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	250	2.457288129	46.62660861	FRA	France	1	15+	NUMBER	15 years old and over	Number	85.49288	92.78983	92.1015	99.86474	101.5285	104.0445	106.0066	109.1123	109.2506	108.8101	108.0458	106.9927	104.3804	107.49592	2016	104.3804	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	254	-53.23619089	3.922673437	GUF	French Guiana	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	15+	NUMBER	15 years old and over	Number																		
