series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Level/Status	Units description	Level/Status description	2017	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	12	2.678164227	28.15940032	DZA	Algeria	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	12	2.678164227	28.15940032	DZA	Algeria	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	20	1.576257417	42.54548611	AND	Andorra	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	20	1.576257417	42.54548611	AND	Andorra	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	24	17.57817062	-12.33724746	AGO	Angola	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	24	17.57817062	-12.33724746	AGO	Angola	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	32	-65.14563274	-35.19446255	ARG	Argentina	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	32	-65.14563274	-35.19446255	ARG	Argentina	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	36	134.3499412	-25.57717202	AUS	Australia	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	36	134.3499412	-25.57717202	AUS	Australia	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	40	14.14172472	47.58704857	AUT	Austria	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	40	14.14172472	47.58704857	AUT	Austria	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	44	-78.05111663	24.69546597	BHS	Bahamas	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	44	-78.05111663	24.69546597	BHS	Bahamas	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	48	50.5490754	26.04407747	BHR	Bahrain	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	48	50.5490754	26.04407747	BHR	Bahrain	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	50	89.17660788	22.86961622	BGD	Bangladesh	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	50	89.17660788	22.86961622	BGD	Bangladesh	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	51	44.93839317	40.29499741	ARM	Armenia	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	51	44.93839317	40.29499741	ARM	Armenia	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	51	44.93839317	40.29499741	ARM	Armenia	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	52	-59.5346489	13.13648273	BRB	Barbados	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	52	-59.5346489	13.13648273	BRB	Barbados	2	NUMBER	NA	Number	Not applicable	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	52	-59.5346489	13.13648273	BRB	Barbados	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	56	4.660976456	50.64104975	BEL	Belgium	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	56	4.660976456	50.64104975	BEL	Belgium	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	56	4.660976456	50.64104975	BEL	Belgium	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	60	-64.78155012	32.27881922	BMU	Bermuda	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	60	-64.78155012	32.27881922	BMU	Bermuda	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	60	-64.78155012	32.27881922	BMU	Bermuda	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	64	90.45098484	27.39598568	BTN	Bhutan	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	64	90.45098484	27.39598568	BTN	Bhutan	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	64	90.45098484	27.39598568	BTN	Bhutan	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	72	23.81380223	-22.18810073	BWA	Botswana	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	72	23.81380223	-22.18810073	BWA	Botswana	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	72	23.81380223	-22.18810073	BWA	Botswana	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	76	-53.08432878	-10.77668561	BRA	Brazil	1	NUMBER	CLDPR	Number	Clearly defined procedures	10	2017	10	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	76	-53.08432878	-10.77668561	BRA	Brazil	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	76	-53.08432878	-10.77668561	BRA	Brazil	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	84	-88.70199554	17.19965901	BLZ	Belize	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	84	-88.70199554	17.19965901	BLZ	Belize	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	84	-88.70199554	17.19965901	BLZ	Belize	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	NUMBER	NCDPR	Number	Not clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	NUMBER	CLDPR	Number	Clearly defined procedures					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	NUMBER	NA	Number	Not applicable					
2018.Q2.G.01	ER_WAT_PRDU	Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	NUMBER	NCDPR	Number	Not clearly defined procedures	5	2017	5	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
