ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Latest_Year,Latest_Value
IRN,54.19766348,32.74370885,364,Iran (Islamic Republic of),17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,303532.88,348927.45,170547.49,135842.88,119350,91916.86,161452.77,31828.33,21857.88,104018.46,2015.0,104018.46
IRQ,43.76606267,33.05013795,368,Iraq,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,809640,1046708.36,728683.4,641341.2,796303.84,4631654.79,920230.44,173184.99,49355,157821,2015.0,157821
CIV,-5.552690016,7.62211586,384,Côte d'Ivoire,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,422556.2,440076.1,295828.21,287657.14,350052.72,817911.77,3696262.94,2789544.6,25986603,232750,2015.0,232750
JAM,-77.31068409,18.15616857,388,Jamaica,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,,,,G,G,G,G,G,G,G,,,,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,,,,136146.66,85467.63,61080,1073080,719637.7,630298.1,612674.66,,,,2012.0,612674.66
KAZ,66.65359159,48.01963494,398,Kazakhstan,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,372624.97,158046.63,809836.64,96998.36,1077641.47,20156956.01,218689.43,,27395,1750,2015.0,1750
AFG,66.02688198,33.83160199,4,Afghanistan,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,2069400,6544508,24088011.32,3269912.99,1337307.95,18008549.57,16256604.75,65668331.52,3021751.93,55747.79,2015.0,55747.79
JOR,37.13024774,30.65365973,400,Jordan,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,231915.34,925136.94,500384,1690,54984,64320.17,1248530.39,3763110.5,167509.73,496318.72,2015.0,496318.72
KEN,37.86096816,0.534797278,404,Kenya,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,7270463.4,38914960.71,2295036.2,4123223.67,99923.31,1534258.44,485952.23,294634.28,5506369.1,50049110,2015.0,50049110
KWT,47.49305029,29.53949468,414,Kuwait,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,,,,,,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,,,,,,G,G,G,G,G,,,,,,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,,,,,,3250,3340,3150,13834,3750,2015.0,3750
KGZ,74.52324839,41.46204516,417,Kyrgyzstan,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,260060.55,638057.38,574318.92,3955369,2356923.79,2882593.73,757146.83,2767298,109163,3315161,2015.0,3315161
LAO,101.9901968,20.27482773,418,Lao People's Democratic Republic,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,468513.1,266099.84,304182.69,288764.39,1231746.46,1059697.8,2987452.89,8193650.25,474272.72,689052.09,2015.0,689052.09
,,,419,Latin America and the Caribbean,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,Sum of country-specific commitments received by countries in this group,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,20004633.42,20630349.62,42946535.64,16641134.38,114752354.01,149983198.93,13348190.77,49661431.62,57617071.72,20684926.91478,2015.0,20684926.91478
LBN,35.89391711,33.92152458,422,Lebanon,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,89760,113400,122390,1758848,,217465.77,25254.66,2271994.9,5045929,5102606.7665,2015.0,5102606.7665
LSO,28.25362195,-29.58041814,426,Lesotho,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.19,"By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries",17.19.1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,1,SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),2019.Q1.G.01,G,Global,CU_USD,USD,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,Sum of country-specific commitments,G,G,G,G,G,G,G,G,G,G,"2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)",,,,,,,,,,,652718.7,5731703.4,1541451.23,436901.06,426506.8,340791.4,90859.95,330755.6,235653.82,146893.15,2015.0,146893.15
