series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Name of non-communicable disease	Sex description	Units description	Name of non-communicable disease description	2000	2005	2010	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	11	FEMALE	NUMBER	DIA	Female	Number	diabetes	1794	2560	3056	4247	4620	4433.5	2016	4620	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	4	66.02688198	33.83160199	AFG	Afghanistan	12	MALE	NUMBER	DIA	Male	Number	diabetes	1182	1549	1797	2276	2437	2356.5	2016	2437	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	1	FEMALE	NUMBER	RES	Female	Number	chronic respiratory disease	290	314	263	317	314	315.5	2016	314	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	2	BOTHSEX	NUMBER	RES	Both	Number	chronic respiratory disease	824	806	737	880	887	883.5	2016	887	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	3	MALE	NUMBER	RES	Male	Number	chronic respiratory disease	534	492	474	563	573	568	2016	573	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	4	FEMALE	NUMBER	CAN	Female	Number	cancer	1680	1962	2060	2206	2235	2220.5	2016	2235	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	5	MALE	NUMBER	CAN	Male	Number	cancer	2064	2423	2640	2852	2903	2877.5	2016	2903	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	6	BOTHSEX	NUMBER	CAN	Both	Number	cancer	3744	4385	4700	5057	5138	5097.5	2016	5138	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	7	MALE	NUMBER	CAR	Male	Number	cardiovascular disease	5440	6357	6819	7951	8095	8023	2016	8095	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	8	BOTHSEX	NUMBER	CAR	Both	Number	cardiovascular disease	9940	12540	12796	14897	14930	14913.5	2016	14930	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	9	FEMALE	NUMBER	CAR	Female	Number	cardiovascular disease	4500	6184	5977	6946	6835	6890.5	2016	6835	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	10	BOTHSEX	NUMBER	DIA	Both	Number	diabetes	141	160	141	168	168	168	2016	168	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	11	FEMALE	NUMBER	DIA	Female	Number	diabetes	66	82	68	81	79	80	2016	79	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	8	20.06660928	41.13897007	ALB	Albania	12	MALE	NUMBER	DIA	Male	Number	diabetes	75	78	74	88	89	88.5	2016	89	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	E
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	FEMALE	NUMBER	RES	Female	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	2	BOTHSEX	NUMBER	RES	Both	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	3	MALE	NUMBER	RES	Male	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	4	FEMALE	NUMBER	CAN	Female	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	5	MALE	NUMBER	CAN	Male	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	6	BOTHSEX	NUMBER	CAN	Both	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	7	MALE	NUMBER	CAR	Male	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	8	BOTHSEX	NUMBER	CAR	Both	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	9	FEMALE	NUMBER	CAR	Female	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	10	BOTHSEX	NUMBER	DIA	Both	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	11	FEMALE	NUMBER	DIA	Female	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	10	21.47585697	-80.40897662	ATA	Antarctica	12	MALE	NUMBER	DIA	Male	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	1	FEMALE	NUMBER	RES	Female	Number	chronic respiratory disease	2132	2095	2178	2428	2493	2460.5	2016	2493	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	2	BOTHSEX	NUMBER	RES	Both	Number	chronic respiratory disease	5109	4929	5149	5798	5965	5881.5	2016	5965	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	3	MALE	NUMBER	RES	Male	Number	chronic respiratory disease	2977	2834	2970	3370	3471	3420.5	2016	3471	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	4	FEMALE	NUMBER	CAN	Female	Number	cancer	7269	8776	10311	12131	12547	12339	2016	12547	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	5	MALE	NUMBER	CAN	Male	Number	cancer	7794	9074	10236	12180	12619	12399.5	2016	12619	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	6	BOTHSEX	NUMBER	CAN	Both	Number	cancer	15064	17850	20548	24312	25166	24739	2016	25166	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	7	MALE	NUMBER	CAR	Male	Number	cardiovascular disease	28213	27021	29003	33686	34779	34232.5	2016	34779	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	8	BOTHSEX	NUMBER	CAR	Both	Number	cardiovascular disease	55806	54405	58367	67022	69173	68097.5	2016	69173	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	9	FEMALE	NUMBER	CAR	Female	Number	cardiovascular disease	27594	27384	29364	33336	34394	33865	2016	34394	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	10	BOTHSEX	NUMBER	DIA	Both	Number	diabetes	4687	5225	6754	8113	8390	8251.5	2016	8390	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	11	FEMALE	NUMBER	DIA	Female	Number	diabetes	2386	2716	3498	4247	4405	4326	2016	4405	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	12	2.678164227	28.15940032	DZA	Algeria	12	MALE	NUMBER	DIA	Male	Number	diabetes	2301	2508	3256	3866	3985	3925.5	2016	3985	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	FEMALE	NUMBER	RES	Female	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	BOTHSEX	NUMBER	RES	Both	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	MALE	NUMBER	RES	Male	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	4	FEMALE	NUMBER	CAN	Female	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	5	MALE	NUMBER	CAN	Male	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	6	BOTHSEX	NUMBER	CAN	Both	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	7	MALE	NUMBER	CAR	Male	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	8	BOTHSEX	NUMBER	CAR	Both	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	9	FEMALE	NUMBER	CAR	Female	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	10	BOTHSEX	NUMBER	DIA	Both	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	11	FEMALE	NUMBER	DIA	Female	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	12	MALE	NUMBER	DIA	Male	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	1	FEMALE	NUMBER	RES	Female	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	2	BOTHSEX	NUMBER	RES	Both	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	3	MALE	NUMBER	RES	Male	Number	chronic respiratory disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	4	FEMALE	NUMBER	CAN	Female	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	5	MALE	NUMBER	CAN	Male	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	6	BOTHSEX	NUMBER	CAN	Both	Number	cancer										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	7	MALE	NUMBER	CAR	Male	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	8	BOTHSEX	NUMBER	CAR	Both	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	9	FEMALE	NUMBER	CAR	Female	Number	cardiovascular disease										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	10	BOTHSEX	NUMBER	DIA	Both	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	11	FEMALE	NUMBER	DIA	Female	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	20	1.576257417	42.54548611	AND	Andorra	12	MALE	NUMBER	DIA	Male	Number	diabetes										
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	1	FEMALE	NUMBER	RES	Female	Number	chronic respiratory disease	2030	2051	1944	2020	2045	2032.5	2016	2045	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	2	BOTHSEX	NUMBER	RES	Both	Number	chronic respiratory disease	3610	3605	3429	3578	3602	3590	2016	3602	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	3	MALE	NUMBER	RES	Male	Number	chronic respiratory disease	1580	1554	1485	1558	1558	1558	2016	1558	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	4	FEMALE	NUMBER	CAN	Female	Number	cancer	2893	3483	3914	4401	4503	4452	2016	4503	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	5	MALE	NUMBER	CAN	Male	Number	cancer	2094	2565	3127	3808	3952	3880	2016	3952	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	6	BOTHSEX	NUMBER	CAN	Both	Number	cancer	4987	6047	7041	8209	8455	8332	2016	8455	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	7	MALE	NUMBER	CAR	Male	Number	cardiovascular disease	8805	8959	8820	9843	9979	9911	2016	9979	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	8	BOTHSEX	NUMBER	CAR	Both	Number	cardiovascular disease	19888	20270	19915	22100	22541	22320.5	2016	22541	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	9	FEMALE	NUMBER	CAR	Female	Number	cardiovascular disease	11084	11310	11095	12257	12563	12410	2016	12563	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	10	BOTHSEX	NUMBER	DIA	Both	Number	diabetes	1461	1706	1907	2305	2379	2342	2016	2379	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	11	FEMALE	NUMBER	DIA	Female	Number	diabetes	616	728	818	980	1017	998.5	2016	1017	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	24	17.57817062	-12.33724746	AGO	Angola	12	MALE	NUMBER	DIA	Male	Number	diabetes	845	978	1089	1326	1362	1344	2016	1362	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	M
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	FEMALE	NUMBER	RES	Female	Number	chronic respiratory disease	9	9	11	13	13	13	2016	13	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
2018.Q2.G.01	SH_DTH_RNCOM	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	BOTHSEX	NUMBER	RES	Both	Number	chronic respiratory disease	20	19	21	26	28	27	2016	28	Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018	CA
