"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2013.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"35","South-Eastern Asia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"39","Southern Europe","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"53","Australia and New Zealand","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"54","Melanesia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"57","Micronesia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"61","Polynesia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"62","Central and Southern Asia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"97","European Union","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"127","Southern Asia (excluding India)","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"135","Caucasus and Central Asia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"142","Asia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"143","Central Asia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"145","Western Asia","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"150","Europe","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"151","Eastern Europe","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"154","Northern Europe","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"155","Western Europe","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"158","Other non-specified areas","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"199","Least Developed Countries (LDCs)","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"202","Sub-Saharan Africa","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"223","Eastern Asia (excluding Japan and China)","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"369"," Iraq (Central Iraq) ","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"419","Latin America and the Caribbean","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"420","Latin America","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"432","Landlocked developing countries (LLDCs)","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"513","Europe and Northern America","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"515","Developing regions","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"518","Eastern Asia (excluding Japan)","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","5","Achieve gender equality and empower all women and girls","5.6","Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences","5.6.1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","1","SH_FPL_INFM","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","",""
