series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Units	Age description	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	4.16384	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	4.42574	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	44	-78.05111663	24.69546597	BHS	Bahamas	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	4.43127	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	2.16175	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	1.99851	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	1.86729	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	1.95349	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	48	50.5490754	26.04407747	BHR	Bahrain	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	1.94119	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	0.23142	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	0.15872	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	0.20567	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	0.0211	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	50	89.17660788	22.86961622	BGD	Bangladesh	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	0.0211	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	51	44.93839317	40.29499741	ARM	Armenia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	4.21486	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	51	44.93839317	40.29499741	ARM	Armenia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	5.89789	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	51	44.93839317	40.29499741	ARM	Armenia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	5.64062	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	51	44.93839317	40.29499741	ARM	Armenia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	5.61876	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	51	44.93839317	40.29499741	ARM	Armenia	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	5.52248	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	52	-59.5346489	13.13648273	BRB	Barbados	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	6.71851	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	52	-59.5346489	13.13648273	BRB	Barbados	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	7.76984	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	52	-59.5346489	13.13648273	BRB	Barbados	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	8.13024	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	52	-59.5346489	13.13648273	BRB	Barbados	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	9.46731	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	52	-59.5346489	13.13648273	BRB	Barbados	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	9.60178	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	56	4.660976456	50.64104975	BEL	Belgium	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2000	12.094	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	56	4.660976456	50.64104975	BEL	Belgium	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2005	13.12599	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	56	4.660976456	50.64104975	BEL	Belgium	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2010	11.35666	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	56	4.660976456	50.64104975	BEL	Belgium	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2015	12.20772	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
2018.Q2.G.01	SH_ALC_CONSPT	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	56	4.660976456	50.64104975	BEL	Belgium	1	15+	LTPUREAL	15 years old and over	Litres pure alcohol	2016	12.12579	Float		WHO Global Information System on Alcohol and Health (GISAH), 2018	G
