"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1990.0","Value_1991.0","Value_1992.0","Value_1993.0","Value_1994.0","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"19","Americas","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.10","0.11","0.13","0.13","0.15","0.16","0.15","0.15","0.16","0.18","0.19","0.22","0.24","0.29","0.31","0.32","0.36","0.36","0.34","0.32","0.30","0.30","0.29","0.29","0.29","0.31","0.33",2016.0,"0.33","Data nature not available","World Development Indicators, World Bank"
"21","Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.05","0.04","0.05","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.04",2016.0,"0.04","Data nature not available","World Development Indicators, World Bank"
"29","Caribbean","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","0.08","0.09","0.08","0.08","0.07","0.09","0.15","0.11","0.09","0.09","0.11","0.14","0.17","0.18","0.12","0.13","0.15","0.17","0.15","0.17","0.17","0.17","0.17","0.24","0.32","0.26",2016.0,"0.26","Data nature not available","World Development Indicators, World Bank"
"34","Southern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.40","1.72","1.58","1.86","2.16","2.04","2.03","2.28","2.13","2.22","2.46","2.63","3.17","3.42","2.75","2.83","3.03","3.02","3.80","3.65","3.29","3.42","3.77","3.97","3.89","3.87","3.37",2016.0,"3.37","Data nature not available","World Development Indicators, World Bank"
"35","South-Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.97","0.99","0.93","1.00","1.11","1.42","1.25","1.65","2.14","2.18","2.24","2.53","2.59","2.48","2.52","3.04","2.84","2.74","2.59","2.74","2.46","2.27","2.33","2.52","2.64","2.86","2.72",2016.0,"2.72","Data nature not available","World Development Indicators, World Bank"
"39","Southern Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.72","0.63","0.60","0.69","0.65","0.65","0.61","0.60","0.67","0.37","0.40","0.40","0.37","0.35","0.35","0.35","0.35","0.46","0.49","0.51","0.52","0.52","0.55","0.58","0.59","0.63","0.61",2016.0,"0.61","Data nature not available","World Development Indicators, World Bank"
"53","Australia and New Zealand","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.88","0.85","0.69","0.54","0.64","0.48","0.54","0.31","0.17","0.18","0.16","0.16","0.15","0.17","0.16","0.16","0.16","0.17","0.16","0.16","0.17","0.19","0.17","0.16","0.16","0.17","0.18",2016.0,"0.18","Data nature not available","World Development Indicators, World Bank"
"54","Melanesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","0.90","","","","","0.70","1.16","1.97","2.06","2.13","2.65","2.56","1.83","1.49","1.05","1.27","1.09","0.92","0.91","0.96","0.94","1.11","0.45",2016.0,"0.45","Data nature not available","World Development Indicators, World Bank"
"57","Micronesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","Polynesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","21.77","","","","","","","","","","20.20","22.78","22.39","","","",2013.0,"22.39","Data nature not available","World Development Indicators, World Bank"
"62","Central and Southern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.40","1.72","1.58","1.85","2.15","1.98","1.96","2.20","2.05","2.16","2.40","2.56","3.09","3.32","2.67","2.76","2.97","3.01","3.78","3.59","3.26","3.40","3.76","3.94","3.84","3.74","3.32",2016.0,"3.32","Data nature not available","World Development Indicators, World Bank"
"97","European Union","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","Caucasus and Central Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","1.79","2.21","2.06","2.84","3.27","3.40","4.03","4.30","3.64","3.63","3.82","4.15","4.17","3.93","3.02","3.21",2016.0,"3.21","Data nature not available","World Development Indicators, World Bank"
"142","Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","0.35","0.35","0.36","0.39","0.38","0.42","0.56","0.53","0.51","0.53","0.59","0.71","0.77","0.74","0.75","0.82","0.88","0.96","0.93","0.89","0.88","0.91","0.95","1.00","1.06","0.95",2016.0,"0.95","Data nature not available","World Development Indicators, World Bank"
"143","Central Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","0.75","1.03","1.36","2.18","2.89","3.61","2.81","2.91","3.18","3.61","3.70","3.40","2.39","2.61",2016.0,"2.61","Data nature not available","World Development Indicators, World Bank"
"145","Western Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","1.23","1.20","1.19","1.16","1.24","1.02","0.88","0.93","0.96","0.98","1.03","0.99",2016.0,"0.99","Data nature not available","World Development Indicators, World Bank"
"150","Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.41","0.40","0.39","0.41","0.41","0.34","0.33","0.39","0.41","0.39","0.41","0.43","0.44","0.45","0.47","0.49","0.51","0.55","0.57","0.60","0.60","0.60","0.61","0.66","0.66","0.69","0.70",2016.0,"0.70","Data nature not available","World Development Indicators, World Bank"
"151","Eastern Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","0.87","0.18","0.18","0.20","0.31","0.35","0.51","0.68","0.72","0.83","1.15","1.25","1.25","1.23","1.09","1.13","1.00","0.92","0.92","1.08","1.15","1.37","1.45",2016.0,"1.45","Data nature not available","World Development Indicators, World Bank"
"154","Northern Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.17","0.17","0.18","0.18","0.18","0.13","0.14","0.16","0.13","0.31","0.30","0.31","0.29","0.30","0.30","0.30","0.30","0.31","0.36","0.38","0.37","0.37","0.36","0.37","0.35","0.32","0.31",2016.0,"0.31","Data nature not available","World Development Indicators, World Bank"
"155","Western Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.37","0.39","0.38","0.38","0.34","0.32","0.32","0.44","0.44","0.44","0.45","0.47","0.50","0.51","0.49","0.50","0.52","0.53","0.55","0.61","0.62","0.64","0.65","0.67","0.67","0.71","0.72",2016.0,"0.72","Data nature not available","World Development Indicators, World Bank"
"158","Other non-specified areas","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","3.70","","3.68","3.43","3.53","3.44","2.98","3.23","3.62","3.77","3.93","4.21","5.12","5.03","4.97","4.61","4.59","4.64","4.11","4.32","4.09","3.96","4.38","4.32","4.11","4.25","3.99",2016.0,"3.99","Data nature not available","World Development Indicators, World Bank"
"202","Sub-Saharan Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.68","0.67","0.71","0.97","0.88","0.91","0.89","1.34","1.32","1.29","1.37","1.16","1.19","1.06","1.27","3.26","3.34","3.23","2.89","3.05","2.43","2.54","2.47","2.34","2.33","2.79","2.69",2016.0,"2.69","Data nature not available","World Development Indicators, World Bank"
"223","Eastern Asia (excluding Japan and China)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"419","Latin America and the Caribbean","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.53","0.51","0.68","0.61","0.68","0.74","0.69","0.67","0.75","0.94","0.93","1.15","1.49","1.90","1.92","1.82","1.82","1.65","1.44","1.35","1.15","1.03","1.03","1.02","1.05","1.42","1.57",2016.0,"1.57","Data nature not available","World Development Indicators, World Bank"
"420","Latin America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","1.46","1.62","1.50","1.83","2.20","2.31","3.19","3.14","3.50","3.81","3.85","4.34","4.48","4.08","4.07","4.19","4.44","4.38","4.18","3.86","3.92",2016.0,"3.92","Data nature not available","World Development Indicators, World Bank"
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","1.21","1.15","1.07","1.00","1.15","0.89","0.73","0.79","0.85","0.87","0.97","0.94",2016.0,"0.94","Data nature not available","World Development Indicators, World Bank"
"513","Europe and Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.24","0.23","0.23","0.23","0.24","0.20","0.20","0.22","0.23","0.22","0.21","0.22","0.23","0.25","0.27","0.28","0.29","0.33","0.35","0.36","0.35","0.36","0.35","0.38","0.37","0.36","0.36",2016.0,"0.36","Data nature not available","World Development Indicators, World Bank"
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.26","0.21","0.20","0.19","0.20","0.17","0.17","0.18","0.19","0.18","0.18","0.19","0.20","0.21","0.23","0.24","0.26","0.29","0.31","0.31","0.30","0.31","0.31","0.33","0.34","0.33","0.32",2016.0,"0.32","Data nature not available","World Development Indicators, World Bank"
"515","Developing regions","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.04","1.02","1.16","1.12","1.10","1.09","1.04","1.20","1.17","1.22","1.21","1.32","1.53","1.70","1.64","1.62","1.62","1.57","1.56","1.51","1.37","1.30","1.33","1.30","1.33","1.45","1.37",2016.0,"1.37","Data nature not available","World Development Indicators, World Bank"
"518","Eastern Asia (excluding Japan)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.41","0.43","0.46","0.42","0.39","0.28","0.34","0.56","0.35","0.29","0.28","0.29","0.34","0.43","0.45","0.27","0.24","0.25","0.29","0.25","0.27","0.26","0.24","0.22","0.30","0.40","0.33",2016.0,"0.33","Data nature not available","World Development Indicators, World Bank"
"535","Bonaire, Sint Eustatius and Saba","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.3","Mobilize additional financial resources for developing countries from multiple sources","17.3.2","Volume of remittances (in United States dollars) as a proportion of total GDP","1","BX_TRF_PWKR","Volume of remittances (in United States dollars) as a proportion of total GDP (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
