GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Sex_Code,Sex_Desc,TypeOfSkill_Code,TypeOfSkill_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,CMFL,Copying or moving a file or folder,G,Global,C,Country data,PERCENT,Percentage,40,Austria,2016.0,,65.7,Float,ITU World Telecommunication/ICT Indicators database.,,AUT,14.14172472,47.58704857
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,CMFL,Copying or moving a file or folder,G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,59.2,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,EMAIL,Sending e-mails with attached files,G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,48.3,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,EPRS,Creating electronic presentations with presentation software,G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,5.7,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,COPA,Using copy and paste tools to duplicate or move information within a document,G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,57.4,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,ARSP,Using basic arithmetic formula in a spreadsheet,G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,18.7,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,INST,Connecting and installing new devices,G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,12.7,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,SOFT,"Finding, downloading, installing and configuring software",G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,7.3,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,TRAF,Transferring files between a computer and other devices,G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,3.6,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,PCPR,Writing a computer program using a specialized programming language,G,Global,C,Country data,PERCENT,Percentage,31,Azerbaijan,2016.0,,0.6,Float,ITU World Telecommunication/ICT Indicators database.,,AZE,50.01064725,40.39229544
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,EPRS,Creating electronic presentations with presentation software,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,55.9,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,INST,Connecting and installing new devices,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,57.6,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,ARSP,Using basic arithmetic formula in a spreadsheet,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,32.7,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,ARSP,Using basic arithmetic formula in a spreadsheet,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,57.7,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,CMFL,Copying or moving a file or folder,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,82.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,INST,Connecting and installing new devices,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,47.3,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,COPA,Using copy and paste tools to duplicate or move information within a document,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,42.9,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,EMAIL,Sending e-mails with attached files,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,74.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,INST,Connecting and installing new devices,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,54.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,EPRS,Creating electronic presentations with presentation software,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,44.6,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,EPRS,Creating electronic presentations with presentation software,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,52.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,EMAIL,Sending e-mails with attached files,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,57.9,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,CMFL,Copying or moving a file or folder,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,69.4,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,CMFL,Copying or moving a file or folder,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,88.7,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,COPA,Using copy and paste tools to duplicate or move information within a document,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,56.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,COPA,Using copy and paste tools to duplicate or move information within a document,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,63.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,EMAIL,Sending e-mails with attached files,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,82.6,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,ARSP,Using basic arithmetic formula in a spreadsheet,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,49.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,SOFT,"Finding, downloading, installing and configuring software",G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,40.2,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,FEMALE,Female,PCPR,Writing a computer program using a specialized programming language,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,11.1,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,MALE,Male,PCPR,Writing a computer program using a specialized programming language,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,15.6,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,PCPR,Writing a computer program using a specialized programming language,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,14.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,"By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,TRAF,Transferring files between a computer and other devices,G,Global,C,Country data,PERCENT,Percentage,48,Bahrain,2016.0,,50.0,Float,ITU World Telecommunication/ICT Indicators database.,,BHR,50.5490754,26.04407747
