ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2006,Footnotes_2007,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Nature_Code_2006,Nature_Code_2007,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Source_2006,Source_2007,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,TimeDetail_2006,TimeDetail_2007,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,Value_2006,Value_2007,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Latest_Year,Latest_Value
,,,142,Asia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,24.6,2017.0,24.6
,,,143,Central Asia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,32.4,2017.0,32.4
LKA,80.70489654,7.614693343,144,Sri Lanka,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,2011.0,10.0
,,,145,Western Asia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,17.1,2017.0,17.1
TCD,18.66618401,15.36279341,148,Chad,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,2009.0,35.0
,,,15,Northern Africa,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,20.1,2017.0,20.1
,,,150,Europe,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,10.4,2017.0,10.4
,,,151,Eastern Europe,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,13.5,2017.0,13.5
CHL,-71.23029019,-35.2652885,152,Chile,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,2010.0,1.3
,,,154,Northern Europe,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,4.0,2017.0,4.0
CHN,104.1403375,32.30955217,156,China,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,2012.0,11.6
,,,17,Middle Africa,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,35.9,2017.0,35.9
COL,-73.07446751,3.888209046,170,Colombia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,2010.0,2.2
COG,15.22052612,-0.840544119,178,Congo,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,2009.0,37.5
,,,18,Southern Africa,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,8.6,2017.0,8.6
COD,23.65496507,-2.877154732,180,Democratic Republic of the Congo,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,56.5,,,,,2013.0,56.5
CRI,-84.19712782,9.970998683,188,Costa Rica,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,2010.0,8.7
HRV,17.95874553,45.45172212,191,Croatia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,3.9,,,,,2013.0,3.9
,,,199,Least Developed Countries (LDCs),16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,27.0,2017.0,27.0
,,,202,Sub-Saharan Africa,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,21.9,2017.0,21.9
CZE,15.33151382,49.73913871,203,Czechia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,3.5,,,,,2013.0,3.5
BEN,2.339933594,9.65401646,204,Benin,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,14.5,,2016.0,14.5
DMA,-61.3493756,15.43391378,212,Dominica,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,2010.0,5.8
DOM,-70.49847576,18.89832088,214,Dominican Republic,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,12.3,,2016.0,12.3
ECU,-78.37005241,-1.447785891,218,Ecuador,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,5.9,2017.0,5.9
SLV,-88.86862995,13.73603564,222,El Salvador,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,4.2,,2016.0,4.2
ETH,39.63505296,8.631223181,231,Ethiopia,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,26.8,,,2015.0,26.8
ERI,38.11074289,16.12894644,232,Eritrea,16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.5,Substantially reduce corruption and bribery in all their forms,16.5.2,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",1,IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,E,,,,,,,,,,,"World Development Indicators database, World Bank",,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2009.0,0.0
