"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"10","Antarctica","ATA","21.47585697","-80.40897662","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","0.00",2016.0,"0.00","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"12","Algeria","DZA","2.678164227","28.15940032","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","40.63",2016.0,"40.63","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"12","Algeria","DZA","2.678164227","28.15940032","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","21.88",2016.0,"21.88","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult females.
"
"12","Algeria","DZA","2.678164227","28.15940032","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","31.25",2016.0,"31.25","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult males.
"
"16","American Samoa","ASM","-170.7187269","-14.30587306","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","2.08","",2015.0,"2.08","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult males.
"
"31","Azerbaijan","AZE","50.01064725","40.39229544","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","0.00","",2015.0,"0.00","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"31","Azerbaijan","AZE","50.01064725","40.39229544","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","97.92","",2015.0,"97.92","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult females.
"
"31","Azerbaijan","AZE","50.01064725","40.39229544","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","0.00","",2015.0,"0.00","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"32","Argentina","ARG","-65.14563274","-35.19446255","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","67.39",2016.0,"67.39","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult females.
"
"32","Argentina","ARG","-65.14563274","-35.19446255","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","21.98",2016.0,"21.98","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult males.
"
"32","Argentina","ARG","-65.14563274","-35.19446255","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","2.90",2016.0,"2.90","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"32","Argentina","ARG","-65.14563274","-35.19446255","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","6.76",2016.0,"6.76","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"36","Australia","AUS","134.3499412","-25.57717202","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","0.00",2016.0,"0.00","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult males.
"
"36","Australia","AUS","134.3499412","-25.57717202","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","27.78",2016.0,"27.78","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"36","Australia","AUS","134.3499412","-25.57717202","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","0.00",2016.0,"0.00","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"36","Australia","AUS","134.3499412","-25.57717202","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","0.00",2016.0,"0.00","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult females.
"
"40","Austria","AUT","14.14172472","47.58704857","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","0.00",2016.0,"0.00","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"40","Austria","AUT","14.14172472","47.58704857","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","1.19",2016.0,"1.19","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them.
"
"40","Austria","AUT","14.14172472","47.58704857","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","28.06",2016.0,"28.06","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult males.
"
"40","Austria","AUT","14.14172472","47.58704857","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","7.51",2016.0,"7.51","Country data","GLOTIP Database","Data in reference to one country but derived from different types of sources should not be compared between them; Age group refers to adult females.
"
"44","Bahamas","BHS","-78.05111663","24.69546597","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","FEMALE","Female","","","","","","","",""
"44","Bahamas","BHS","-78.05111663","24.69546597","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","","","","",""
"44","Bahamas","BHS","-78.05111663","24.69546597","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","","","","",""
"44","Bahamas","BHS","-78.05111663","24.69546597","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.2","End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","1","VC_VAW_DIST","Age and sex distribution of detected victims of trafficking in persons (%)","2019.Q1.G.01","PERCENT","Percentage","<15Y","under 15 years old","G","Global","MALE","Male","","","","","","","",""
