"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1990.0","Value_1991.0","Value_1992.0","Value_1993.0","Value_1994.0","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"19","Americas","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","Caribbean","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","16.74","16.21","15.86","16.76","23.04","26.33","23.59","24.58","18.99","15.66","13.58","13.20","15.60","18.31","9.30","9.35","3.95","4.71","5.12","3.59","2.84","2.51","2.95","3.95","4.52","4.06","5.73",2016.0,"5.73","Data nature not available","World Development Indicators, World Bank"
"35","South-Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","Southern Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","Australia and New Zealand","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","Melanesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","14.21","11.35","7.88","8.20","10.21","7.80","6.05","6.99","5.92","6.04","6.02","5.11","5.39","4.98","5.48","4.19","2.74","3.42","2.66","1.83","1.41","2.81","1.41","1.52","1.28","1.19","7.29",2016.0,"7.29","Data nature not available","World Development Indicators, World Bank"
"57","Micronesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","Polynesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","7.35","7.82","7.77","6.82","10.07","6.57","5.76","5.44","4.64","5.74","","8.89","","","","","","","","","","","","","","9.38","",2015.0,"9.38","Data nature not available","World Development Indicators, World Bank"
"62","Central and Southern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","16.74","16.21","15.86","16.76","23.04","24.67","22.05","22.85","18.07","15.37","13.18","12.35","14.68","16.47","8.57","8.60","3.49","4.18","4.28","3.17","2.52","2.18","2.56","3.46","4.05","3.84","5.50",2016.0,"5.50","Data nature not available","World Development Indicators, World Bank"
"97","European Union","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","Caucasus and Central Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","1.94","3.84","4.19","4.90","8.70","10.99","8.60","5.49","7.37","4.42","4.51","3.76","1.44","1.44","0.72","1.14","1.08","1.13","1.10","2.10","1.74","2.94","3.85",2016.0,"3.85","Data nature not available","World Development Indicators, World Bank"
"142","Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"143","Central Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","4.20","4.20","4.57","7.61","11.56","8.87","5.28","7.75","3.50","4.05","4.10","1.05","1.47","0.46","0.64","0.66","0.37","0.52","0.77","1.18","1.87","3.06",2016.0,"3.06","Data nature not available","World Development Indicators, World Bank"
"145","Western Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150","Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"151","Eastern Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","5.41","","","4.20","4.27","","","","",2012.0,"4.27","Data nature not available","World Development Indicators, World Bank"
"154","Northern Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"155","Western Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158","Other non-specified areas","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","17.85","18.70","12.40","11.91","12.38","13.92","14.58","13.25","15.71","13.79","12.34","13.37","9.68","9.79","8.97","6.99","7.01","6.28","3.55","5.39","3.48","3.49","4.55","4.59","5.49","6.75","8.63",2016.0,"8.63","Data nature not available","World Development Indicators, World Bank"
"202","Sub-Saharan Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","10.82","9.34","10.67","9.96","11.91","8.32","9.07","10.40","7.43","6.73","5.59","8.51","7.19","3.78","2.94","3.85","2.46","2.31","3.08","4.12","3.91","4.71","7.18",2016.0,"7.18","Data nature not available","World Development Indicators, World Bank"
"223","Eastern Asia (excluding Japan and China)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"419","Latin America and the Caribbean","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","20.73","20.10","21.67","18.29","16.87","21.43","25.12","25.27","19.15","22.33","21.40","18.26","18.89","21.96","15.54","15.76","14.86","8.92","7.65","8.43","6.76","6.06","6.50","6.41","5.90","9.24","11.13",2016.0,"11.13","Data nature not available","World Development Indicators, World Bank"
"420","Latin America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","14.47","15.99","16.28","12.72","10.75","7.14","7.87","7.37","8.61","9.68","8.21","7.23","7.78","6.82","5.63","4.51","2.74","2.27","1.49","1.91","1.63","1.32","1.65","2.45","2.29","3.80","4.90",2016.0,"4.90","Data nature not available","World Development Indicators, World Bank"
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"513","Europe and Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"515","Developing regions","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","14.01","","15.08","15.22","","","","","","","","","","","","","","","","","","3.81","4.27",2016.0,"4.27","Data nature not available","World Development Indicators, World Bank"
"518","Eastern Asia (excluding Japan)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
