"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"151","Eastern Europe","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"154","Northern Europe","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"155","Western Europe","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"158","Other non-specified areas","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"202","Sub-Saharan Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"223","Eastern Asia (excluding Japan and China)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","9.71","9.28","9.24","11.11","10.08",2014.0,"10.08","Country data","National Statistical Office","Iraq (Central Iraq): excluding victims of terrorist attacks."
"419","Latin America and the Caribbean","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"420","Latin America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"513","Europe and Northern America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"515","Developing regions","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"518","Eastern Asia (excluding Japan)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"722","Small island developing States (SIDS)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"738","Sub-Saharan Africa (inc. Sudan)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"746","Northern Africa (exc. Sudan)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"747","Northern Africa and Western Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"753","Eastern and South-Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"827","United Kingdom (England and Wales)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"828","United Kingdom (Northern Ireland)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"829","United Kingdom (Scotland)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"830","Channel Islands","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"891","Serbia and Montenegro [former]","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"910","High income economies (WB)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"911","Low income economies (WB)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"912","Lower middle economies (WB)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"913","Low and middle income economies (WB)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"914","Upper middle economies (WB)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
"917","International Centers (FAO)","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.1","Significantly reduce all forms of violence and related death rates everywhere","16.1.1","Number of victims of intentional homicide per 100,000 population, by sex and age","1","VC_IHR_PSRC","Number of victims of intentional homicide per 100,000 population (victims per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","","","","","","",""
