GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Sex_Code,Sex_Desc,TypeOfSkill_Code,TypeOfSkill_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,203,Czechia,2012.0,,98.25404,Float,Programme for the International Assessment of Adult Competencies (OECD),,CZE,15.33151382,49.73913871
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,203,Czechia,2012.0,,98.45518,Float,Programme for the International Assessment of Adult Competencies (OECD),,CZE,15.33151382,49.73913871
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,208,Denmark,2012.0,,96.17444,Float,Programme for the International Assessment of Adult Competencies (OECD),,DNK,9.326571283,56.03829721
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,208,Denmark,2012.0,,96.57757,Float,Programme for the International Assessment of Adult Competencies (OECD),,DNK,9.326571283,56.03829721
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,233,Estonia,2012.0,,97.98105,Float,Programme for the International Assessment of Adult Competencies (OECD),,EST,25.84093481,58.68487172
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,233,Estonia,2012.0,,97.5802,Float,Programme for the International Assessment of Adult Competencies (OECD),,EST,25.84093481,58.68487172
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,246,Finland,2012.0,,97.34195,Float,Programme for the International Assessment of Adult Competencies (OECD),,FIN,23.308447,61.91586738
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,246,Finland,2012.0,,96.88221,Float,Programme for the International Assessment of Adult Competencies (OECD),,FIN,23.308447,61.91586738
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,250,France,2012.0,,90.83946,Float,Programme for the International Assessment of Adult Competencies (OECD),,FRA,2.457288129,46.62660861
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,250,France,2012.0,,94.62793,Float,Programme for the International Assessment of Adult Competencies (OECD),,FRA,2.457288129,46.62660861
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,15-65,15 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,268,Georgia,2013.0,,95.866,Float,Skills Measurement Program (World Bank),,GEO,43.3713615,42.04813028
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,276,Germany,2012.0,,96.67178,Float,Programme for the International Assessment of Adult Competencies (OECD),,DEU,10.3806066,51.08862743
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,276,Germany,2012.0,,95.42435,Float,Programme for the International Assessment of Adult Competencies (OECD),,DEU,10.3806066,51.08862743
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,15-65,15 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,288,Ghana,2013.0,,50.439,Float,Skills Measurement Program (World Bank),,GHA,-1.205623522,7.964825185
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,300,Greece,2015.0,,94.02037,Float,Programme for the International Assessment of Adult Competencies (OECD),,GRC,22.58307827,39.47301873
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,300,Greece,2015.0,,95.0456,Float,Programme for the International Assessment of Adult Competencies (OECD),,GRC,22.58307827,39.47301873
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,372,Ireland,2012.0,,95.69596,Float,Programme for the International Assessment of Adult Competencies (OECD),,IRL,-7.121425272,53.25274054
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,372,Ireland,2012.0,,92.88103,Float,Programme for the International Assessment of Adult Competencies (OECD),,IRL,-7.121425272,53.25274054
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,376,Israel,2015.0,,91.75074,Float,Programme for the International Assessment of Adult Competencies (OECD),,ISR,34.62277992,31.06164552
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,376,Israel,2015.0,,88.40109,Float,Programme for the International Assessment of Adult Competencies (OECD),,ISR,34.62277992,31.06164552
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,380,Italy,2012.0,,94.44205,Float,Programme for the International Assessment of Adult Competencies (OECD),,ITA,12.57022427,42.79917282
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,380,Italy,2012.0,,91.9404,Float,Programme for the International Assessment of Adult Competencies (OECD),,ITA,12.57022427,42.79917282
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,392,Japan,2012.0,,98.80865,Float,Programme for the International Assessment of Adult Competencies (OECD),,JPN,139.2716103,36.6554539
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,392,Japan,2012.0,,99.42832,Float,Programme for the International Assessment of Adult Competencies (OECD),,JPN,139.2716103,36.6554539
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,15-65,15 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,418,Lao People's Democratic Republic,2012.0,,73.7876,Float,Skills Measurement Program (World Bank),,LAO,101.9901968,20.27482773
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,440,Lithuania,2015.0,,97.73548,Float,Programme for the International Assessment of Adult Competencies (OECD),,LTU,23.90517807,55.33680309
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,440,Lithuania,2015.0,,96.40645,Float,Programme for the International Assessment of Adult Competencies (OECD),,LTU,23.90517807,55.33680309
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,NUME,Numeracy,G,Global,C,Country data,PERCENT,Percentage,528,Netherlands,2012.0,,96.42406,Float,Programme for the International Assessment of Adult Competencies (OECD),,NLD,5.331480568,51.86728884
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,"By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy",4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q1.G.01,16-65,16 to 65 years old,BOTHSEX,Both sexes,LITE,Literacy,G,Global,C,Country data,PERCENT,Percentage,528,Netherlands,2012.0,,97.37883,Float,Programme for the International Assessment of Adult Competencies (OECD),,NLD,5.331480568,51.86728884
