"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Age_Code","Age_Desc","Sex_Code","Sex_Desc","TypeOfSkill_Code","TypeOfSkill_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2012","Footnotes_2013","Footnotes_2015","Nature_Code_2012","Nature_Code_2013","Nature_Code_2015","Source_2012","Source_2013","Source_2015","TimeDetail_2012","TimeDetail_2013","TimeDetail_2015","Value_2012","Value_2013","Value_2015","Latest_Year","Latest_Value"
"GHA","-1.205623522","7.964825185","288","Ghana","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"GHA","-1.205623522","7.964825185","288","Ghana","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"LAO","101.9901968","20.27482773","418","Lao People's Democratic Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","C","","","Skills Measurement Program (World Bank)","","","","","","73.7876","","",2012.0,"73.7876"
"LAO","101.9901968","20.27482773","418","Lao People's Democratic Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"LAO","101.9901968","20.27482773","418","Lao People's Democratic Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"ARM","44.93839317","40.29499741","51","Armenia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","C","","","Skills Measurement Program (World Bank)","","","","","","98.9712","",2013.0,"98.9712"
"ARM","44.93839317","40.29499741","51","Armenia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"ARM","44.93839317","40.29499741","51","Armenia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"BOL","-64.66224284","-16.71273412","68","Bolivia (Plurinational State of)","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","C","","","Skills Measurement Program (World Bank)","","","","","","84.4739","","",2012.0,"84.4739"
"BOL","-64.66224284","-16.71273412","68","Bolivia (Plurinational State of)","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"BOL","-64.66224284","-16.71273412","68","Bolivia (Plurinational State of)","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"VNM","105.802499","10.09643079","704","Viet Nam","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","C","","","Skills Measurement Program (World Bank)","","","","","","95.1204","","",2012.0,"95.1204"
"VNM","105.802499","10.09643079","704","Viet Nam","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"VNM","105.802499","10.09643079","704","Viet Nam","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"CAN","-101.6575058","57.72360191","124","Canada","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"CAN","-101.6575058","57.72360191","124","Canada","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","96.1519","","",2012.0,"96.1519"
"CAN","-101.6575058","57.72360191","124","Canada","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","94.04024","","",2012.0,"94.04024"
"CHL","-71.23029019","-35.2652885","152","Chile","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"CHL","-71.23029019","-35.2652885","152","Chile","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","79.63343",2015.0,"79.63343"
"CHL","-71.23029019","-35.2652885","152","Chile","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","69.16294",2015.0,"69.16294"
"CYP","33.22285964","35.05659437","196","Cyprus","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"CYP","33.22285964","35.05659437","196","Cyprus","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","98.1137","","",2012.0,"98.1137"
"CYP","33.22285964","35.05659437","196","Cyprus","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","95.89813","","",2012.0,"95.89813"
"CZE","15.33151382","49.73913871","203","Czechia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"CZE","15.33151382","49.73913871","203","Czechia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","98.45518","","",2012.0,"98.45518"
"CZE","15.33151382","49.73913871","203","Czechia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","98.25404","","",2012.0,"98.25404"
"DNK","9.326571283","56.03829721","208","Denmark","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"DNK","9.326571283","56.03829721","208","Denmark","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","96.17444","","",2012.0,"96.17444"
"DNK","9.326571283","56.03829721","208","Denmark","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","96.57757","","",2012.0,"96.57757"
"EST","25.84093481","58.68487172","233","Estonia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","15-65","15 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","",""
"EST","25.84093481","58.68487172","233","Estonia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","LITE","Literacy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","97.98105","","",2012.0,"97.98105"
"EST","25.84093481","58.68487172","233","Estonia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.6","By 2030, ensure that all youth and a substantial proportion of adults, both men and women, achieve literacy and numeracy","4.6.1","Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","1","SE_ADT_FUNS","Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)","2019.Q1.G.01","16-65","16 to 65 years old","BOTHSEX","Both sexes","NUME","Numeracy","G","Global","PERCENT","Percentage","","","","C","","","Programme for the International Assessment of Adult Competencies (OECD)","","","","","","97.5802","","",2012.0,"97.5802"
