"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000.0","Value_2005.0","Value_2010.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","13.1","11.8","10.7","10.4","10.3",2016.0,"10.3","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"9","Oceania","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","16.2","14.4","13","12.6","12.4",2016.0,"12.4","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","","","","","","","","",""
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"11","Western Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","","","","","","","","",""
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","","","","","","","","",""
"13","Central America","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","","","","","","","","",""
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","","","","","","","","",""
"14","Eastern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","","","","","","","","",""
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","21.5","20.6","19.7","19.2","18.8",2016.0,"18.8","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","27.8","26.5","25.1","24.3","24",2016.0,"24","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"15","Northern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","24.6","23.5","22.3","21.8","21.4",2016.0,"21.4","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","","","","","","","","",""
"17","Middle Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","","","","","","","","",""
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","","","","","","","","",""
"18","Southern Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","","","","","","","","",""
"19","Americas","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"19","Americas","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","","","","","","","","",""
"19","Americas","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","","","","","","","","",""
"21","Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","14.2","12.7","11.4","11.2","11.4",2016.0,"11.4","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"21","Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","21.2","18.8","17","16.6","16.9",2016.0,"16.9","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"21","Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","17.6","15.7","14.1","13.9","14.1",2016.0,"14.1","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"29","Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","",""
"29","Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","","","","","","","","",""
"29","Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","","","","","","","","",""
"30","Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","20","17.7","16.8","16.2","15.9",2016.0,"15.9","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"30","Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","23.4","20.7","19.8","19.1","18.8",2016.0,"18.8","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"30","Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","16.3","14.6","13.6","13.1","12.9",2016.0,"12.9","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"34","Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","28.6","27.2","26.5","26","25.9",2016.0,"25.9","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"34","Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","23.4","22.4","21.2","20","19.8",2016.0,"19.8","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"34","Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","26.1","24.8","23.9","23","22.9",2016.0,"22.9","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"35","South-Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","MALE","Male","27.2","27.9","27.5","26.7","26.6",2016.0,"26.6","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"35","South-Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","FEMALE","Female","20.5","20","19.1","18.2","18",2016.0,"18","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"35","South-Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","PERCENT","Percentage","30-70","30 to 70 years old","G","Global","BOTHSEX","Both sexes","23.7","23.8","23.2","22.4","22.2",2016.0,"22.2","Data nature not available","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
