"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000.0","Value_2005.0","Value_2010.0","Value_2015.0","Value_2018.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"21","Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","85.9","85.9","85.3","83.1","83.5",2018.0,"83.5","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"29","Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"30","Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","94.1","93.9","93.6","93.3","93.2",2018.0,"93.2","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"34","Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","63.7","66.1","68.3","70.4","71.7",2018.0,"71.7","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"35","South-Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","69.7","72.8","74.3","74.9","75.3",2018.0,"75.3","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"39","Southern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"53","Australia and New Zealand","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","83.1","82.4","82.6","83.3","83.4",2018.0,"83.4","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"54","Melanesia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"57","Micronesia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"61","Polynesia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"62","Central and Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","64.0","66.5","68.6","70.7","71.9",2018.0,"71.9","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"97","European Union","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"127","Southern Asia (excluding India)","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"135","Caucasus and Central Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"142","Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"143","Central Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","74.3","76.1","76.1","76.8","77.4",2018.0,"77.4","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"145","Western Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","46.9","50.9","53.8","56.2","58.0",2018.0,"58.0","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"150","Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","69.6","72.7","74.6","76.7","77.7",2018.0,"77.7","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"151","Eastern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"154","Northern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"155","Western Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"158","Other non-specified areas","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","39.4","45.1","50.8","56.3","58.5",2018.0,"58.5","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"202","Sub-Saharan Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","31.1","35.7","41.3","48.2","51.1",2018.0,"51.1","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"223","Eastern Asia (excluding Japan and China)","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"419","Latin America and the Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","76.3","79.4","81.6","82.6","82.8",2018.0,"82.8","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"420","Latin America","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","42.3","47.5","53.7","59.3","61.5",2018.0,"61.5","Estimated data","United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.","The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union."
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","3","Ensure healthy lives and promote well-being for all at all ages","3.7","By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes","3.7.1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","1","SH_FPL_MTMM","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)","2019.Q1.G.01","PERCENT","Percentage","15-49","15 to 49 years old","G","Global","FEMALE","Female","","","","","","","","","",""
