"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2005.0","Value_2010.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"21","Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"29","Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"30","Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"34","Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"35","South-Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"39","Southern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"53","Australia and New Zealand","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"54","Melanesia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"57","Micronesia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"61","Polynesia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"62","Central and Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","11.59","11.78","13.27",2010.0,"13.27","Estimated data","Global database on financial protection http://apps.who.int/gho/cabinet/uhc.jsp and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report; Key indicator of the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report","[2000]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 1995-2005. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1 // [2005]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 2000-2010. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1 // [2010]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 2005-2015. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1"
"97","European Union","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"127","Southern Asia (excluding India)","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"135","Caucasus and Central Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"142","Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"143","Central Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"145","Western Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"150","Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","6.51","7.01","7.22",2010.0,"7.22","Estimated data","Global database on financial protection http://apps.who.int/gho/cabinet/uhc.jsp and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report; Key indicator of the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report","[2000]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 1995-2005. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1 // [2005]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 2000-2010. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1 // [2010]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 2005-2015. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1"
"151","Eastern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"154","Northern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"155","Western Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"158","Other non-specified areas","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"199","Least Developed Countries (LDCs)","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"202","Sub-Saharan Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"223","Eastern Asia (excluding Japan and China)","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"369"," Iraq (Central Iraq) ","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"419","Latin America and the Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","13.44","17.53","14.81",2010.0,"14.81","Estimated data","Global database on financial protection http://apps.who.int/gho/cabinet/uhc.jsp and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report; Key indicator of the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report","[2000]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 1995-2005. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1 // [2005]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 2000-2010. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1 // [2010]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 2005-2015. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1"
"420","Latin America","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"513","Europe and Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","6.2","6.5","6.4",2010.0,"6.4","Estimated data","Global database on financial protection http://apps.who.int/gho/cabinet/uhc.jsp and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report; Key indicator of the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report","[2000]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 1995-2005. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1 // [2005]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 2000-2010. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1 // [2010]: This regional aggregate is produced by lining-up all countries within an SDG region with estimates available for the period 2005-2015. For a detailed information please refer to the 2017 global report on Tracking universal health coverage available at  http://www.who.int/healthinfo/universal_health_coverage/report/2017/en/ and http://www.worldbank.org/en/topic/universalhealthcoverage/publication/tracking-universal-health-coverage-2017-global-monitoring-report as well as to Wagstaff et al (2018) http://dx.doi.org/10.1016/S2214-109X(17)30429-1"
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"515","Developing regions","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"518","Eastern Asia (excluding Japan)","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","3","Ensure healthy lives and promote well-being for all at all ages","3.8","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all","3.8.2","Proportion of population with large household expenditures on health as a share of total household expenditure or income","2","SH_XPD_EARN10","Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","",""
