"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2014.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"19","Americas","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"21","Northern America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"29","Caribbean","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"30","Eastern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"34","Southern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"35","South-Eastern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"39","Southern Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"53","Australia and New Zealand","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.03","0.03",2014.0,"0.03","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"54","Melanesia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"57","Micronesia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"61","Polynesia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"62","Central and Southern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","46","32",2014.0,"32","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"97","European Union","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"127","Southern Asia (excluding India)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"135","Caucasus and Central Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"142","Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"143","Central Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"145","Western Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"150","Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"151","Eastern Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"154","Northern Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"155","Western Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"158","Other non-specified areas","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"199","Least Developed Countries (LDCs)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"202","Sub-Saharan Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","65","56",2014.0,"56","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"223","Eastern Asia (excluding Japan and China)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"369"," Iraq (Central Iraq) ","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"419","Latin America and the Caribbean","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","29","21",2014.0,"21","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"420","Latin America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"432","Landlocked developing countries (LLDCs)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"513","Europe and Northern America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.1","0.1",2014.0,"0.1","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"515","Developing regions","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"518","Eastern Asia (excluding Japan)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"722","Small island developing States (SIDS)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"738","Sub-Saharan Africa (inc. Sudan)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"746","Northern Africa (exc. Sudan)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"747","Northern Africa and Western Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","23","22",2014.0,"22","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"753","Eastern and South-Eastern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","38","28",2014.0,"28","Data nature not available","United Nations Human Settlements Programme (UN-HABITAT)"
"827","United Kingdom (England and Wales)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"828","United Kingdom (Northern Ireland)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"829","United Kingdom (Scotland)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"830","Channel Islands","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"891","Serbia and Montenegro [former]","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"910","High income economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"911","Low income economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"912","Lower middle economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"913","Low and middle income economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"914","Upper middle economies (WB)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"917","International Centers (FAO)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"918","European Union (EU) Institutions","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"919","Regional Centres (FAO)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"920","Azores Islands","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
"921","ODA residual","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.1","By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums","11.1.1","Proportion of urban population living in slums, informal settlements or inadequate housing","1","EN_LND_SLUM","Proportion of urban population living in slums (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","",""
