"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"36","Australia","AUS","134.3499412","-25.57717202","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"40","Austria","AUT","14.14172472","47.58704857","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","0.48","","",2014.0,"0.48","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2014."
"44","Bahamas","BHS","-78.05111663","24.69546597","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","1.35",2016.0,"1.35","Global monitoring data","World Bank","Estimated from individual consumption data. Growth rates are for the period of 2010-2016."
"51","Armenia","ARM","44.93839317","40.29499741","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","3.4","",2015.0,"3.4","Global monitoring data","World Bank","Estimated from individual consumption data. Growth rates are for the period of 2010-2015."
"52","Barbados","BRB","-59.5346489","13.13648273","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"56","Belgium","BEL","4.660976456","50.64104975","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","0.13","","",2014.0,"0.13","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2014."
"60","Bermuda","BMU","-64.78155012","32.27881922","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","6.53","","","","",2012.0,"6.53","Global monitoring data","World Bank","Estimated from individual consumption data. Growth rates are for the period of 2007-2012."
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","6.32","","",2014.0,"6.32","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2014."
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"72","Botswana","BWA","23.81380223","-22.18810073","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"74","Bouvet Island","BVT","3.410732868","-54.43295905","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","3.92","",2015.0,"3.92","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2015."
"84","Belize","BLZ","-88.70199554","17.19965901","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"100","Bulgaria","BGR","25.23763153","42.75731323","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","0.43","","",2014.0,"0.43","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2014."
"104","Myanmar","MMR","96.51752295","21.19332882","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"108","Burundi","BDI","29.89080992","-3.366387428","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"112","Belarus","BLR","28.04940161","53.54193075","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","4.06",2016.0,"4.06","Global monitoring data","World Bank","Estimated from individual consumption data. Growth rates are for the period of 2011-2016."
"116","Cambodia","KHM","104.922836","12.71163737","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"120","Cameroon","CMR","12.7419827","5.692387031","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","1.33","","",2014.0,"1.33","Global monitoring data","World Bank","Estimated from individual consumption data. Growth rates are for the period of 2007-2014."
"124","Canada","CAN","-101.6575058","57.72360191","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"132","Cabo Verde","CPV","-23.63544151","15.07791834","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"136","Cayman Islands","CYM","-81.16740559","19.32266656","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"140","Central African Republic","CAF","20.93559492","7.003720791","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"144","Sri Lanka","LKA","80.70489654","7.614693343","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","1.5","","","","",2012.0,"1.5","Global monitoring data","World Bank","Estimated from individual consumption data. Growth rates are for the period of 2009-2012."
"148","Chad","TCD","18.66618401","15.36279341","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"152","Chile","CHL","-71.23029019","-35.2652885","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","5.96","",2015.0,"5.96","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2015."
"156","China","CHN","104.1403375","32.30955217","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","8.87","","","","",2012.0,"8.87","Global monitoring data","World Bank","Estimated from grouped consumption data. Growth rates are for the period of 2008-2012."
"162","Christmas Island","CXR","105.6426067","-10.4882473","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"170","Colombia","COL","-73.07446751","3.888209046","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","4.38","",2015.0,"4.38","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2010-2015."
"174","Comoros","COM","43.34234565","-11.66121732","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"175","Mayotte","MYT","45.14015057","-12.82217691","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"178","Congo","COG","15.22052612","-0.840544119","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"180","Democratic Republic of the Congo","COD","23.65496507","-2.877154732","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"184","Cook Islands","COK","-159.7711391","-21.22696458","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"188","Costa Rica","CRI","-84.19712782","9.970998683","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","1.54","",2015.0,"1.54","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2010-2015."
"191","Croatia","HRV","17.95874553","45.45172212","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","-2.26","","",2014.0,"-2.26","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2014."
"192","Cuba","CUB","-79.54460144","22.10030366","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","",""
"196","Cyprus","CYP","33.22285964","35.05659437","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","-4.65","","",2014.0,"-4.65","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2014."
"203","Czechia","CZE","15.33151382","49.73913871","10","Reduce inequality within and among countries","10.1","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average","10.1.1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","1","SI_HEI_BTN40","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","0.23","","",2014.0,"0.23","Global monitoring data","World Bank","Estimated from individual income data. Growth rates are for the period of 2009-2014."
