series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	40	14.14172472	47.58704857	AUT	Austria	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	40	14.14172472	47.58704857	AUT	Austria	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	44	-78.05111663	24.69546597	BHS	Bahamas	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	44	-78.05111663	24.69546597	BHS	Bahamas	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	48	50.5490754	26.04407747	BHR	Bahrain	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	48	50.5490754	26.04407747	BHR	Bahrain	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	FEMALE	PERCENT	Female	Percentage								89.13			87.69					87.69	2013	87.69	BGD - LFS - Labour Force Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	50	89.17660788	22.86961622	BGD	Bangladesh	2	BOTHSEX	PERCENT	Both	Percentage								82.2			82.39					82.39	2013	82.39	BGD - LFS - Labour Force Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	50	89.17660788	22.86961622	BGD	Bangladesh	3	MALE	PERCENT	Male	Percentage								80.48			80.66					80.66	2013	80.66	BGD - LFS - Labour Force Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	51	44.93839317	40.29499741	ARM	Armenia	1	FEMALE	PERCENT	Female	Percentage												30.1	19.07			24.585	2015	19.07	ARM - LFS - Household Labour Force Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	51	44.93839317	40.29499741	ARM	Armenia	2	BOTHSEX	PERCENT	Both	Percentage												37.55	26.51			32.03	2015	26.51	ARM - LFS - Household Labour Force Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	51	44.93839317	40.29499741	ARM	Armenia	3	MALE	PERCENT	Male	Percentage												43.37	32.37			37.87	2015	32.37	ARM - LFS - Household Labour Force Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	52	-59.5346489	13.13648273	BRB	Barbados	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	52	-59.5346489	13.13648273	BRB	Barbados	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	56	4.660976456	50.64104975	BEL	Belgium	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	56	4.660976456	50.64104975	BEL	Belgium	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	56	4.660976456	50.64104975	BEL	Belgium	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	60	-64.78155012	32.27881922	BMU	Bermuda	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	60	-64.78155012	32.27881922	BMU	Bermuda	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	64	90.45098484	27.39598568	BTN	Bhutan	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	64	90.45098484	27.39598568	BTN	Bhutan	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	FEMALE	PERCENT	Female	Percentage			95.07	95.52	80.81	82.45	79.56		79.33	77.66	75.02	79.6	80.15			78.2566666666667	2015	80.15	BOL - HIES - Household Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	BOTHSEX	PERCENT	Both	Percentage			93.59	94.06	76.92	79.68	77.7		76.59	75.64	72.68	78.81	78.22			76.57	2015	78.22	BOL - HIES - Household Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	MALE	PERCENT	Male	Percentage			92.42	92.87	73.93	77.41	76.23		74.46	74.04	70.83	78.2	76.85			75.2933333333333	2015	76.85	BOL - HIES - Household Survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	72	23.81380223	-22.18810073	BWA	Botswana	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	72	23.81380223	-22.18810073	BWA	Botswana	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	76	-53.08432878	-10.77668561	BRA	Brazil	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	76	-53.08432878	-10.77668561	BRA	Brazil	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	84	-88.70199554	17.19965901	BLZ	Belize	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	84	-88.70199554	17.19965901	BLZ	Belize	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	FEMALE	PERCENT	Female	Percentage												30.25				30.25	2014	30.25	BRN - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	BOTHSEX	PERCENT	Both	Percentage												32.99				32.99	2014	32.99	BRN - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	MALE	PERCENT	Male	Percentage												35.03				35.03	2014	35.03	BRN - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	100	25.23763153	42.75731323	BGR	Bulgaria	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	100	25.23763153	42.75731323	BGR	Bulgaria	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	FEMALE	PERCENT	Female	Percentage													82.68			82.68	2015	82.68	MMR - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	104	96.51752295	21.19332882	MMR	Myanmar	2	BOTHSEX	PERCENT	Both	Percentage													82.51			82.51	2015	82.51	MMR - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	104	96.51752295	21.19332882	MMR	Myanmar	3	MALE	PERCENT	Male	Percentage													82.38			82.38	2015	82.38	MMR - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	108	29.89080992	-3.366387428	BDI	Burundi	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	108	29.89080992	-3.366387428	BDI	Burundi	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	112	28.04940161	53.54193075	BLR	Belarus	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	112	28.04940161	53.54193075	BLR	Belarus	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	112	28.04940161	53.54193075	BLR	Belarus	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	116	104.922836	12.71163737	KHM	Cambodia	1	FEMALE	PERCENT	Female	Percentage										93.79							2012	93.79	KHM - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	116	104.922836	12.71163737	KHM	Cambodia	2	BOTHSEX	PERCENT	Both	Percentage										90.2							2012	90.2	KHM - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	116	104.922836	12.71163737	KHM	Cambodia	3	MALE	PERCENT	Male	Percentage										86.92							2012	86.92	KHM - LFS - Labour force survey	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	FEMALE	PERCENT	Female	Percentage					86.62												2007	86.62	CMR - HS - Household survey of Cameroon	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	120	12.7419827	5.692387031	CMR	Cameroon	2	BOTHSEX	PERCENT	Both	Percentage					79.21												2007	79.21	CMR - HS - Household survey of Cameroon	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	120	12.7419827	5.692387031	CMR	Cameroon	3	MALE	PERCENT	Male	Percentage					73.87												2007	73.87	CMR - HS - Household survey of Cameroon	CA
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	124	-101.6575058	57.72360191	CAN	Canada	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	124	-101.6575058	57.72360191	CAN	Canada	2	BOTHSEX	PERCENT	Both	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	124	-101.6575058	57.72360191	CAN	Canada	3	MALE	PERCENT	Male	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	FEMALE	PERCENT	Female	Percentage																				
2018.Q2.G.01	SL_ISV_IFRM	Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	2	BOTHSEX	PERCENT	Both	Percentage																				
