"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","TypeOfMobileTechnology_Code","TypeOfMobileTechnology_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","0","0","",2015.0,"0","Data nature not available","ITU estimate","ITU estimate"
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","55","","","","","","","55","92.67",2016.0,"92.67","Data nature not available","[2008,2015]: ITU estimate // [2016]: ITU estimate.","ITU estimate"
"16","American Samoa","ASM","-170.7187269","-14.30587306","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","50","50",2016.0,"50","Data nature not available","Andorra Telecom SAU",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","91","","","","91.3","91.3","99","99","99.1","99.1","99.1","99.1","99.1","99.1","99.5","99.5",2016.0,"99.5","Data nature not available","[2007-2009]: Andorra Telecom // [2014-2016]: Andorra Telecom SAU // [2001,2005-2006]: NA // [2010-2013]: Servei de Telecomunicacions d'Andorra",""
"20","Andorra","AND","1.576257417","42.54548611","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","95.3","95.3","95.3","95.3","95.3","95.3","97","95.3","95.3","95.3","95.3","95.3","95.3","97","97",2016.0,"97","Data nature not available","[2002,2009]: Andorra Telecom // [2007-2008,2014-2016]: Andorra Telecom SAU // [2003-2006,2010-2013]: Servei de Telecomunicacions d'Andorra",""
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","40","47","53","46","100","","","40","47","53","46","100","62",2016.0,"62","Data nature not available","[2004-2006,2011-2013]: ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY // [2007-2008,2014-2016]: Angolan Institute of Communications",""
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","53","7","8",2016.0,"8","Data nature not available","[2015-2016]: Angolan Institute of Communications // [2014]: ITU estimate","ITU estimate"
"24","Angola","AGO","17.57817062","-12.33724746","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","40","","","","","","","90","92","99","99",2016.0,"99","Data nature not available","[2013]: ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY // [2014-2016]: Angolan Institute of Communications // [2006]: NA",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","85","","100","100","100","100","100","100","100","100","100","100","99","","99",2016.0,"99","Data nature not available","[2002]: CTU. // [2004-2007]: Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel. // [2009]: Ministry of Information, Broadcasting and Telecommunications // [2016]: Ministry of Information, Broadcasting, Telecommunications and Information Technology // [2008,2014]: NA // [2010-2011]: Telecom Divison/Ministry of Information, Broadcasting, Telecommunications, Science & Technology // [2012]: Telecom Divison/Ministry of Telecommunications, Science & Technology // [2013]: Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","0","0","0","98","98","98","98","0","0","0","98","98","98","98","99",2016.0,"99","Data nature not available","[2008,2015]: ITU estimate // [2016]: ITU estimate. // [2002,2009]: Ministry of Information, Broadcasting and Telecommunications // [2003,2010]: Ministry of Information, Broadcasting, Telecommunications, Science & Technology // [2007,2014]: Ministry of Information, Broadcasting, Telecommunications, and Information Technology // [2004,2011]: Telecom Divison/Ministry of Information, Broadcasting, Telecommunications, Science & Technology // [2005,2012]: Telecom Divison/Ministry of Telecommunications, Science & Technology // [2006,2013]: Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology","ITU estimate"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","80","98","99",2016.0,"99","Data nature not available","[2014-2015]: ITU estimate // [2016]: ITU estimate.","ITU estimate"
"31","Azerbaijan","AZE","50.01064725","40.39229544","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","93.5","94","95","95","97","99","95","99","99","99.6","100","100","100","100","100","100","100",2016.0,"100","Data nature not available","[2013-2015]: Ministry of Communications and High Technologies (MC&HT) // [2010]: Ministry of Communications and Information Technologies // [2011-2012]: Ministry of Communications and Information Technologies (MC&IT) // [2007-2009]: Ministry of Communications and Information Technologies of the Republic of Azerbaijan // [2016]: Ministry of Transport, Communications and High Technologies (MTC&HT)  // [2000-2006]: NA","Excluding occupied territories of Azerbaijan"
"31","Azerbaijan","AZE","50.01064725","40.39229544","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","32.2","69.2","89.3","96.5","96.9","97.1","97.3","32.2","69.2","89.3","96.5","96.9","97.1","97.3","95.5",2016.0,"95.5","Data nature not available","[2006-2008,2013-2015]: Ministry of Communications and High Technologies (MC&HT) // [2003,2010]: Ministry of Communications and Information Technologies // [2004-2005,2011-2012]: Ministry of Communications and Information Technologies (MC&IT) // [2002,2009]: Ministry of Communications and Information Technologies of the Republic of Azerbaijan // [2016]: Ministry of Transport, Communications and High Technologies (MTC&HT) ","Excluding occupied territories of Azerbaijan"
"31","Azerbaijan","AZE","50.01064725","40.39229544","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","49","50","41",2016.0,"41","Data nature not available","[2014-2015]: Ministry of Communications and High Technologies (MC&HT) // [2016]: Ministry of Transport, Communications and High Technologies (MTC&HT) ","Excluding occupied territories of Azerbaijan"
"32","Argentina","ARG","-65.14563274","-35.19446255","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","30","","","","94.1","94.1","94.1","","","","","","","","98","0",2016.0,"0","Data nature not available","[2015]: ITU estimate. // [2001,2005-2007,2016]: NA",""
"32","Argentina","ARG","-65.14563274","-35.19446255","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","0","65","85",2016.0,"85","Data nature not available","[2014]: ITU estimate // [2015-2016]: ITU estimate.","ITU estimate"
"32","Argentina","ARG","-65.14563274","-35.19446255","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","80","90","","","","","","80","90","95",2016.0,"95","Data nature not available","[2007,2014]: ITU estimate // [2008,2015-2016]: ITU estimate.","ITU estimate"
"36","Australia","AUS","134.3499412","-25.57717202","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","98.8","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99.3",2016.0,"99.3","Data nature not available","[2004,2011]: ACMA Communications Report 2010-11. // [2002,2009]: ACMA. // [2003,2005,2010,2012]: Department of Broadband, Communications and the Digital Economy // [2006-2007,2013-2014]: Department of Communications // [2008,2015-2016]: Department of Communications and the Arts // [2001]: ITU estimate.","[2016]: Coverage of Australia's largest mobile network (Telstra). Source: Telstra (2016), Telstra Annual Report 2016, p.7 // [2008,2015]: Department of Communications and the Arts https://www.communications.gov.au/what-we-do/phone/mobile-services-and-coverage/mobile-phone-towers"
"36","Australia","AUS","134.3499412","-25.57717202","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","95","94","98",2016.0,"98","Data nature not available","[2015-2016]: Department of Communications and the Arts // [2014]: ITU estimate","[2015]: > 94% (Telstra's 4G coverage) ACMA Communications Report (p. 19) // [2016]: Coverage of Australia's largest mobile network (Telstra). Source: Telstra (2016), Telstra Annual Report 2016, p.12 // [2014]: ITU estimate"
"36","Australia","AUS","134.3499412","-25.57717202","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","95.6","96","96","96","96","98","98.1","98.8","98.8","99","99","99","99","99","99","99","99.3",2016.0,"99.3","Data nature not available","[2011]: ACMA Communications Report 2010-11. // [2007]: ACMA. // [2008]: Australian Communications and Media Authority, Communications Report 2007-08. // [2009]: Australian Communications and Media Authority, Communications Report 2008-09 // [2001-2006]: Australian Department of Broadband, Communications and the Digital Economy (DBCDE). // [2010,2012]: Department of Broadband, Communications and the Digital Economy // [2013-2014]: Department of Communications // [2015-2016]: Department of Communications and the Arts // [2000]: Telstra.CDMA.","Department of Communications and the Arts https://www.communications.gov.au/what-we-do/phone/mobile-services-and-coverage/mobile-phone-towers"
"40","Austria","AUT","14.14172472","47.58704857","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","84","","96","96","96","96","96","97","98","96","96","96","96","96","97","98","98",2016.0,"98","Data nature not available","[2006,2013,2016]: Austrian Regulatory Authority for Broadcasting and Telecommunications // [2007-2008,2014-2015]: ITU estimate. // [2000]: OECD. // [2002-2005,2009-2012]: Rundfunk und Telekom Regulierungs-GmbH","3G coverage"
"40","Austria","AUT","14.14172472","47.58704857","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","85","98","98",2016.0,"98","Data nature not available","[2016]: Austrian Regulatory Authority for Broadcasting and Telecommunications // [2014]: ITU estimate // [2015]: ITU estimate.","ITU estimate"
"40","Austria","AUT","14.14172472","47.58704857","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","98","98","98","98","98.5","98.5","98.5","98.5","99","99","99","99","99","99","99","99","99",2016.0,"99","Data nature not available","[2013-2016]: Austrian Regulatory Authority for Broadcasting and Telecommunications // [2002-2006]: Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH). // [2007]: Estimate from Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH) // [2000-2001]: Federal Ministry for Science and Transport. // [2008-2009]: Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH) // [2010-2012]: Rundfunk und Telekom Regulierungs-GmbH",""
"44","Bahamas","BHS","-78.05111663","24.69546597","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","95","95","95","95","95","100","100","100","100","","","","99","99","99",2016.0,"99","Data nature not available","[2009]: BAHAMAS TELECOMMUNICATIONS COMPANY LTD. // [2010]: Bahamas Telecommunications Company Ltd. // [2003-2008]: Batelco, Bahamas Telecommunications Corporation. // [2002]: CTU. // [2014-2016]: Utilities Regulation and Competition Authority","Obtained from URCA's Licensees"
"44","Bahamas","BHS","-78.05111663","24.69546597","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","98","98","","","","","","98","98","98",2016.0,"98","Data nature not available","Utilities Regulation and Competition Authority","Obtained from URCA's Licensees"
