"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","EducationLevel_Code","EducationLevel_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2003","Value_2006","Value_2009","Value_2012","Value_2013","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source"
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","1.18867","0.99644","","","",2009.0,"0.99644","Country data","Programme for International Student Assessment (OECD)"
"31","Azerbaijan","AZE","50.01064725","40.39229544","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"32","Argentina","ARG","-65.14563274","-35.19446255","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","0.79894","",2013.0,"0.79894","Country data","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)"
"32","Argentina","ARG","-65.14563274","-35.19446255","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","0.83724","",2013.0,"0.83724","Country data","Latin American Laboratory for Assessment of the Quality of Education (UNESCO Office in Santiago)"
"32","Argentina","ARG","-65.14563274","-35.19446255","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","0.94315","","0.72923","0.68222","0.67967","","0.92316",2015.0,"0.92316","Country data","Programme for International Student Assessment (OECD)"
"36","Australia","AUS","134.3499412","-25.57717202","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","0.99383","0.96914","1.00033","1.01047","1.02158","","1.01553",2015.0,"1.01553","Country data","Programme for International Student Assessment (OECD)"
"36","Australia","AUS","134.3499412","-25.57717202","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"36","Australia","AUS","134.3499412","-25.57717202","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"40","Austria","AUT","14.14172472","47.58704857","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"40","Austria","AUT","14.14172472","47.58704857","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","0.78855","0.69618","0.72974","0.65351","0.78948","","0.74404",2015.0,"0.74404","Country data","Programme for International Student Assessment (OECD)"
"40","Austria","AUT","14.14172472","47.58704857","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"44","Bahamas","BHS","-78.05111663","24.69546597","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"44","Bahamas","BHS","-78.05111663","24.69546597","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","",""
"44","Bahamas","BHS","-78.05111663","24.69546597","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","LOWSEC","Lower secondary","G","Global","","","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","PRIMAR","Primary","G","Global","","","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_NAP_ACHIRE","Native parity index for achievement in reading, by education level (ratio)","2019.Q1.G.01","Ratio","Ratio","GRAD23","Grades 2/3","G","Global","","","","","","","","","","",""
