"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","EducationLevel_Code","EducationLevel_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value"
"KWT","47.49305029","29.53949468","414","Kuwait","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","E","E","","","C","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","","","","","","","","","",2004.0,"1"
"KGZ","74.52324839","41.46204516","417","Kyrgyzstan","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.09139","0.38186","0.98303","1.02392","0.95175","0.84475","1.00694","1.00922","0.96139","","","","","","",2011.0,"0.96139"
"KGZ","74.52324839","41.46204516","417","Kyrgyzstan","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.99441","1.00136","0.99761","2.21002","",2016.0,"2.21002"
"KGZ","74.52324839","41.46204516","417","Kyrgyzstan","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73515","1.71209","",2016.0,"1.71209"
"LAO","101.9901968","20.27482773","418","Lao People's Democratic Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","","C","C","C","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","0.997","1.64936","1.66312","0.82102","1.39891","1.3402","2.24521","1.21729","1.14521","2.40302","0.99871","0.98334","1.00929","","0.97841","0.9552","0.98341","",2016.0,"0.98341"
"LAO","101.9901968","20.27482773","418","Lao People's Democratic Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","1.23542","1.24241","1.23845","1.22292","1.20164","1.14175","1.11368","1.06196","0.99437","1.06087","0.93468","0.92399","1.00933","0.99568","0.99626","0.9939","0.99413","",2016.0,"0.99413"
"LAO","101.9901968","20.27482773","418","Lao People's Democratic Republic","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00896","1.02249","1.01127","1.00709","1.01962","1.03099","1.00498","1.03671","","","","","","","","","","",2007.0,"1.03671"
"LSO","28.25362195","-29.58041814","426","Lesotho","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",2015.0,"1"
"LSO","28.25362195","-29.58041814","426","Lesotho","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","","C","C","E","C","C","C","C","C","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","1.25232","1.28644","1.29859","1.3666","1.36096","1.51161","1.40102","1.12549","","1.4572","1.37651","1.34235","1.26674","1.2141","1.17444","1.14618","1.08137","",2016.0,"1.08137"
"LSO","28.25362195","-29.58041814","426","Lesotho","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","","","","C","C","C","","","","","","","","C","C","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","1.02588","1.01689","","","","1.0414","1.05476","1.18135","","","","","","","","1","1.04367","",2016.0,"1.04367"
"LBR","-9.311879038","6.448381009","430","Liberia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2316","","","","","","","","","","","",2006.0,"1.2316"
"LBR","-9.311879038","6.448381009","430","Liberia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","C","","C","C","","C","","","C","C","","","","","","","","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1532","","1.20119","1.20706","","1.1356","","","1.13669","1.16035","","",2015.0,"1.16035"
"LBR","-9.311879038","6.448381009","430","Liberia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05381","0.98259","","",2015.0,"0.98259"
"BHS","-78.05111663","24.69546597","44","Bahamas","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","E","","","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12315","","","","","","","","","","","","","","","","","",2000.0,"1.12315"
"BHS","-78.05111663","24.69546597","44","Bahamas","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","C","","E","","C","","C","C","","","","","","","C","","","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","1.00998","","1.07936","","1.30377","","1.01814","1.11378","","","","","","","1.06125","",2016.0,"1.06125"
"BHS","-78.05111663","24.69546597","44","Bahamas","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","C","","","C","C","C","C","C","","","","","","","C","","","","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","1.03043","","","1.0144","1.01244","1.09855","0.99348","1.04475","","","","","","","1.0618","",2016.0,"1.0618"
"MAC","113.5665388","22.1237259","446","China, Macao Special Administrative Region","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","","","","C","C","","C","C","C","C","C","C","C","C","C","C","","UNESCO Institute for Statistics","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","0.93585","","","","0.97588","1.30667","","0.97895","1.93988","0.96318","0.94523","1.12821","1.03608","1.0493","1.12729","0.98007","0.99119","",2016.0,"0.99119"
"MAC","113.5665388","22.1237259","446","China, Macao Special Administrative Region","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","1.35842","1.27084","1.2248","1.24081","1.20366","1.2303","1.26083","1.19149","1.20217","1.19686","1.22932","1.21701","1.16907","1.23229","1.22999","1.03178","1.01964","",2016.0,"1.01964"
"MAC","113.5665388","22.1237259","446","China, Macao Special Administrative Region","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","1.27696","1.35454","1.48958","1.45766","1.43756","1.44362","1.40178","1.36644","1.36089","1.34502","1.31188","1.24438","1.19106","1.16711","1.0955","1.03199","1.03109","",2016.0,"1.03109"
"MDG","46.6982339","-19.38514785","450","Madagascar","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","C","C","C","C","","","","","","","","","","","","UNESCO Institute for Statistics","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.60377","","","1.57058","0.59718","0.84346","1.10255","",2016.0,"1.10255"
"MDG","46.6982339","-19.38514785","450","Madagascar","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.32331","1.5547","1.57003","1.57953","1.58747","",2016.0,"1.58747"
"MDG","46.6982339","-19.38514785","450","Madagascar","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15046","","","",2014.0,"1.15046"
"MYS","116.8346314","5.452415309","458","Malaysia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PREPRI","Pre-primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","","","","","","","","","","","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98867","0.98944","1.00225","1.00097","0.99578","1.03861","",2016.0,"1.03861"
"MYS","116.8346314","5.452415309","458","Malaysia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","PRIMAR","Primary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","","","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","0.97703","0.96356","0.94071","0.93889","0.95496","0.98193","1","1.00001","1","0.99999","1","1","0.99105","0.99824","1.00007","0.99934","",2016.0,"0.99934"
"MYS","116.8346314","5.452415309","458","Malaysia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_GPI_TRATEA","Gender parity index of trained teachers, by education level (ratio)","2019.Q1.G.01","SECOND","Secondary","G","Global","Ratio","Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","UNESCO Institute for Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00804","",2016.0,"1.00804"
