series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage										11.22				13.63	14.71	14.1			14.1466666666667	2015	14.1	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage										28.32				26.13	32.55	40.85			33.1766666666667	2015	40.85	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage										13.33				11.76	13.4	14.66			13.2733333333333	2015	14.66	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage										26.21				32.54	42.55	39.25			38.1133333333333	2015	39.25	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	8	20.06660928	41.13897007	ALB	Albania	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage										9.59				15.14	15.71	13.66			14.8366666666667	2015	13.66	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	10	21.47585697	-80.40897662	ATA	Antarctica	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	29.78			23.43	17.55					8.57	8.11		9.56	8.3	9.16		8.18		8.54666666666667	2016	8.18	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	29.72			25.44	18.17					18.1	19.1		16.99	16.3	17.1		18.25		17.2166666666667	2016	18.25	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	29.77	27.3	25.9	23.72	17.65	15.27	12.27	13.79	11.33	10.16	9.96	9.96	10.97	9.82	10.6		10.2		10.2066666666667	2016	10.2	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage		47.76				31.08	24.3	27.41	23.81	21.26	21.54	22.43	27.54	24.8	25.24				25.02	2014	25.24	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage		19.96				10.47	8.92	9.98	7.92	7.24	7.07	7.17	7.56	6.77	7.7				7.235	2014	7.7	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage										34.56	37.57		39.22	39.78	41.48				40.63	2014	41.48	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage										14.43	14.98		12.55	11.93	12.87				12.4	2014	12.87	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage										18.97	18.68		24.92	21.6	22.09				21.845	2014	22.09	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	12	2.678164227	28.15940032	DZA	Algeria	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage										5.74	5.42		6.37	5.54	6.52				6.03	2014	6.52	ILOSTAT - LFS - Household Employment Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	20	1.576257417	42.54548611	AND	Andorra	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage																							
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage					21.31							7								2011	7	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage					26.13							7.71								2011	7.71	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage					23.64							7.36								2011	7.36	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage					54.31							16.71								2011	16.71	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage					11.39							3.72								2011	3.72	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage					57.34							16.62								2011	16.62	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage					12.62							4.16								2011	4.16	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage					51.13							16.81								2011	16.81	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	24	17.57817062	-12.33724746	AGO	Angola	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage					10.29							3.29								2011	3.29	ILOSTAT - HS - Core Welfare Indicators Questionnaire	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage		8.04																		2001	8.04	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage		8.78																		2001	8.78	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage		8.42																		2001	8.42	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage		19.84																		2001	19.84	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage		6.25																		2001	6.25	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage		21.55																		2001	21.55	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage		6.49																		2001	6.49	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage		18.3																		2001	18.3	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage		5.98																		2001	5.98	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	10.9	10.3	9.7	9.26	7.9	7.2	6.88	7.76	7.12	4.94	4.39	4.43	4.32	4.04	4.02	4.09	4.2		4.0875	2016	4.2	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	12.7	11.5	10.4	9.24	8	7.3	6.33	5.28	4.95	6.58	6.91	6.45	6.09	5.95	5.84	5.87	6		5.915	2016	6	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	11.8	10.9	10	9.25	8	7.3	6.62	6.54	6.05	5.74	5.63	5.42	5.19	4.97	4.91	4.96	5		4.96	2016	5	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage								14.04	14.44	13.91	14.92	14.71	14.16		13.54	13.42			13.48	2015	13.42	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage								5.21	4.58	4.37	4.21	4.05	3.92		3.73	3.81			3.77	2015	3.81	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage								10.45	9.81	14.85	13.44	15.24	16.33		15.91	15.78			15.845	2015	15.78	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage								4.26	4.11	5.05	5.61	5.19	4.69		4.54	4.6			4.57	2015	4.6	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage								18.16	18.71	12.85	17.3	14.23	12.19		11.48	11.39			11.435	2015	11.39	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage								6.1	5.03	3.73	2.96	2.95	3.17		2.94	3.04			2.99	2015	3.04	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	14.07	17.45	20.16	13.8	11.83	10	8.36		6.47	7.76	6.65	6.24	6.06	6.1	6.47				6.285	2014	6.47	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	16.39	17.21	18.84	17.5	15.74	13.52	12.34		9.68	9.83	9.17	8.49	8.79	8.46	8.36				8.41	2014	8.36	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	15.03	17.35	19.61	15.4	13.52	11.51	10.08	8.47	7.84	8.65	7.71	7.18	7.22	7.1	7.27				7.185	2014	7.27	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage					29.32	26.03	23.66		18.84	21.17	19.36	18.73	18.28	19.43	18.84				19.135	2014	18.84	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage					9.96	8.43	7.25		5.71	6.3	5.6	5.14	5.26	4.93	5.24				5.085	2014	5.24	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage					34.38	30.64	29.15		22.22	24.69	23.62	22.17	23.05	23.51	22.36				22.935	2014	22.36	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage					11.67	10.13	8.94		7.39	7.28	6.75	6.26	6.52	6.16	6.21				6.185	2014	6.21	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	8	15-24	MALE	PERCENT	15 to 24 years old	Male	Percentage					25.64	22.89	19.67		16.53	18.84	16.58	16.53	15.28	16.99	16.71				16.85	2014	16.71	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	32	-65.14563274	-35.19446255	ARG	Argentina	9	25+	MALE	PERCENT	25 years old and over	Male	Percentage					8.66	7.14	5.96		4.45	5.55	4.74	4.32	4.31	4.01	4.51				4.26	2014	4.51	ILOSTAT - LFS - Permanent Household Survey (Urban)	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	36	134.3499412	-25.57717202	AUS	Australia	1	15+	MALE	PERCENT	15 years old and over	Male	Percentage	6.46	6.98	6.53	5.89	5.28	4.88	4.67	4.04	3.96	5.69	5.07	4.89	5.14	5.7	6	6.05	5.67		5.855	2016	5.67	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	36	134.3499412	-25.57717202	AUS	Australia	2	15+	FEMALE	PERCENT	15 years old and over	Female	Percentage	6.06	6.45	6.16	5.98	5.54	5.22	4.92	4.78	4.57	5.4	5.38	5.3	5.32	5.6	6.17	6.07	5.79		5.9075	2016	5.79	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	36	134.3499412	-25.57717202	AUS	Australia	3	15+	BOTHSEX	PERCENT	15 years old and over	Both	Percentage	6.28	6.74	6.37	5.93	5.39	5.03	4.78	4.38	4.23	5.56	5.21	5.08	5.22	5.66	6.07	6.06	5.72		5.8775	2016	5.72	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	36	134.3499412	-25.57717202	AUS	Australia	4	15-24	BOTHSEX	PERCENT	15 to 24 years old	Both	Percentage	12.09	13.48	12.8	11.97	11.37	10.62	10.03	9.37	8.82	11.46	11.55	11.38	11.73	12.22	13.32	13.14	12.67		12.8375	2016	12.67	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	36	134.3499412	-25.57717202	AUS	Australia	5	25+	BOTHSEX	PERCENT	25 years old and over	Both	Percentage	4.91	5.15	4.87	4.52	3.99	3.73	3.56	3.23	3.18	4.24	3.83	3.74	3.86	4.31	4.6	4.63	4.33		4.4675	2016	4.33	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	36	134.3499412	-25.57717202	AUS	Australia	6	15-24	FEMALE	PERCENT	15 to 24 years old	Female	Percentage	11.23	12.29	11.73	11.28	10.87	10.34	9.47	9.25	8.6	10.35	11.13	10.78	10.96	11.35	12.48	11.92	11.42		11.7925	2016	11.42	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	SL_TLF_UEM	Unemployment rate, by sex and age (%)	36	134.3499412	-25.57717202	AUS	Australia	7	25+	FEMALE	PERCENT	25 years old and over	Female	Percentage	4.7	4.91	4.73	4.61	4.15	3.91	3.78	3.67	3.58	4.22	4.03	4.04	4.06	4.34	4.79	4.81	4.6		4.635	2016	4.6	ILOSTAT - LFS - Labour Force Survey	C
