"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1990","Value_1991","Value_1992","Value_1993","Value_1994","Value_1995","Value_1996","Value_1997","Value_1998","Value_1999","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"40","Austria","AUT","14.14172472","47.58704857","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","0.2","0","0.2","0","0.5","0.5","0.5","0.5","0.5","0.5","0.2","0.2","0.7","","",2015.0,"0.7","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
"44","Bahamas","BHS","-78.05111663","24.69546597","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","44.2","","","","35.7","","","","","34.8","","","","","25.7","","","","","19.6","","","","","","14.8","",2016.0,"14.8","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","Fiscal year end: June 30; reporting period for national accounts data: FY."
"51","Armenia","ARM","44.93839317","40.29499741","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","16.9","","19.3","15.1","11.4","7.9","4.4","3.2","2.8","1.4","1.9","1.9","2.2","1.6","2.2","2.3","1.9","1.8","",2016.0,"1.8","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"52","Barbados","BRB","-59.5346489","13.13648273","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","Belgium","BEL","4.660976456","50.64104975","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","0.2","0","0.2","0.2","0.2","0","0","0.2","0.2","0.2","0.2","0","0","","",2015.0,"0","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
"60","Bermuda","BMU","-64.78155012","32.27881922","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","17.6","","","","8","","","","","2.2","","","","","1.5",2017.0,"1.5","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","7.1","","","","","","","19.3","","25.3","28.6","22.8","24.7","","13.7","19.3","16.4","12.4","11.1","10.5","","7.3","8.2","6.9","5.8","6.4","7.1","",2016.0,"7.1","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","0.3","","","0.2","","","0.1","","","","0.1","","","","0.2","","",2015.0,"0.2","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"72","Botswana","BWA","23.81380223","-22.18810073","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","34.8","","","","","","","","","29.8","","","","","","","18.2","","","","","","","","",2009.0,"18.2","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis."
"74","Bouvet Island","BVT","3.410732868","-54.43295905","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","21.6","","20.9","19.9","","13","14.2","14","12.7","13.4","","11.6","10.3","11.1","9.7","8.6","7.2","6.8","5.6","5.4","","4.7","3.8","3.8","2.8","3.4","","",2015.0,"3.4","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"84","Belize","BLZ","-88.70199554","17.19965901","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","10.1","9.9","","13.3","16","15.1","14.9","","","","","","","","","","","","","","","","","","",1999.0,"14.9","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","45.6","","","","","","","","25.1","","","","",2013.0,"25.1","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","Bulgaria","BGR","25.23763153","42.75731323","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","0","","","","","","","","","","","","","","5.5","1.7","1.2","1.2","2","2.2","2","1.7","1.5","","","",2014.0,"1.5","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"104","Myanmar","MMR","96.51752295","21.19332882","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","","",2015.0,"6.4","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","Fiscal year end: March 31; reporting period for national accounts data: FY. Based on the government’s Planning Department and the IMF national accounts have been revised from 2010 to 2015. The new base year is 2010/11."
"108","Burundi","BDI","29.89080992","-3.366387428","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","81.1","","","","","","84.1","","","","","","","","77.7","","","","","","","71.7","","","","",2013.0,"71.7","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.",""
"112","Belarus","BLR","28.04940161","53.54193075","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","11.5","10.4","7.1","3.2","2","1.4","0.3","0.4","0.1","0.1","0","0","0","0","0","0","0","0","0","",2016.0,"0","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","In July 2016 a new Belarusian ruble was introduced, at a rate of 1 new ruble = 10,000 old rubles. Local currency values in this database are in new rubels."
"116","Cambodia","KHM","104.922836","12.71163737","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120","Cameroon","CMR","12.7419827","5.692387031","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","48.1","","","","","23.1","","","","","","29.3","","","","","","","23.8","","","",2014.0,"23.8","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","National accounts data revised from 1993-2016."
"124","Canada","CAN","-101.6575058","57.72360191","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","0.2","","","0.2","","","0.5","0.5","","0.2","","","","0.2","","","0.2","","","0.2","","","0.5","","","","",2013.0,"0.5","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","Fiscal year end: March 31; reporting period for national accounts data: CY."
"132","Cabo Verde","CPV","-23.63544151","15.07791834","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","16","","","","","","8.1","","","","","","","","","","",2007.0,"8.1","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","Cabo Verde is the name for the country previously listed as Cape Verde. Value added is measured in basic prices."
