series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Bounds	Units description	Bounds description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	32	-65.14563274	-35.19446255	ARG	Argentina	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	31	30	30	28	29	27	24	25	22	19	18	23	21	21	21	22	21	21.2	2016	21	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	36	134.3499412	-25.57717202	AUS	Australia	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	7.3	6.8	6.9	6.4	7.1	6.9	7.5	7.1	7.6	7.9	7.6	7.3	7.6	7.2	7.5	7	7.1	7.28	2016	7.1	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	36	134.3499412	-25.57717202	AUS	Australia	2	PER_100000_POP	MP	Per 100,000 population	P	6.3	5.8	6	5.5	6.2	5.9	6.5	6.1	6.5	6.8	6.5	6.3	6.6	6.2	6.5	6.1	6.1	6.3	2016	6.1	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	36	134.3499412	-25.57717202	AUS	Australia	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	5.4	5	5.1	4.7	5.3	5.1	5.6	5.3	5.6	5.9	5.6	5.4	5.6	5.3	5.6	5.2	5.2	5.38	2016	5.2	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	40	14.14172472	47.58704857	AUT	Austria	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	20	17	17	15	14	15	14	13	12	11	10	11	9.7	9.7	8.7	8.6	9.5	9.24	2016	9.5	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	40	14.14172472	47.58704857	AUT	Austria	2	PER_100000_POP	MP	Per 100,000 population	P	17	14	15	13	13	13	12	11	10	9.1	9.1	9.1	8.4	8.4	7.5	7.5	8.2	8	2016	8.2	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	40	14.14172472	47.58704857	AUT	Austria	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	14	12	13	11	11	11	10	9.6	8.9	7.8	7.7	7.8	7.2	7.2	6.4	6.4	7	6.84	2016	7	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	37	28	19	16	22	19	24	18	19	17	11	15	11	12	17	21	30	18.2	2016	30	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	44	-78.05111663	24.69546597	BHS	Bahamas	2	PER_100000_POP	MP	Per 100,000 population	P	32	24	16	14	19	17	21	15	16	15	9.9	13	9.9	10	15	18	26	15.78	2016	26	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	44	-78.05111663	24.69546597	BHS	Bahamas	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	27	21	14	12	16	14	18	13	14	12	8.5	11	8.5	8.6	13	16	22	13.62	2016	22	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	48	50.5490754	26.04407747	BHR	Bahrain	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	41	36	35	45	39	42	39	38	36	37	26	23	23	21	19	17	14	18.8	2016	14	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	48	50.5490754	26.04407747	BHR	Bahrain	2	PER_100000_POP	MP	Per 100,000 population	P	36	31	30	39	34	36	33	33	31	32	23	20	20	18	16	14	12	16	2016	12	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	48	50.5490754	26.04407747	BHR	Bahrain	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	31	27	26	33	29	31	29	28	27	27	20	17	17	16	14	12	11	14	2016	11	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	291	291	291	291	291	291	291	291	291	291	291	291	291	291	291	291	291	291	2016	291	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	50	89.17660788	22.86961622	BGD	Bangladesh	2	PER_100000_POP	MP	Per 100,000 population	P	221	221	221	221	221	221	221	221	221	221	221	221	221	221	221	221	221	221	2016	221	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	50	89.17660788	22.86961622	BGD	Bangladesh	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	2016	161	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	51	44.93839317	40.29499741	ARM	Armenia	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	69	72	75	81	87	117	94	91	90	85	77	69	67	76	72	59	56	66	2016	56	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	51	44.93839317	40.29499741	ARM	Armenia	2	PER_100000_POP	MP	Per 100,000 population	P	54	57	59	64	69	92	75	72	71	68	61	55	53	60	57	47	44	52.2	2016	44	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	51	44.93839317	40.29499741	ARM	Armenia	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	42	44	45	49	53	71	57	55	54	52	47	42	40	46	44	36	34	40	2016	34	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	52	-59.5346489	13.13648273	BRB	Barbados	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	1.5	2.9	2.4	4.3	9.2	4.7	2.4	7.7	1.4	0.95	2.9	0	1.9	1.9	2.3	0	1.4	1.5	2016	1.4	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	52	-59.5346489	13.13648273	BRB	Barbados	2	PER_100000_POP	MP	Per 100,000 population	P	1.3	2.5	2.1	3.7	8	4	2.1	6.7	1.2	0.83	2.5	0	1.6	1.6	2	0	1.2	1.28	2016	1.2	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	52	-59.5346489	13.13648273	BRB	Barbados	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	1.1	2.2	1.8	3.2	6.8	3.4	1.8	5.7	1.1	0.71	2.1	0	1.4	1.4	1.7	0	1	1.1	2016	1	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	56	4.660976456	50.64104975	BEL	Belgium	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	17	17	16	14	14	14	13	12	12	11	12	12	11	11	10	11	12	11	2016	12	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	56	4.660976456	50.64104975	BEL	Belgium	2	PER_100000_POP	MP	Per 100,000 population	P	14	15	13	12	12	12	11	10	10	9.7	11	10	9.4	9.3	9.1	9.5	10	9.46	2016	10	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	56	4.660976456	50.64104975	BEL	Belgium	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	12	13	11	10	11	10	9.7	8.8	8.6	8.3	9	8.6	8.1	8	7.8	8.1	8.5	8.1	2016	8.5	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	0	0	0	5.7	12	8.3	6.1	5.4	4.4	3.5	2.1	2.1	6.3	0	0	0	4.3	2.12	2016	4.3	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	60	-64.78155012	32.27881922	BMU	Bermuda	2	PER_100000_POP	MP	Per 100,000 population	P	0	0	0	4.9	11	7.2	5.3	4.7	3.8	3	1.8	1.8	5.5	0	0	0	3.7	1.84	2016	3.7	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	60	-64.78155012	32.27881922	BMU	Bermuda	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	0	0	0	4.2	9.1	6.1	4.5	4	3.3	2.6	1.5	1.5	4.7	0	0	0	3.2	1.58	2016	3.2	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	64	90.45098484	27.39598568	BTN	Bhutan	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	314	278	284	260	244	242	216	230	217	249	285	264	237	223	217	193	226	219.2	2016	226	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	64	90.45098484	27.39598568	BTN	Bhutan	2	PER_100000_POP	MP	Per 100,000 population	P	249	220	224	206	193	192	171	182	171	197	225	208	188	176	172	153	178	173.4	2016	178	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	64	90.45098484	27.39598568	BTN	Bhutan	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	190	168	172	158	148	147	131	139	131	151	172	160	144	135	131	117	137	132.8	2016	137	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	263	236	232	240	220	212	219	212	206	199	193	187	181	176	172	167	162	171.6	2016	162	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	PER_100000_POP	MP	Per 100,000 population	P	184	179	173	168	163	158	153	148	144	139	135	131	127	123	120	117	114	120.2	2016	114	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	119	129	123	109	115	112	99	96	93	90	87	85	82	80	78	76	75	78.2	2016	75	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	104	104	71	74	98	88	74	99	72	73	56	58	61	55	53	49	41	51.8	2016	41	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	PER_100000_POP	MP	Per 100,000 population	P	82	82	56	59	78	70	59	79	57	58	44	46	48	44	42	39	32	41	2016	32	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	63	63	43	45	60	53	45	60	44	44	34	35	37	33	32	30	25	31.4	2016	25	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	72	23.81380223	-22.18810073	BWA	Botswana	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	1300	1270	1150	1100	1000	925	977	915	750	703	739	685	574	517	504	508	410	502.6	2016	410	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	72	23.81380223	-22.18810073	BWA	Botswana	2	PER_100000_POP	MP	Per 100,000 population	P	914	888	855	816	773	728	684	641	598	557	518	480	445	414	385	356	326	385.2	2016	326	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	72	23.81380223	-22.18810073	BWA	Botswana	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	591	575	600	572	572	555	443	414	463	428	335	311	332	322	282	230	252	283.6	2016	252	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PER_100000_POP	UB	Per 100,000 population	Upper bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	PER_100000_POP	MP	Per 100,000 population	P																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	PER_100000_POP	LB	Per 100,000 population	Lower bound																						
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	76	-53.08432878	-10.77668561	BRA	Brazil	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	59	56	60	61	62	57	53	52	53	52	51	51	49	52	49	48	48	49.2	2016	48	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	76	-53.08432878	-10.77668561	BRA	Brazil	2	PER_100000_POP	MP	Per 100,000 population	P	51	48	52	53	54	50	46	45	46	45	44	44	42	45	43	42	42	42.8	2016	42	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	76	-53.08432878	-10.77668561	BRA	Brazil	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	44	41	44	45	46	42	39	39	39	38	37	38	36	39	37	36	36	36.8	2016	36	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	84	-88.70199554	17.19965901	BLZ	Belize	1	PER_100000_POP	UB	Per 100,000 population	Upper bound	57	71	68	49	40	48	39	28	38	37	60	30	33	47	27	29	43	35.8	2016	43	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	84	-88.70199554	17.19965901	BLZ	Belize	2	PER_100000_POP	MP	Per 100,000 population	P	49	61	59	42	35	41	34	24	33	32	52	26	29	40	24	25	38	31.2	2016	38	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
2018.Q2.G.01	SH_TBS_INCID	Tuberculosis incidence (per 100,000 population)	84	-88.70199554	17.19965901	BLZ	Belize	3	PER_100000_POP	LB	Per 100,000 population	Lower bound	42	52	51	36	30	35	29	21	28	28	44	22	25	35	20	21	32	26.6	2016	32	WHO Global Tuberculosis Report 2017 (http://www.who.int/tb/data/)	E
