series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	PERCENT	Percentage	0.21	0.06	0.22	0.13	0.11	0.12	0.13	0.13	0.21	0.14	0.22	0.16	0.25	0.52	0.59	0.43	0.67	0.75	0.61	0.71	0.44	0.75	0.72	0.75	0.81	0.78	0.75	0.762	2016	0.75	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	124	-101.6575058	57.72360191	CAN	Canada	1	PERCENT	Percentage						0.08	0.09	0.08	0.08	0.1	0.07	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.09	0.07	0.07	0.07	0.07	0.07	0.09	0.09	0.078	2016	0.09	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	PERCENT	Percentage	19.27	19.5	21.28	15.6	21.02	21.73	19.99	15.58	14.13	13.46	16.65	14.38	13.69	13.32	12.27	14.06	12.33	9.17	8.66	7.92	7.87	9.48	10.1	9.5	10.6	12.76	13.11	11.214	2016	13.11	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	PERCENT	Percentage	0.01	0.01	0.01	0.01																									1993	0.01	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	PERCENT	Percentage	4.99	4.91	5.65	6.12	6.1	6.15	6.07	6.19	6.42	6.8	7.07	7.43	7.84	7.54	7.62	8.09	7.66	7.75	7.18	7.93	7.27	7.89	8.77	8.64	8.87	8.68	8.92	8.776	2016	8.92	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	148	18.66618401	15.36279341	TCD	Chad	1	PERCENT	Percentage			0.01	0.02	0.06																								1994	0.06	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	152	-71.23029019	-35.2652885	CHL	Chile	1	PERCENT	Percentage	0										0.02	0.02	0.02	0.02	0.01	0.01	0	0	0	0		0.06	0.06	0.05	0.04	0.04	0.04	0.046	2016	0.04	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	156	104.1403375	32.30955217	CHN	China	1	PERCENT	Percentage	0.05	0.1	0.15	0.14	0.15	0.05	0.19	0.48	0.03	0.05	0.06	0.09	0.16	0.28	0.34	0.15	0.16	0.19	0.2	0.18	0.22	0.22	0.2	0.19	0.29	0.4	0.31	0.278	2016	0.31	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	170	-73.07446751	3.888209046	COL	Colombia	1	PERCENT	Percentage	1.23	2.14	1.3	0.84	1.19	0.88	0.78	0.73	0.82	1.52	1.61	2.09	2.53	3.25	2.72	2.28	2.4	2.15	1.98	1.76	1.4	1.22	1.09	1.17	1.1	1.61	1.74	1.342	2016	1.74	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	174	43.34234565	-11.66121732	COM	Comoros	1	PERCENT	Percentage	3.97	4.09	6.01	6.08	8.2	5.27								10.07	13.21	14.21	15.55	15.99	19.29	19.08	16.43	18.43	19.31	18.74	19.45	22.77	21.17	20.288	2016	21.17	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	175	45.14015057	-12.82217691	MYT	Mayotte	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	178	15.22052612	-0.840544119	COG	Congo	1	PERCENT	Percentage	0.16	0.16	0.15	0.22	0.24	0.2	0.31	0.2	0.1	0.5	0.32	0.43	0.04	0.35	0.32	0.19	0.17	0.18											2007	0.18	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	PERCENT	Percentage																0.07	0.09	0.05	0.08		0.08	0.48	0.04	0.11	0.07	0.39	0.05	0.132	2016	0.05	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	PERCENT	Percentage	0.16	0.19	0.17	0.17	0.16	1.07	1.13	1.04	0.94	0.89	0.91	1.25	1.52	1.87	1.72	2.11	2.27	2.31	1.98	1.68	1.42	1.23	1.21	1.2	1.17	1.01	0.95	1.108	2016	0.95	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	191	17.95874553	45.45172212	HRV	Croatia	1	PERCENT	Percentage						2.43	2.74	2.49	2.36	2.26	3.75	3.98	4.07	3.81	3.74	3.44	3.19	3.09	2.93	3.01	3.18	3.36	3.69	3.76	3.76	4.3	4.32	3.966	2016	4.32	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	192	-79.54460144	22.10030366	CUB	Cuba	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	196	33.22285964	35.05659437	CYP	Cyprus	1	PERCENT	Percentage	1.41	1.14	1.17	1.2	1.09	0.49	0.5	0.5	0.47	0.47	0.44	0.74	0.18	0.22	0.44	0.56	0.51	0.59	3.5	2.29	3.37	2.7	2.22	1.56	1.14	1.29	1.63	1.568	2016	1.63	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	203	15.33151382	49.73913871	CZE	Czechia	1	PERCENT	Percentage				0.34	0.34	0.32	0.16	0.12	0.52	0.48	0.48	0.38	0.41	0.5	1.03	0.98	1.03	0.97	0.48	0.58	0.59	0.61	0.68	0.83	1.26	1.43	1.6	1.16	2016	1.6	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	204	2.339933594	9.65401646	BEN	Benin	1	PERCENT	Percentage	5.16	5.94	8.04	4.79	5.6	4.56	3.6	3.09	3.63	2.79	3.33	3.1	2.48	1.42	1.39	3.06	3.8	4.03	2.9	1.77	2	2.2	2.55	2.72	3.13	2.58	2.41	2.678	2016	2.41	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	208	9.326571283	56.03829721	DNK	Denmark	1	PERCENT	Percentage			0.3	0.31	0.28	0.28	0.37	0.49	0.43	0.45	0.41	0.42	0.44	0.43	0.43	0.25	0.26	0.26	0.3	0.32	0.29	0.33	0.36	0.4	0.42	0.42	0.41	0.402	2016	0.41	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	212	-61.3493756	15.43391378	DMA	Dominica	1	PERCENT	Percentage	8.37	2.75	2.7	6.85	6.17	4.84	4.7	4.65	4.67	4.85	4.03	4.18	4.28	4.23	5.34	5.88	5.65	5.34	4.95	4.53	4.64	4.56	4.78	4.69	9.64	10.45	9.77	7.866	2016	9.77	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	PERCENT	Percentage	4.45	3.39	3.07	5.84	5.5	5.13	5.31	5.83	6.64	7.51	7.66	7.96	8.26	10.93	11.35	8	8.49	7.69	7.47	7.06	7.2	7.34	7.03	7.24	7.37	7.63	7.7	7.394	2016	7.7	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	PERCENT	Percentage	0.33	0.33	0.41	1.07	1.22	1.58	1.94	2.3	2.85	5.55	7.21	5.81	5.04	5.04	5.02	5.93	6.27	6.55	5	4.39	3.74	3.38	2.82	2.58	2.43	2.4	2.65	2.576	2016	2.65	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	222	-88.86862995	13.73603564	SLV	El Salvador	1	PERCENT	Percentage	7.63	8.95	11.66	11.47	12.02	11.2	10.51	10.77	11.14	11.12	13.43	13.93	13.65	14.1	16.22	17.72	18.77	18.45	17.52	16.47	16.21	15.75	16.36	16.24	16.58	16.46	17.14	16.556	2016	17.14	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	PERCENT	Percentage			0.98	0.67	0.5	0.07	0.07																						1996	0.07	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	231	39.63505296	8.631223181	ETH	Ethiopia	1	PERCENT	Percentage	0.04	0.07	0.14	0.21	0.36	0.36	0.19	0.11	0.35	0.44	0.64	0.22	0.42	0.54	1.32	1.4	1.13	1.82	1.43	0.81	1.15	1.61	2.16	1.75	3.23	1.69	1.07	1.98	2016	1.07	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	232	38.11074289	16.12894644	ERI	Eritrea	1	PERCENT	Percentage									0.36	0.53	0.47																		2000	0.47	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	233	25.84093481	58.68487172	EST	Estonia	1	PERCENT	Percentage						0.03	0.04	0.03	0.05	0.04	0.07	0.18	0.26	0.52	1.38	1.89	2.37	1.85	1.5	1.73	1.83	1.89	2	2.26	2.08	2.02	2.05	2.082	2016	2.05	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	PERCENT	Percentage									4.38	4.45	4.04	3.38	3.13	2.98	2.92	4.64	4.52	4.79	5.66	6.15	6.36	6.42	6.72	6.06	5.64	6.4		6.205	2015	6.4	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	242	177.9660884	-17.83301566	FJI	Fiji	1	PERCENT	Percentage	1.64	1.39	1.48	1.6	1.62	1.66	1.57	1.65	1.56	1.19	2.57	4.67	5.39	5.34	6.33	6.76	6.59	5.38	4.16	5.97	5.59	4.25	4.8	4.86	4.94	5.72	1.71	4.406	2016	1.71	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	246	23.308447	61.91586738	FIN	Finland	1	PERCENT	Percentage	0.04	0.08	0.09	0.09	0.06	0.06	0.11	0.19	0.28	0.33	0.38	0.38	0.34	0.31	0.34	0.34	0.33	0.32	0.34	0.34	0.36	0.28	0.34	0.36	0.33	0.35	0.34	0.344	2016	0.34	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	248	19.80945969	60.1544901	ALA	Åland Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	250	2.457288129	46.62660861	FRA	France	1	PERCENT	Percentage	0.32	0.36	0.37	0.38	0.28	0.28	0.27	0.67	0.66	0.63	0.65	0.66	0.71	0.66	0.63	0.64	0.67	0.66	0.69	0.73	0.75	0.8	0.85	0.87	0.89	0.98	0.99	0.916	2016	0.99	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	254	-53.23619089	3.922673437	GUF	French Guiana	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	PERCENT	Percentage																																
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	262	42.18274707	11.56004161	DJI	Djibouti	1	PERCENT	Percentage		2.84	2.74	4.08	2.76	2.39	2.22	2.28	2.32	2.16	2.23	2.09	2.53	3.97	3.71	3.65	3.7	3.38	3.04	3.09	2.89	2.61	2.46	2.45	2.24	3.67		2.705	2015	3.67	World Development Indicators, World Bank	
2018.Q2.G.01	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	266	11.78727747	-0.60687619	GAB	Gabon	1	PERCENT	Percentage	0.01	0.03	0.04	0.07	0.09	0.09	0.1	0.12	0.12	0.09	0.12	0.11	0.05	0.09	0.09	0.12													2005	0.12	World Development Indicators, World Bank	
