"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"21","Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"29","Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"30","Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"34","Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"35","South-Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"39","Southern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"53","Australia and New Zealand","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","89786","72603","60280","146259","57779","20575","24937",2016.0,"24937","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"54","Melanesia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"57","Micronesia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"61","Polynesia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"62","Central and Southern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","888716137","896767769","842092177","730082319","692790510","611823694","569819634",2016.0,"569819634","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"97","European Union","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"135","Caucasus and Central Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"142","Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"143","Central Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"145","Western Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"150","Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"151","Eastern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"154","Northern Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"155","Western Europe","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"158","Other non-specified areas","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","662776798","671924259","670676354","655684590","600025456","577425230","549254852",2016.0,"549254852","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"202","Sub-Saharan Africa","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","620461791","647791893","658193985","674702382","639303965","632204095","596965332",2016.0,"596965332","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"223","Eastern Asia (excluding Japan and China)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"419","Latin America and the Caribbean","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","70915229","58326484","59123561","55222492","56188545","52470663","49499612",2016.0,"49499612","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"420","Latin America","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","249339006","253448038","255697027","263012580","254699399","249666308","247306645",2016.0,"247306645","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"513","Europe and Northern America","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","1079633","1073246","123959","59927","5647","4221","4725",2016.0,"4725","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"515","Developing regions","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"518","Eastern Asia (excluding Japan)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","8567660","12470198","8287675","8250753","8324057","8442083","8543457",2016.0,"8543457","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"722","Small island developing States (SIDS)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","24206254","28925089","25670047","25909403","26035623","24304068","21965301",2016.0,"21965301","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"738","Sub-Saharan Africa (inc. Sudan)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"746","Northern Africa (exc. Sudan)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"747","Northern Africa and Western Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","77510209","75658033","76014646","78702010","60498225","37934655","37642590",2016.0,"37642590","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"753","Eastern and South-Eastern Asia","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","329452489","291323513","286905452","273345646","262960403","242209409","237235354",2016.0,"237235354","Estimated data","WHO Global Health Observatory","Imputation of incomplete reports and aggregation across diseases"
"827","United Kingdom (England and Wales)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"828","United Kingdom (Northern Ireland)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"829","United Kingdom (Scotland)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"830","Channel Islands","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"891","Serbia and Montenegro [former]","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"910","High income economies (WB)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"911","Low income economies (WB)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"912","Lower middle economies (WB)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
"913","Low and middle income economies (WB)","3","Ensure healthy lives and promote well-being for all at all ages","3.3","By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.5","Number of people requiring interventions against neglected tropical diseases","1","SH_TRP_INTVN","Number of people requiring interventions against neglected tropical diseases (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","",""
