"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Cities_Code","Cities_Desc","ReportingType_Code","ReportingType_Desc","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"35","South-Eastern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"39","Southern Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"53","Australia and New Zealand","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","94.0",2017.0,"94.0","Data nature not available","United Nations Human Settlements Programme (UN-Habitat)","Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated."
"54","Melanesia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"57","Micronesia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"61","Polynesia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"62","Central and Southern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","66.7",2017.0,"66.7","Data nature not available","United Nations Human Settlements Programme (UN-Habitat)","Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated."
"97","European Union","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"127","Southern Asia (excluding India)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"135","Caucasus and Central Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"142","Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"143","Central Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"145","Western Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"150","Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"151","Eastern Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"154","Northern Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"155","Western Europe","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"158","Other non-specified areas","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"199","Least Developed Countries (LDCs)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"202","Sub-Saharan Africa","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","43.4",2017.0,"43.4","Data nature not available","United Nations Human Settlements Programme (UN-Habitat)","Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated."
"223","Eastern Asia (excluding Japan and China)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"369"," Iraq (Central Iraq) ","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"419","Latin America and the Caribbean","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","80.4",2017.0,"80.4","Data nature not available","United Nations Human Settlements Programme (UN-Habitat)","Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated."
"420","Latin America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"432","Landlocked developing countries (LLDCs)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"513","Europe and Northern America","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","89.6",2017.0,"89.6","Data nature not available","United Nations Human Settlements Programme (UN-Habitat)","Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated."
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"515","Developing regions","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"518","Eastern Asia (excluding Japan)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"722","Small island developing States (SIDS)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"738","Sub-Saharan Africa (inc. Sudan)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"746","Northern Africa (exc. Sudan)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"747","Northern Africa and Western Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","73.5",2017.0,"73.5","Data nature not available","United Nations Human Settlements Programme (UN-Habitat)","Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated."
"753","Eastern and South-Eastern Asia","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","72.0",2017.0,"72.0","Data nature not available","United Nations Human Settlements Programme (UN-Habitat)","Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated."
"827","United Kingdom (England and Wales)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"828","United Kingdom (Northern Ireland)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"829","United Kingdom (Scotland)","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
"830","Channel Islands","11","Make cities and human settlements inclusive, safe, resilient and sustainable","11.6","By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","1","EN_REF_WASCOL","Municipal Solid Waste collection coverage, by cities (%)","2019.Q1.G.01","PERCENT","Percentage","NOCITI","All areas or breakdown by cities not available","G","Global","","","","","",""
