"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","Northern America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","63.05794","125.72713","112.22719","146.70793","80.16355","15.31151","54.61527","31.52599","64.29754","72.15497","83.41728","88.25391","83.65522","103.26086","81.31374","85.62142","89.21603","100.50958","81.71711","73.40868","63.42768",2015.0,"63.42768","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"29","Caribbean","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","1.42621","2.98339","3.25874","2.56879","12.61759","16.88834","20.13951","21.26149","20.64427","22.35185","28.21944","30.47789","31.20772","29.67206","31.12152","34.0726","32.0042","32.81044","28.35997","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"34","Southern Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","2.0705","3.8","6.35018","5.4","5.1","1.5","1.44","0.961","9.52","18.789","30.61","10.77","32.3","64.01","101.99","0","0","0","0","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"35","South-Eastern Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","15.2","6.2","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"39","Southern Europe","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","Australia and New Zealand","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","0.0105","0","0","1.26049","2.41077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"54","Melanesia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","Micronesia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","Polynesia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","Central and Southern Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","2.0705","3.8","6.35018","5.4","5.1","1.5","1.44","0.961","9.52","18.789","30.61","10.77","32.3","64.01","101.99","0","0","0","0","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"97","European Union","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","Caucasus and Central Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"143","Central Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145","Western Asia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","48.23271","32.11303","37.17576","30.41272","32.17006","26.37542","8.5729","10.11671","6.48392","1.56065","0.7012","0.1696","0","0.1891","1.36476","1.61669","1.97242","0.79755","1.059","1.81525","1.13315",2015.0,"1.13315","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"150","Europe","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","4412.89551","4985.46318","4343.5206","5221.10656","6530.48414","2869.71289","2538.3257","3234.66944","3711.90002","3571.5184","2556.7715","2000.21213","1289.62168","793.0124","673.31559","349.18617","313.37569","184.20802","120.56566","107.22477","115.79947",2015.0,"115.79947","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"151","Eastern Europe","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"154","Northern Europe","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"155","Western Europe","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158","Other non-specified areas","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"202","Sub-Saharan Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","40.07722","41.64748","18.15245","3.38581","4.8904","3.16973","0","0","0","0","0","0","0.09963","0","0","0","0","0","0.32573","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"223","Eastern Asia (excluding Japan and China)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"419","Latin America and the Caribbean","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","18.02202","39.02122","79.3855","43.5979","17.46948","33.65177","19.42397","19.69174","10.37162","3.10501","14.30214","21.90126","21.3","12.32","13.46","15.67","11.03","0.72","0","0","0",2015.0,"0","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"420","Latin America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"513","Europe and Northern America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","4475.95345","5111.19031","4455.74779","5367.8145","6610.64769","2885.0244","2592.94097","3266.19543","3776.19757","3643.67337","2640.18878","2088.46604","1373.2769","896.27326","754.62934","434.80759","402.59172","284.71761","202.28277","180.63345","179.22715",2015.0,"179.22715","Data nature not available","NA","The notification record varies from year to year and therefore the set of countries represented in the data may differ among the years reported, particularly in more recent periods."
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"515","Developing regions","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"518","Eastern Asia (excluding Japan)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.b","Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round","2.b.1","Agricultural export subsidies","1","AG_PRD_XSUBDY","Agricultural export subsidies (millions of current United States dollars)","2019.Q1.G.01","CU_USD_M","Millions of current United States dollars","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","",""
