ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Sex_Code,Sex_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Latest_Year,Latest_Value
LKA,80.70489654,7.614693343,144,Sri Lanka,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,2007.0,1.7
,,,145,Western Asia,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,Based on 8 countries covering 70 per cent of the regional population of women aged 20-24 years,,,,,Based on 8 countries covering 70 per cent of the regional population of women aged 20-24 years,,,,Based on 8 countries covering 70 per cent of the regional population of women aged 20-24 years,,,,,Based on 8 countries covering 70 per cent of the regional population of women aged 20-24 years,E,,,,,E,,,,E,,,,,E,"DHS, MICS and other national surveys",,,,,"DHS, MICS and other national surveys",,,,"DHS, MICS and other national surveys",,,,,"DHS, MICS and other national surveys",,,,,,,,,,,,,,,,6.3,,,,,5.9,,,,4.6,,,,,3.4,2017.0,3.4
TCD,18.66618401,15.36279341,148,Chad,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,2015.0,29.7
,,,15,Northern Africa,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,Based on 4 countries covering 82 per cent of the regional population of women aged 20-24 years,,,,,Based on 4 countries covering 82 per cent of the regional population of women aged 20-24 years,,,,Based on 4 countries covering 82 per cent of the regional population of women aged 20-24 years,,,,,Based on 4 countries covering 82 per cent of the regional population of women aged 20-24 years,E,,,,,E,,,,E,,,,,E,"DHS, MICS and other national surveys",,,,,"DHS, MICS and other national surveys",,,,"DHS, MICS and other national surveys",,,,,"DHS, MICS and other national surveys",,,,,,,,,,,,,,,,5.8,,,,,4.6,,,,4.5,,,,,3.9,2017.0,3.9
COL,-73.07446751,3.888209046,170,Colombia,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,2015.0,4.9
COM,43.34234565,-11.66121732,174,Comoros,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,2012.0,10.0
COG,15.22052612,-0.840544119,178,Congo,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,2015.0,6.9
COD,23.65496507,-2.877154732,180,Democratic Republic of the Congo,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,2014.0,10.0
CRI,-84.19712782,9.970998683,188,Costa Rica,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,2011.0,6.8
CUB,-79.54460144,22.10030366,192,Cuba,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,2014.0,4.7
,,,199,Least Developed Countries (LDCs),5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,Based on 43 countries covering 98 per cent of the regional population of women aged 20-24 years,,,,,Based on 43 countries covering 98 per cent of the regional population of women aged 20-24 years,,,,Based on 43 countries covering 98 per cent of the regional population of women aged 20-24 years,,,,,Based on 43 countries covering 98 per cent of the regional population of women aged 20-24 years,E,,,,,E,,,,E,,,,,E,"DHS, MICS and other national surveys",,,,,"DHS, MICS and other national surveys",,,,"DHS, MICS and other national surveys",,,,,"DHS, MICS and other national surveys",,,,,,,,,,,,,,,,19.1,,,,,18.0,,,,15.9,,,,,12.3,2017.0,12.3
,,,202,Sub-Saharan Africa,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,Based on 41 countries covering 93 per cent of the regional population of women aged 20-24 years,,,,,Based on 41 countries covering 93 per cent of the regional population of women aged 20-24 years,,,,Based on 41 countries covering 93 per cent of the regional population of women aged 20-24 years,,,,,Based on 41 countries covering 93 per cent of the regional population of women aged 20-24 years,E,,,,,E,,,,E,,,,,E,"DHS, MICS and other national surveys",,,,,"DHS, MICS and other national surveys",,,,"DHS, MICS and other national surveys",,,,,"DHS, MICS and other national surveys",,,,,,,,,,,,,,,,14.8,,,,,15.2,,,,14.1,,,,,11.8,2017.0,11.8
BEN,2.339933594,9.65401646,204,Benin,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,2014.0,7.0
DOM,-70.49847576,18.89832088,214,Dominican Republic,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,2014.0,12.3
ECU,-78.37005241,-1.447785891,218,Ecuador,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,ENDEMAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,2004.0,3.8
SLV,-88.86862995,13.73603564,222,El Salvador,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,ENS/MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,2014.0,5.8
GNQ,10.46535826,1.565792376,226,Equatorial Guinea,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,2011.0,8.6
ETH,39.63505296,8.631223181,231,Ethiopia,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,2016.0,14.1
ERI,38.11074289,16.12894644,232,Eritrea,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,EPHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,2010.0,12.9
AGO,17.57817062,-12.33724746,24,Angola,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,2016.0,7.9
DJI,42.18274707,11.56004161,262,Djibouti,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,2006.0,1.8
GAB,11.78727747,-0.60687619,266,Gabon,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,2012.0,5.6
GEO,43.3713615,42.04813028,268,Georgia,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,RHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,2010.0,1.1
GMB,-15.39944785,13.45295927,270,Gambia,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,2013.0,9.3
PSE,35.25694122,31.94347933,275,State of Palestine,5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",5.3.1,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,1,SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),2019.Q1.G.01,20-24,20 to 24 years old,FEMALE,Female,G,Global,PER_MARW_20T24Y,% of married women aged 20-24 years,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2014.0,1.0
