ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_1990,Footnotes_1991,Footnotes_1992,Footnotes_1993,Footnotes_1994,Footnotes_1995,Footnotes_1996,Footnotes_1997,Footnotes_1998,Footnotes_1999,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_1990,Nature_Code_1991,Nature_Code_1992,Nature_Code_1993,Nature_Code_1994,Nature_Code_1995,Nature_Code_1996,Nature_Code_1997,Nature_Code_1998,Nature_Code_1999,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_1990,Source_1991,Source_1992,Source_1993,Source_1994,Source_1995,Source_1996,Source_1997,Source_1998,Source_1999,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_1990,TimeDetail_1991,TimeDetail_1992,TimeDetail_1993,TimeDetail_1994,TimeDetail_1995,TimeDetail_1996,TimeDetail_1997,TimeDetail_1998,TimeDetail_1999,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_1990,Value_1991,Value_1992,Value_1993,Value_1994,Value_1995,Value_1996,Value_1997,Value_1998,Value_1999,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
BEN,2.339933594,9.65401646,204,Benin,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16,5.94,8.04,4.79,5.60,4.56,3.60,3.09,3.63,2.79,3.33,3.10,2.48,1.42,1.39,3.06,3.80,4.03,2.90,1.77,2.00,2.20,2.55,2.72,3.13,2.58,2.41,2016.0,2.41
DNK,9.326571283,56.03829721,208,Denmark,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,0.31,0.28,0.28,0.37,0.49,0.43,0.45,0.41,0.42,0.44,0.43,0.43,0.25,0.26,0.26,0.30,0.32,0.29,0.33,0.36,0.40,0.42,0.42,0.41,2016.0,0.41
,,,21,Northern America,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,2016.0,0.04
DMA,-61.3493756,15.43391378,212,Dominica,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,2.75,2.70,6.85,6.17,4.84,4.70,4.65,4.67,4.85,4.03,4.18,4.28,4.23,5.34,5.88,5.65,5.34,4.95,4.53,4.64,4.56,4.78,4.69,9.64,10.45,9.77,2016.0,9.77
DOM,-70.49847576,18.89832088,214,Dominican Republic,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,3.39,3.07,5.84,5.50,5.13,5.31,5.83,6.64,7.51,7.66,7.96,8.26,10.93,11.35,8.00,8.49,7.69,7.47,7.06,7.20,7.34,7.03,7.24,7.37,7.63,7.70,2016.0,7.70
ECU,-78.37005241,-1.447785891,218,Ecuador,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.33,0.41,1.07,1.22,1.58,1.94,2.30,2.85,5.55,7.21,5.81,5.04,5.04,5.02,5.93,6.27,6.55,5.00,4.39,3.74,3.38,2.82,2.58,2.43,2.40,2.65,2016.0,2.65
SLV,-88.86862995,13.73603564,222,El Salvador,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,8.95,11.66,11.47,12.02,11.20,10.51,10.77,11.14,11.12,13.43,13.93,13.65,14.10,16.22,17.72,18.77,18.45,17.52,16.47,16.21,15.75,16.36,16.24,16.58,16.46,17.14,2016.0,17.14
GNQ,10.46535826,1.565792376,226,Equatorial Guinea,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.67,0.50,0.07,0.07,,,,,,,,,,,,,,,,,,,,,1996.0,0.07
ETH,39.63505296,8.631223181,231,Ethiopia,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.07,0.14,0.21,0.36,0.36,0.19,0.11,0.35,0.44,0.64,0.22,0.42,0.54,1.32,1.40,1.13,1.82,1.43,0.81,1.15,1.61,2.16,1.75,3.23,1.69,1.07,2016.0,1.07
ERI,38.11074289,16.12894644,232,Eritrea,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.53,0.47,,,,,,,,,,,,,,,,,2000.0,0.47
EST,25.84093481,58.68487172,233,Estonia,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,0.03,0.05,0.04,0.07,0.18,0.26,0.52,1.38,1.89,2.37,1.85,1.50,1.73,1.83,1.89,2.00,2.26,2.08,2.02,2.05,2016.0,2.05
FRO,-7.122044325,62.21228119,234,Faroe Islands,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,4.45,4.04,3.38,3.13,2.98,2.92,4.64,4.52,4.79,5.66,6.15,6.36,6.42,6.72,6.06,5.64,6.40,,2015.0,6.40
AGO,17.57817062,-12.33724746,24,Angola,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,"World Development Indicators, World Bank",,,,,,,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,0.10,0.00,0.02,0.00,0.03,0.03,0.02,0.01,0.00,2016.0,0.00
FJI,177.9660884,-17.83301566,242,Fiji,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.39,1.48,1.60,1.62,1.66,1.57,1.65,1.56,1.19,2.57,4.67,5.39,5.34,6.33,6.76,6.59,5.38,4.16,5.97,5.59,4.25,4.80,4.86,4.94,5.72,1.71,2016.0,1.71
FIN,23.308447,61.91586738,246,Finland,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.08,0.09,0.09,0.06,0.06,0.11,0.19,0.28,0.33,0.38,0.38,0.34,0.31,0.34,0.34,0.33,0.32,0.34,0.34,0.36,0.28,0.34,0.36,0.33,0.35,0.34,2016.0,0.34
FRA,2.457288129,46.62660861,250,France,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.36,0.37,0.38,0.28,0.28,0.27,0.67,0.66,0.63,0.65,0.66,0.71,0.66,0.63,0.64,0.67,0.66,0.69,0.73,0.75,0.80,0.85,0.87,0.89,0.98,0.99,2016.0,0.99
DJI,42.18274707,11.56004161,262,Djibouti,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,2.74,4.08,2.76,2.39,2.22,2.28,2.32,2.16,2.23,2.09,2.53,3.97,3.71,3.65,3.70,3.38,3.04,3.09,2.89,2.61,2.46,2.45,2.24,3.67,,2015.0,3.67
GAB,11.78727747,-0.60687619,266,Gabon,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.3,Mobilize additional financial resources for developing countries from multiple sources,17.3.2,Volume of remittances (in United States dollars) as a proportion of total GDP,1,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,"World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.04,0.07,0.09,0.09,0.10,0.12,0.12,0.09,0.12,0.11,0.05,0.09,0.09,0.12,,,,,,,,,,,,2005.0,0.12
