"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"9","Oceania","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"9","Oceania","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"11","Western Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"11","Western Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"11","Western Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"13","Central America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"13","Central America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"13","Central America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"14","Eastern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"14","Eastern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"14","Eastern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"15","Northern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"15","Northern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"15","Northern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"17","Middle Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"17","Middle Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"17","Middle Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"18","Southern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"18","Southern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"18","Southern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"19","Americas","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"19","Americas","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"19","Americas","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"21","Northern America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"21","Northern America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"21","Northern America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"29","Caribbean","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"29","Caribbean","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"29","Caribbean","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"30","Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"30","Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"30","Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"34","Southern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"34","Southern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
"34","Southern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"35","South-Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","FEMALE","Female","","","","","","","",""
"35","South-Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","MALE","Male","","","","","","","",""
"35","South-Eastern Asia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.10","Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements","16.10.1","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","1","VC_VAW_MTUHRA","Number of cases of killings of human rights defenders, journalists and trade unionists","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Both sexes","","","","","","","",""
