ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Age_Code,Age_Desc,Sex_Code,Sex_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Footnotes_2017,Footnotes_2018,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Nature_Code_2017,Nature_Code_2018,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,Source_2017,Source_2018,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,TimeDetail_2017,TimeDetail_2018,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Value_2017,Value_2018,Latest_Year,Latest_Value
LKA,80.70489654,7.614693343,144,Sri Lanka,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,Data pertain to a non-standard definition of unmet need for family planning.,,,,,,,Excluding the Northern Province.,,,,,,,,,Excluding the Northern Province.,,,C,,,,,,,C,,,,,,,,,C,,,Sri Lanka 2000 Demographic and Health Survey (national),,,,,,,Sri Lanka 2006-2007 Demographic and Health Survey,,,,,,,,,Sri Lanka 2016 Demographic and Health Survey (national),,,,,,,,,,,,,,,,,,,,,,56.2,,,,,,,69.4,,,,,,,,,74.1,,,2016.0,74.1
,,,145,Western Asia,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",E,,,,,E,,,,,E,,,,,E,,,E,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,,,,,,,,,,,,,,,,46.9,,,,,50.9,,,,,53.8,,,,,56.2,,,58.0,2018.0,58.0
TCD,18.66618401,15.36279341,148,Chad,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,Data pertain to a non-standard age or marital status group. Figures by method do not add up to the total.,,,,,,,,C,,,,,,C,,,,,C,,,,,,,,Chad 2004 Demographic and Health Survey,,,,,,Chad 2010 Multiple Indicator Cluster Survey,,,,,Chad 2014-2015 Demographic and Health Survey and MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,13.6,,,,,17.5,,,,2015.0,17.5
,,,15,Northern Africa,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",E,,,,,E,,,,,E,,,,,E,,,E,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,,,,,,,,,,,,,,,,68.5,,,,,70.9,,,,,72.1,,,,,73.2,,,74.1,2018.0,74.1
,,,150,Europe,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",,,"The global indicator is intended to represent all women of reproductive age. Given current data limitations, the model-based estimates represent women who are married or in a union.",E,,,,,E,,,,,E,,,,,E,,,E,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,"United Nations, Department of Economic and Social Affairs, Population Division. Model-based Estimates and Projections of Family Planning Indicators 2018. New York: United Nations.",,,,,,,,,,,,,,,,,,,,69.6,,,,,72.7,,,,,74.6,,,,,76.7,,,77.7,2018.0,77.7
CHN,104.1403375,32.30955217,156,China,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,Data pertain to a non-standard definition of unmet need for family planning.,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,China 2001 National Family Planning and Reproductive Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,,,,,,,,,,,,,,,,,,2001.0,96.6
COL,-73.07446751,3.888209046,170,Colombia,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,C,,,,,,C,,,Colombia 2000 Demographic and Health Survey,,,,,Colombia 2005 Demographic and Health Survey,,,,,Colombia 2010 Demographic and Health Survey,,,,,,Colombia 2015 Demographic and Health Survey (DHS),,,,,,,,,,,,,,,,,,,,,,73.6,,,,,78.6,,,,,83.7,,,,,,86.5,,,2016.0,86.5
COM,43.34234565,-11.66121732,174,Comoros,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,Comoros 2012 Demographic and Health Survey and Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,,,,,2012.0,27.8
COG,15.22052612,-0.840544119,178,Congo,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,C,,,,,,,,,Congo 2005 Demographic and Health Survey,,,,,,,Congo 2011-2012 Demographic and Health Survey,,,Congo 2014-2015 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,31.8,,,38.5,,,,2015.0,38.5
COD,23.65496507,-2.877154732,180,Democratic Republic of the Congo,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,Figures by method do not add up to the total.,,,"Figures by method do not add up to the total. Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,,,,,,,,,,,,C,,,C,,,,C,,,,,,,,,,,,Democratic Republic of the Congo 2007 Demographic and Health Survey,,,Democratic Republic of the Congo 2010 Multiple Indicator Cluster Survey,,,,Democratic Republic of the Congo 2013-2014 Demographic and Health Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,18.4,,,,15.6,,,,,2014.0,15.6
CRI,-84.19712782,9.970998683,188,Costa Rica,3,Ensure healthy lives and promote well-being for all at all ages,3.7,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",3.7.1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,1,SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2019.Q1.G.01,15-49,15 to 49 years old,FEMALE,Female,G,Global,PERCENT,Percentage,,,,,,,,,,,Figures by method do not add up to the total.,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,Costa Rica 2010 Encuesta Nacional de Salud Sexual y Reproductiva,Costa Rica 2011 Multiple Indicator Cluster Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.1,89.1,,,,,,,,2011.0,89.1
