"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source"
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","30.2",2015.0,"30.2","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","33.7",2015.0,"33.7","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","38.2",2015.0,"38.2","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","29.0",2015.0,"29.0","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"24","Angola","AGO","17.57817062","-12.33724746","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","21.3",2015.0,"21.3","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"31","Azerbaijan","AZE","50.01064725","40.39229544","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","0.3",2015.0,"0.3","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"31","Azerbaijan","AZE","50.01064725","40.39229544","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","43.5",2015.0,"43.5","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"32","Argentina","ARG","-65.14563274","-35.19446255","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","22.5",2015.0,"22.5","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"32","Argentina","ARG","-65.14563274","-35.19446255","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","28.4",2015.0,"28.4","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"32","Argentina","ARG","-65.14563274","-35.19446255","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","17.0",2015.0,"17.0","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"36","Australia","AUS","134.3499412","-25.57717202","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","15.2",2015.0,"15.2","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"36","Australia","AUS","134.3499412","-25.57717202","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","17.0",2015.0,"17.0","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"36","Australia","AUS","134.3499412","-25.57717202","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","13.5",2015.0,"13.5","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"40","Austria","AUT","14.14172472","47.58704857","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","30.5",2015.0,"30.5","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"40","Austria","AUT","14.14172472","47.58704857","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","29.0",2015.0,"29.0","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"40","Austria","AUT","14.14172472","47.58704857","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","32.2",2015.0,"32.2","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"44","Bahamas","BHS","-78.05111663","24.69546597","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","20.1",2015.0,"20.1","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"44","Bahamas","BHS","-78.05111663","24.69546597","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","3.2",2015.0,"3.2","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"44","Bahamas","BHS","-78.05111663","24.69546597","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","11.3",2015.0,"11.3","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"48","Bahrain","BHR","50.5490754","26.04407747","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","5.9",2015.0,"5.9","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"48","Bahrain","BHR","50.5490754","26.04407747","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","26.1",2015.0,"26.1","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"48","Bahrain","BHR","50.5490754","26.04407747","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","36.9",2015.0,"36.9","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"50","Bangladesh","BGD","89.17660788","22.86961622","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","45.1",2015.0,"45.1","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"50","Bangladesh","BGD","89.17660788","22.86961622","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","1.1",2015.0,"1.1","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"50","Bangladesh","BGD","89.17660788","22.86961622","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","BOTHSEX","Both sexes","23.2",2015.0,"23.2","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"51","Armenia","ARM","44.93839317","40.29499741","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","FEMALE","Female","1.5",2015.0,"1.5","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
"51","Armenia","ARM","44.93839317","40.29499741","3","Ensure healthy lives and promote well-being for all at all ages","3.a","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate","3.a.1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","1","SH_PRV_SMOK","Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%)","2019.Q1.G.01","PERCENT","Percentage","15+","15 years old and over","G","Global","MALE","Male","52.5",2015.0,"52.5","Estimated data","World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control"
