series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	FEMALE	PERCENT	Female	Percentage	31.22		32.6	33.86	33.9	35.43	35.18	36.08		35.95		36.42	37.97	38.02	38.67	39.35	39.65	38.732	2016	39.65	ILOSTAT - LFS - Quarterly Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	FEMALE	PERCENT	Female	Percentage						41.26										45.82	25.24	35.53	2016	25.24	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	FEMALE	PERCENT	Female	Percentage		25.66													33.64			33.64	2014	33.64	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	FEMALE	PERCENT	Female	Percentage	29.82	32.65	33.54	31.3	34.41	33.97	31.61	31.4	32.28	32.15	33.34	36.75	36.39	36.48	36.68	36.51	37.87	36.786	2016	37.87	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	FEMALE	PERCENT	Female	Percentage																28.36		28.36	2015	28.36	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	FEMALE	PERCENT	Female	Percentage															27.36			27.36	2014	27.36	ILOSTAT - HS - Living standards survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	112	28.04940161	53.54193075	BLR	Belarus	1	FEMALE	PERCENT	Female	Percentage										46.25									2009	46.25	ILOSTAT - PC - Population census	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	116	104.922836	12.71163737	KHM	Cambodia	1	FEMALE	PERCENT	Female	Percentage	12.57	13.82							20.95		17.95		30.88					30.88	2012	30.88	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	124	-101.6575058	57.72360191	CAN	Canada	1	FEMALE	PERCENT	Female	Percentage	35.47	34.95	34.06	35.71	36.49	35.9	36.25	36.92	35.99	37.01	36.76	37.1	36.43	35.78	35.52			35.91	2014	35.52	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	FEMALE	PERCENT	Female	Percentage			21.74	20.39	19.79	22.39	20.51	23.79	23.93	25.08	25.49	25.45	28.42	29.01	24.81			27.4133333333333	2014	24.81	ILOSTAT - LFS - Sri Lanka Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	148	18.66618401	15.36279341	TCD	Chad	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	152	-71.23029019	-35.2652885	CHL	Chile	1	FEMALE	PERCENT	Female	Percentage			32.72								23.79	23.56	24	24.98	26.94	27.41	27.39	26.144	2016	27.39	ILOSTAT - LFS - National Employment Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	156	104.1403375	32.30955217	CHN	China	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	170	-73.07446751	3.888209046	COL	Colombia	1	FEMALE	PERCENT	Female	Percentage										53.44									2009	53.44	ILOSTAT - LFS - Integrated Household Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	174	43.34234565	-11.66121732	COM	Comoros	1	FEMALE	PERCENT	Female	Percentage					26.13														2004	26.13	ILOSTAT - HS - Integrated Household Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	175	45.14015057	-12.82217691	MYT	Mayotte	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	178	15.22052612	-0.840544119	COG	Congo	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	FEMALE	PERCENT	Female	Percentage	32.94	25.36	26.14	29.08	26.18	24.88	29.92	26.99	30.42		29.69	35.2	27.9	36.19				32.045	2013	36.19	ILOSTAT - LFS - National Household Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	191	17.95874553	45.45172212	HRV	Croatia	1	FEMALE	PERCENT	Female	Percentage	24.66	24.67	27.1	24.59	22.61	24.03	25.64	20.7	25.44	25.15	25.78	23.95	26.05	24.38	23.18	26.67	29.93	26.042	2016	29.93	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	192	-79.54460144	22.10030366	CUB	Cuba	1	FEMALE	PERCENT	Female	Percentage										32.51	38.12								2010	38.12	ILOSTAT - LFS - National Employment Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	196	33.22285964	35.05659437	CYP	Cyprus	1	FEMALE	PERCENT	Female	Percentage	14.78	19.02	17.55	17.46	17.25	14.76	16.15	15.43	16.12	12.23	13.77	14.99	15.8	18.92	17.33	22.82	25.73	20.12	2016	25.73	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	203	15.33151382	49.73913871	CZE	Czechia	1	FEMALE	PERCENT	Female	Percentage	24.07	26.77	26.07	27.68	28.1	29.62	28.86	28.62	28.06	28.99	27.71	25.75	26.2	27.18	27.85	29.48	25.39	27.22	2016	25.39	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	204	2.339933594	9.65401646	BEN	Benin	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	208	9.326571283	56.03829721	DNK	Denmark	1	FEMALE	PERCENT	Female	Percentage	24.19	20.97	21.37	25.77	23.76	24.19	24.5	28.3	23.92	24.85	22.69	27.83	28.45	27.17	26.3	26.87	27.95	27.348	2016	27.95	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	212	-61.3493756	15.43391378	DMA	Dominica	1	FEMALE	PERCENT	Female	Percentage		48.41																	2001	48.41	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	FEMALE	PERCENT	Female	Percentage	30.59	30.91	30.56	31.01	32.81	32.43	37.36	30.61	34.62	31.09	34.12	45.3	38.59	37.02	34.89	43.3	39.15	38.59	2016	39.15	ILOSTAT - LFS - National Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	FEMALE	PERCENT	Female	Percentage	29.3	25.28	25.02		33.5	34.62	27.72			32.17	32.52	40.06	38.47	35.38	34.61	32.91	35.37	35.348	2016	35.37	ILOSTAT - LFS - National Survey on Employment, Unemployment and Underemployment	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	222	-88.86862995	13.73603564	SLV	El Salvador	1	FEMALE	PERCENT	Female	Percentage	26.09	25.35	25.72	32.1	32.99	27.35	28.83	24.66	38.07	37.88	28.95	35.8	37.11	43.54	38.19	40.91	35.26	39.002	2016	35.26	ILOSTAT - HS - Multi-purpose household survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	231	39.63505296	8.631223181	ETH	Ethiopia	1	FEMALE	PERCENT	Female	Percentage					23.21	20.09	15.67			20.85	20.26	19.86	22.11	26.52				24.315	2013	26.52	ILOSTAT - LFS - National Labor Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	232	38.11074289	16.12894644	ERI	Eritrea	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	233	25.84093481	58.68487172	EST	Estonia	1	FEMALE	PERCENT	Female	Percentage	40.38	36.9	37.93	31.23	35.18	37.22	33.01	33.52	35.94	35.32	36.08	35.36	31.79	33.39	32.6	30.72	36.24	32.948	2016	36.24	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	242	177.9660884	-17.83301566	FJI	Fiji	1	FEMALE	PERCENT	Female	Percentage					27.16	31.72		23.77				31.5			30.42		38.89	34.655	2016	38.89	ILOSTAT - LFS - Employment, Unemployment Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	246	23.308447	61.91586738	FIN	Finland	1	FEMALE	PERCENT	Female	Percentage	26.64	27.92	28.36	28.62	28.17	29.85	29.59	28.6	29.52	29.68	30.45	31.99	29.74	29.64	33.68	33.32	34.14	32.104	2016	34.14	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	248	19.80945969	60.1544901	ALA	Åland Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	250	2.457288129	46.62660861	FRA	France	1	FEMALE	PERCENT	Female	Percentage	34.97	35.51	36.43	35.41	35.89	37.59	37.89	37.84	38.51	38.09	38.49	39.33	39.32	36	32.72	31.66	32.91	34.522	2016	32.91	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	254	-53.23619089	3.922673437	GUF	French Guiana	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	262	42.18274707	11.56004161	DJI	Djibouti	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	266	11.78727747	-0.60687619	GAB	Gabon	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	268	43.3713615	42.04813028	GEO	Georgia	1	FEMALE	PERCENT	Female	Percentage	18.98	23.44	27.51	28.35	25.55	26.26	32.51	33.99											2007	33.99	ILOSTAT - LFS - Integrated Household Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	270	-15.39944785	13.45295927	GMB	Gambia	1	FEMALE	PERCENT	Female	Percentage													33.83					33.83	2012	33.83	ILOSTAT - LFS - Labour force survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	275	35.25694122	31.94347933	PSE	State of Palestine	1	FEMALE	PERCENT	Female	Percentage	12.82	11.12	9.82	12.23	10.87	12.31	12.11	10.42	9.88			11.5	14.45	14.97		15.4		14.94	2015	15.4	ILOSTAT - LFS - Palestinian labour force survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	276	10.3806066	51.08862743	DEU	Germany	1	FEMALE	PERCENT	Female	Percentage	27.13	26.92	27.29	28.04	27.71	28.17	28.51	28.73	29.19	29.66	29.93	30.32	28.63	28.9	29	29.29	29.29	29.022	2016	29.29	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	288	-1.205623522	7.964825185	GHA	Ghana	1	FEMALE	PERCENT	Female	Percentage											50.06			40.77				40.77	2013	40.77	ILOSTAT - HS - Living Standards Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	296	-157.5643005	1.768837732	KIR	Kiribati	1	FEMALE	PERCENT	Female	Percentage						27.29					36.45								2010	36.45	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	300	22.58307827	39.47301873	GRC	Greece	1	FEMALE	PERCENT	Female	Percentage	25.13	24.57	24.93	26.11	25.95	26.63	26.85	28.15	28.53	30.09	30.19	23.62	25.97	28.75	28.32	25.72	25.5	26.852	2016	25.5	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	304	-41.39371316	74.75625681	GRL	Greenland	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	308	-61.68248568	12.11238395	GRD	Grenada	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	316	144.7029305	13.35485404	GUM	Guam	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	320	-91.2312746	15.00273719	GTM	Guatemala	1	FEMALE	PERCENT	Female	Percentage				30.67	26.52						57.54	58.23	44.85	34.98	34.54	31.83	44.64	38.168	2016	44.64	ILOSTAT - LFS - Monthly Employment and Income Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	324	-11.28173419	11.00210343	GIN	Guinea	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	328	-58.97322037	4.788012784	GUY	Guyana	1	FEMALE	PERCENT	Female	Percentage			25.44																2002	25.44	ILOSTAT - PC - Population census	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	332	-72.33640958	18.40426539	HTI	Haiti	1	FEMALE	PERCENT	Female	Percentage				23.95															2003	23.95	ILOSTAT - PC - Population Census	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	336	12.45315803	41.90343751	VAT	Holy See	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	340	-86.59974381	14.82243161	HND	Honduras	1	FEMALE	PERCENT	Female	Percentage													59.49	61.3	59.93	49.14	46.97	55.366	2016	46.97	ILOSTAT - HS - Continous Multi-Purpose Household Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	348	19.41221519	47.1651448	HUN	Hungary	1	FEMALE	PERCENT	Female	Percentage	33.53	35.36	35.74	34.16	33.66	34.76	36.63	35.36	36.5	36.18	36.48	40.43	38.93	40.81	39.82	40.53	39.36	39.89	2016	39.36	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	352	-19.02116966	64.79134763	ISL	Iceland	1	FEMALE	PERCENT	Female	Percentage	29.01	28.89	29.38	37.01	33.6	27.38	29.35	29.69	32.9	33.61	34.3	39.78	39.9	37.56	37.16	38.24	34.15	37.402	2016	34.15	ILOSTAT - LFS - EU Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	356	79.3608464	22.34642074	IND	India	1	FEMALE	PERCENT	Female	Percentage	13.95					15.22					12.23		12.89					12.89	2012	12.89	ILOSTAT - HS - National Sample Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	360	113.9174	-0.994582204	IDN	Indonesia	1	FEMALE	PERCENT	Female	Percentage	32.86		47.96					19.71	21.34	19.2	20.88		19.29	21.6		22.38		21.09	2015	22.38	ILOSTAT - LFS - National Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	FEMALE	PERCENT	Female	Percentage						16.17	14.61	13.31	13.28	11.8	14.61				18.21	16.43	17.29	17.31	2016	17.29	ILOSTAT - LFS - Labour Force Survey	C
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	368	43.76606267	33.05013795	IRQ	Iraq	1	FEMALE	PERCENT	Female	Percentage																						
2018.Q2.G.01	IC_GEN_MGTL	Proportion of women in managerial positions (%)	372	-7.121425272	53.25274054	IRL	Ireland	1	FEMALE	PERCENT	Female	Percentage	26.28	27.53	27.26	28.68	28.7	30.26	30.61	39.21	40.37	39.64	39.07	33.42	32.56	33.1	33.8	34.26	35.83	33.91	2016	35.83	ILOSTAT - LFS - EU Labour Force Survey	C
