"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2002.0","Value_2007.0","Value_2012.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"21","Northern America","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"29","Caribbean","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"30","Eastern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"34","Southern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"35","South-Eastern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"39","Southern Europe","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"53","Australia and New Zealand","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"54","Melanesia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"57","Micronesia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"61","Polynesia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"62","Central and Southern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"97","European Union","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"127","Southern Asia (excluding India)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"135","Caucasus and Central Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"142","Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"143","Central Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"145","Western Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"150","Europe","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"151","Eastern Europe","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"154","Northern Europe","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"155","Western Europe","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"158","Other non-specified areas","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"199","Least Developed Countries (LDCs)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"202","Sub-Saharan Africa","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","35.1","31.9","29.3","24.8",2017.0,"24.8","Estimated data","DHS, MICS and other national surveys","Based on 25 countries covering 68 per cent of the regional population of adolescent girls aged 15 to 19 years"
"223","Eastern Asia (excluding Japan and China)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"369"," Iraq (Central Iraq) ","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"419","Latin America and the Caribbean","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"420","Latin America","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"513","Europe and Northern America","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"515","Developing regions","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"518","Eastern Asia (excluding Japan)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"722","Small island developing States (SIDS)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"738","Sub-Saharan Africa (inc. Sudan)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"746","Northern Africa (exc. Sudan)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"747","Northern Africa and Western Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"753","Eastern and South-Eastern Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"827","United Kingdom (England and Wales)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"828","United Kingdom (Northern Ireland)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"829","United Kingdom (Scotland)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"830","Channel Islands","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"891","Serbia and Montenegro [former]","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"910","High income economies (WB)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"911","Low income economies (WB)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
"912","Lower middle economies (WB)","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","1","SH_STA_FGMS","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)","2019.Q1.G.01","PERCENT","Percentage","15-19","15 to 19 years old","G","Global","FEMALE","Female","","","","","","","","",""
