series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	IHR Capacity	Units description	IHR Capacity description	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	4	PERCENT	IHR10	Percentage	 Zoonotic events								67	67	2017	67	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	5	PERCENT	IHR12	Percentage	Chemical events								23	23	2017	23	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	6	PERCENT	IHR04	Percentage	Response								35	35	2017	35	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	7	PERCENT	IHR01	Percentage	National legislation, policy and financing								75	75	2017	75	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	8	PERCENT	IHR06	Percentage	Risk communication								57	57	2017	57	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	9	PERCENT	IHR13	Percentage	Radionuclear emergencies								62	62	2017	62	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	10	PERCENT	IHR05	Percentage	Preparedness								8	8	2017	8	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	11	PERCENT	IHR09	Percentage	Points of entry								15	15	2017	15	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	12	PERCENT	IHR02	Percentage	 Coordination and National Focal Point communications								57	57	2017	57	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	8	20.06660928	41.13897007	ALB	Albania	13	PERCENT	IHR03	Percentage	Surveillance								60	60	2017	60	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	IHR11	Percentage	Food safety													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	PERCENT	IHR07	Percentage	Human resources													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	PERCENT	IHR08	Percentage	Laboratory													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	4	PERCENT	IHR10	Percentage	 Zoonotic events													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	5	PERCENT	IHR12	Percentage	Chemical events													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	6	PERCENT	IHR04	Percentage	Response													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	7	PERCENT	IHR01	Percentage	National legislation, policy and financing													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	8	PERCENT	IHR06	Percentage	Risk communication													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	9	PERCENT	IHR13	Percentage	Radionuclear emergencies													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	10	PERCENT	IHR05	Percentage	Preparedness													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	11	PERCENT	IHR09	Percentage	Points of entry													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	12	PERCENT	IHR02	Percentage	 Coordination and National Focal Point communications													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	10	21.47585697	-80.40897662	ATA	Antarctica	13	PERCENT	IHR03	Percentage	Surveillance													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	IHR11	Percentage	Food safety	60	0	0	20	53	60	73	73	55.8	2017	73	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	2	PERCENT	IHR07	Percentage	Human resources	50	0	0	60	60	60	40	60	56	2017	60	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	3	PERCENT	IHR08	Percentage	Laboratory	35	60	4	36	76	76	58	62	61.6	2017	62	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	4	PERCENT	IHR10	Percentage	 Zoonotic events	76	0	56	56	89	89	89	89	82.4	2017	89	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	5	PERCENT	IHR12	Percentage	Chemical events	14	0	31	15	15	15	100	54	39.8	2017	54	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	6	PERCENT	IHR04	Percentage	Response	46	28	35	54	94	94	83	83	81.6	2017	83	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	7	PERCENT	IHR01	Percentage	National legislation, policy and financing	50	0	0	50	100	100	100	100	90	2017	100	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	8	PERCENT	IHR06	Percentage	Risk communication	30	14	14	29	29	29	29	43	31.8	2017	43	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	9	PERCENT	IHR13	Percentage	Radionuclear emergencies	86	0	0	0	69	69	77	77	58.4	2017	77	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	10	PERCENT	IHR05	Percentage	Preparedness	46	0	10	61	80	80	63	80	72.8	2017	80	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	11	PERCENT	IHR09	Percentage	Points of entry	50	23	11	6	72	77	88	88	66.2	2017	88	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	12	PERCENT	IHR02	Percentage	 Coordination and National Focal Point communications	56	20	53	53	100	100	90	90	86.6	2017	90	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	12	2.678164227	28.15940032	DZA	Algeria	13	PERCENT	IHR03	Percentage	Surveillance	64	0	35	75	85	85	55	80	76	2017	80	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	IHR11	Percentage	Food safety													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	PERCENT	IHR07	Percentage	Human resources													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	PERCENT	IHR08	Percentage	Laboratory													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	4	PERCENT	IHR10	Percentage	 Zoonotic events													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	5	PERCENT	IHR12	Percentage	Chemical events													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	6	PERCENT	IHR04	Percentage	Response													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	7	PERCENT	IHR01	Percentage	National legislation, policy and financing													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	8	PERCENT	IHR06	Percentage	Risk communication													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	9	PERCENT	IHR13	Percentage	Radionuclear emergencies													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	10	PERCENT	IHR05	Percentage	Preparedness													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	11	PERCENT	IHR09	Percentage	Points of entry													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	12	PERCENT	IHR02	Percentage	 Coordination and National Focal Point communications													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	13	PERCENT	IHR03	Percentage	Surveillance													
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	IHR11	Percentage	Food safety	80	83	73	0	67	67	67	67	53.6	2017	67	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	2	PERCENT	IHR07	Percentage	Human resources	0	0	0	0	0	0		0	0	2017	0	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	3	PERCENT	IHR08	Percentage	Laboratory	35	30	25	25	25	25	25	25	25	2017	25	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	4	PERCENT	IHR10	Percentage	 Zoonotic events	46	33	44	0	44	44	44	44	35.2	2017	44	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	5	PERCENT	IHR12	Percentage	Chemical events	7	0	0	0	0	0		0	0	2017	0	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	6	PERCENT	IHR04	Percentage	Response	40	43	37	44	44	44	44	44	44	2017	44	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	7	PERCENT	IHR01	Percentage	National legislation, policy and financing	50	75	75	75	75	75	75	75	75	2017	75	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	8	PERCENT	IHR06	Percentage	Risk communication	70	14	14	14	14	14	14	14	14	2017	14	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	9	PERCENT	IHR13	Percentage	Radionuclear emergencies	0	0	0	0	0	0		0	0	2017	0	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	10	PERCENT	IHR05	Percentage	Preparedness	12	10	40	8	8	8	8	8	8	2017	8	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	11	PERCENT	IHR09	Percentage	Points of entry	0	0	0	0	0	0		0	0	2017	0	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	12	PERCENT	IHR02	Percentage	 Coordination and National Focal Point communications	65	30	30	30	30	30	30	30	30	2017	30	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	20	1.576257417	42.54548611	AND	Andorra	13	PERCENT	IHR03	Percentage	Surveillance	68	65	65	70	70	70	70	70	70	2017	70	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	IHR11	Percentage	Food safety		58		27	20			73	40	2017	73	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	2	PERCENT	IHR07	Percentage	Human resources		25		60	20			60	46.6666666666667	2017	60	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	3	PERCENT	IHR08	Percentage	Laboratory		100		57	0			100	52.3333333333333	2017	100	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	4	PERCENT	IHR10	Percentage	 Zoonotic events		67		33	0			100	44.3333333333333	2017	100	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	5	PERCENT	IHR12	Percentage	Chemical events		0		15	0			8	7.66666666666667	2017	8	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	6	PERCENT	IHR04	Percentage	Response		71		67	28			94	63	2017	94	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	7	PERCENT	IHR01	Percentage	National legislation, policy and financing		0		50	50			100	66.6666666666667	2017	100	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	8	PERCENT	IHR06	Percentage	Risk communication		57		29	14			100	47.6666666666667	2017	100	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	9	PERCENT	IHR13	Percentage	Radionuclear emergencies		0		17	0			31	16	2017	31	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	10	PERCENT	IHR05	Percentage	Preparedness		20		25	0			90	38.3333333333333	2017	90	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	11	PERCENT	IHR09	Percentage	Points of entry		10		16	0			27	14.3333333333333	2017	27	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	12	PERCENT	IHR02	Percentage	 Coordination and National Focal Point communications		73		73	73			100	82	2017	100	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	24	17.57817062	-12.33724746	AGO	Angola	13	PERCENT	IHR03	Percentage	Surveillance		50		60	25			95	60	2017	95	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	IHR11	Percentage	Food safety	73	75	80	80	100	100	100	100	96	2017	100	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	PERCENT	IHR07	Percentage	Human resources	50	25	100	100	100	100	100	80	96	2017	80	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	PERCENT	IHR08	Percentage	Laboratory	53	40	66	45	81	100	68	88	76.4	2017	88	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	4	PERCENT	IHR10	Percentage	 Zoonotic events	76	78	89	100	100	100	89	89	95.6	2017	89	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	5	PERCENT	IHR12	Percentage	Chemical events	50	33	62	85	85	85	69	46	74	2017	46	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	6	PERCENT	IHR04	Percentage	Response	73	57	70	65	82	82	83	77	77.8	2017	77	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	7	PERCENT	IHR01	Percentage	National legislation, policy and financing	50	50	100	100	100	100	100	75	95	2017	75	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	8	PERCENT	IHR06	Percentage	Risk communication	90	57	43	57	71	86	86	71	74.2	2017	71	Global Health Observatory (GHO), World Health Organisation (WHO)	
2018.Q2.G.01	SH_IHR_CAPS	International Health Regulations (IHR) capacity, by type of IHR capacity (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	9	PERCENT	IHR13	Percentage	Radionuclear emergencies	13	8	29	23	23	23	23	23	23	2017	23	Global Health Observatory (GHO), World Health Organisation (WHO)	
