series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of mobile technology	Units description	Type of mobile technology description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	AL3G	Percentage	at least 3g mobile network									55							55	92.67	73.835	2016	92.67	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	0		0	2015	0	ITU estimate	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	AL3G	Percentage	at least 3g mobile network			95.3	95.3	95.3	95.3	95.3	95.3	97	95.3	95.3	95.3	95.3	95.3	95.3	97	97	95.98	2016	97	Andorra Telecom SAU	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	20	1.576257417	42.54548611	AND	Andorra	2	PERCENT	AL2G	Percentage	at least 2g mobile network		91				91.3	91.3	99	99	99.1	99.1	99.1	99.1	99.1	99.1	99.5	99.5	99.26	2016	99.5	Andorra Telecom SAU	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	20	1.576257417	42.54548611	AND	Andorra	3	PERCENT	AL4G	Percentage	at least 4g mobile network																50	50	50	2016	50	Andorra Telecom SAU	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	AL3G	Percentage	at least 3g mobile network					40	47	53	46	100			40	47	53	46	100	62	61.6	2016	62	Angolan Institute of Communications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	24	17.57817062	-12.33724746	AGO	Angola	2	PERCENT	AL2G	Percentage	at least 2g mobile network							40							90	92	99	99	95	2016	99	Angolan Institute of Communications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	24	17.57817062	-12.33724746	AGO	Angola	3	PERCENT	AL4G	Percentage	at least 4g mobile network															53	7	8	22.6666666666667	2016	8	Angolan Institute of Communications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	AL3G	Percentage	at least 3g mobile network			0	0	0	98	98	98	98	0	0	0	98	98	98	98	99	98.2	2016	99	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	PERCENT	AL2G	Percentage	at least 2g mobile network			85		100	100	100	100	100	100	100	100	100	100	99		99	99.5	2016	99	Ministry of Information, Broadcasting, Telecommunications and Information Technology	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	PERCENT	AL4G	Percentage	at least 4g mobile network															80	98	99	92.3333333333333	2016	99	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	AL3G	Percentage	at least 3g mobile network			32.2	69.2	89.3	96.5	96.9	97.1	97.3	32.2	69.2	89.3	96.5	96.9	97.1	97.3	95.5	96.66	2016	95.5	Ministry of Transport, Communications and High Technologies (MTC&HT) 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	PERCENT	AL2G	Percentage	at least 2g mobile network	93.5	94	95	95	97	99	95	99	99	99.6	100	100	100	100	100	100	100	100	2016	100	Ministry of Transport, Communications and High Technologies (MTC&HT) 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	PERCENT	AL4G	Percentage	at least 4g mobile network															49	50	41	46.6666666666667	2016	41	Ministry of Transport, Communications and High Technologies (MTC&HT) 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	AL3G	Percentage	at least 3g mobile network								80	90						80	90	95	88.3333333333333	2016	95	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	32	-65.14563274	-35.19446255	ARG	Argentina	2	PERCENT	AL2G	Percentage	at least 2g mobile network		30				94.1	94.1	94.1								98	0	49	2016	0	NA	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	32	-65.14563274	-35.19446255	ARG	Argentina	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	65	85	50	2016	85	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	AL3G	Percentage	at least 3g mobile network		98.8	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99.3	99.06	2016	99.3	Department of Communications and the Arts	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	36	134.3499412	-25.57717202	AUS	Australia	2	PERCENT	AL2G	Percentage	at least 2g mobile network	95.6	96	96	96	96	98	98.1	98.8	98.8	99	99	99	99	99	99	99	99.3	99.06	2016	99.3	Department of Communications and the Arts	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	36	134.3499412	-25.57717202	AUS	Australia	3	PERCENT	AL4G	Percentage	at least 4g mobile network															95	94	98	95.6666666666667	2016	98	Department of Communications and the Arts	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	AL3G	Percentage	at least 3g mobile network	84		96	96	96	96	96	97	98	96	96	96	96	96	97	98	98	97	2016	98	Austrian Regulatory Authority for Broadcasting and Telecommunications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	40	14.14172472	47.58704857	AUT	Austria	2	PERCENT	AL2G	Percentage	at least 2g mobile network	98	98	98	98	98.5	98.5	98.5	98.5	99	99	99	99	99	99	99	99	99	99	2016	99	Austrian Regulatory Authority for Broadcasting and Telecommunications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	40	14.14172472	47.58704857	AUT	Austria	3	PERCENT	AL4G	Percentage	at least 4g mobile network															85	98	98	93.6666666666667	2016	98	Austrian Regulatory Authority for Broadcasting and Telecommunications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	AL3G	Percentage	at least 3g mobile network								98	98						98	98	98	98	2016	98	Utilities Regulation and Competition Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	44	-78.05111663	24.69546597	BHS	Bahamas	2	PERCENT	AL2G	Percentage	at least 2g mobile network			95	95	95	95	95	100	100	100	100				99	99	99	99	2016	99	Utilities Regulation and Competition Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	44	-78.05111663	24.69546597	BHS	Bahamas	3	PERCENT	AL4G	Percentage	at least 4g mobile network															35	95	95	75	2016	95	Utilities Regulation and Competition Authority	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	AL3G	Percentage	at least 3g mobile network			100	100	100	100	100	97.9	97.9	100	100	100	100	100	97.9	97.9	100	99.16	2016	100	Telecommunications Regulatory Authority 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	48	50.5490754	26.04407747	BHR	Bahrain	2	PERCENT	AL2G	Percentage	at least 2g mobile network	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	99	100	99.6	2016	100	Telecommunications Regulatory Authority 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	48	50.5490754	26.04407747	BHR	Bahrain	3	PERCENT	AL4G	Percentage	at least 4g mobile network															95.6	95.6	100	97.0666666666667	2016	100	Telecommunications Regulatory Authority 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	AL3G	Percentage	at least 3g mobile network						1	21.79	59.1	71				1	21.79	59.1	71	91.4	48.858	2016	91.4	Bangladesh Telecommunication Regulatory Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	50	89.17660788	22.86961622	BGD	Bangladesh	2	PERCENT	AL2G	Percentage	at least 2g mobile network		40	44	50	70	80	90			93	96	99	99	99	99	99.4	99.47	99.174	2016	99.47	Bangladesh Telecommunication Regulatory Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	50	89.17660788	22.86961622	BGD	Bangladesh	3	PERCENT	AL4G	Percentage	at least 4g mobile network															59	65	65	63	2016	65	Bangladesh Telecommunication Regulatory Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	AL3G	Percentage	at least 3g mobile network			81.1	93	95	96.3	97.68	98.8	99.9	81.1	93	95	96.3	97.68	98.8	99.9	100	98.536	2016	100	Ministry of Transport, Communication and Informaton Technologies of Armenia	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	51	44.93839317	40.29499741	ARM	Armenia	2	PERCENT	AL2G	Percentage	at least 2g mobile network		38		83.4	84	85.17	87.8			95	98.9	98	99.8	100	100	100	100	99.96	2016	100	Ministry of Transport, Communication and Informaton Technologies of Armenia	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	51	44.93839317	40.29499741	ARM	Armenia	3	PERCENT	AL4G	Percentage	at least 4g mobile network															46	46.5	52.48	48.3266666666667	2016	52.48	Ministry of Transport, Communication and Informaton Technologies of Armenia	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	AL3G	Percentage	at least 3g mobile network					20		100	98	98			20		100	98	98	100	99	2016	100	Division of Energy & Telecommunications                	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	52	-59.5346489	13.13648273	BRB	Barbados	2	PERCENT	AL2G	Percentage	at least 2g mobile network	95	95	95	95	95	99.9	99.9	99.9				99	100	100	100		100	100	2016	100	Division of Energy & Telecommunications                	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	52	-59.5346489	13.13648273	BRB	Barbados	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	0	20	6.66666666666667	2016	20	Division of Energy & Telecommunications                	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	AL3G	Percentage	at least 3g mobile network	85	89.9	96.7	97	97	99.5	99.5	99.5	100	96.7	97	97	99.5	99.5	99.5	100	100	99.7	2016	100	Belgian Institute for Postal Services and Telecommunications 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	56	4.660976456	50.64104975	BEL	Belgium	2	PERCENT	AL2G	Percentage	at least 2g mobile network	99	99	99	99	99	99	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	99.9	100	100	99.94	2016	100	Belgian Institute for Postal Services and Telecommunications 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	56	4.660976456	50.64104975	BEL	Belgium	3	PERCENT	AL4G	Percentage	at least 4g mobile network															88	99.89	100	95.9633333333333	2016	100	Belgian Institute for Postal Services and Telecommunications 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PERCENT	AL3G	Percentage	at least 3g mobile network									99							99	99	99	2016	99	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	60	-64.78155012	32.27881922	BMU	Bermuda	2	PERCENT	AL2G	Percentage	at least 2g mobile network					98											99		99	2015	99	ITU estimate	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	60	-64.78155012	32.27881922	BMU	Bermuda	3	PERCENT	AL4G	Percentage	at least 4g mobile network																	75	75	2016	75	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	PERCENT	AL3G	Percentage	at least 3g mobile network				14.98	32.5	33.6	54.7	60	80		14.98	32.5	33.6	54.7	60	80	85	62.66	2016	85	Ministry of Information & Communications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	64	90.45098484	27.39598568	BTN	Bhutan	2	PERCENT	AL2G	Percentage	at least 2g mobile network						5.4	11.7	21.4			98	98				98	98	98	2016	98	Ministry of Information & Communications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	64	90.45098484	27.39598568	BTN	Bhutan	3	PERCENT	AL4G	Percentage	at least 4g mobile network															10.72	40	53	34.5733333333333	2016	53	Ministry of Information & Communications	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PERCENT	AL3G	Percentage	at least 3g mobile network					2	5	12	27	27			2	5	12	27	27	74.48	29.096	2016	74.48	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	PERCENT	AL2G	Percentage	at least 2g mobile network		43				45.9	45.9	45.9			69	80	95	100	100	100	91.99	97.398	2016	91.99	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	PERCENT	AL4G	Percentage	at least 4g mobile network															1.6	2.5	60.7	21.6	2016	60.7	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PERCENT	AL3G	Percentage	at least 3g mobile network			25	60	70	72	90	95	96	25	60	70	72	90	95	96	96	89.8	2016	96	Communications Regulatory Agency B & H	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	PERCENT	AL2G	Percentage	at least 2g mobile network	60	80	90	93	95	97	99	99	99.3	99.5	99.7	99.7	99.8	99.8	99.8	100	100	99.88	2016	100	Communications Regulatory Agency B & H	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	0	0	0	2016	0	Communications Regulatory Agency B & H	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	PERCENT	AL3G	Percentage	at least 3g mobile network					40	45		78	92			40	45		78	92	84	74.75	2016	84	Botswana Communications Regulatory Authority (BOCRA)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	72	23.81380223	-22.18810073	BWA	Botswana	2	PERCENT	AL2G	Percentage	at least 2g mobile network			99	99	99	99	99	99	99			96	96		98	98	98	97.5	2016	98	Botswana Communications Regulatory Authority (BOCRA)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	72	23.81380223	-22.18810073	BWA	Botswana	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	40	64	34.6666666666667	2016	64	Botswana Communications Regulatory Authority (BOCRA)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	PERCENT	AL3G	Percentage	at least 3g mobile network			55	67.05	81.63	85.98	88.66	92.2	93.53	55	67.05	81.63	85.98	88.66	92.2	93.53	96.94	91.462	2016	96.94	Agência Nacional de Telecomunicaçoes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	76	-53.08432878	-10.77668561	BRA	Brazil	2	PERCENT	AL2G	Percentage	at least 2g mobile network					88	88.35	89.42	90.64	91.72	96.58	99.89	99.99	99.99	99.98		92.11	98.98	97.765	2016	98.98	Agência Nacional de Telecomunicaçoes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	76	-53.08432878	-10.77668561	BRA	Brazil	3	PERCENT	AL4G	Percentage	at least 4g mobile network															40	56.72	79.56	58.76	2016	79.56	Agência Nacional de Telecomunicaçoes	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	PERCENT	AL3G	Percentage	at least 3g mobile network																	95	95	2016	95	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	84	-88.70199554	17.19965901	BLZ	Belize	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	84	-88.70199554	17.19965901	BLZ	Belize	3	PERCENT	AL4G	Percentage	at least 4g mobile network																0	46.94	23.47	2016	46.94	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	PERCENT	AL3G	Percentage	at least 3g mobile network									11.5							11.5	72	41.75	2016	72	Telecommunications Commission of the Solomon Islands	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	PERCENT	AL2G	Percentage	at least 2g mobile network	35															91	93	92	2016	93	Telecommunications Commission of the Solomon Islands	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	PERCENT	AL4G	Percentage	at least 4g mobile network																	13.3	13.3	2016	13.3	Telecommunications Commission of the Solomon Islands	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	PERCENT	AL3G	Percentage	at least 3g mobile network									91							91	95	93	2016	95	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	PERCENT	AL2G	Percentage	at least 2g mobile network															90	96		93	2015	96	ITU estimate	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	PERCENT	AL4G	Percentage	at least 4g mobile network																	98	98	2016	98	ITU estimate.	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	PERCENT	AL3G	Percentage	at least 3g mobile network									91							91	92.45	91.725	2016	92.45	Authority for Info-communications Technology Industry of Brunei Darussalam	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	PERCENT	AL2G	Percentage	at least 2g mobile network																97	98.74	97.87	2016	98.74	Authority for Info-communications Technology Industry of Brunei Darussalam	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	PERCENT	AL4G	Percentage	at least 4g mobile network															11	80	89.58	60.1933333333333	2016	89.58	Authority for Info-communications Technology Industry of Brunei Darussalam	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	PERCENT	AL3G	Percentage	at least 3g mobile network	49.03	75.69	82.05	93.43	97.81	99.46	99.81	99.88	99.95	82.05	93.43	97.81	99.46	99.81	99.88	99.95	99.98	99.816	2016	99.98	Communications Regulation Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	100	25.23763153	42.75731323	BGR	Bulgaria	2	PERCENT	AL2G	Percentage	at least 2g mobile network	95	95	95.73	99.36		99.7	99.82	99.95	99.96	99.97	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2016	99.99	Communications Regulation Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	100	25.23763153	42.75731323	BGR	Bulgaria	3	PERCENT	AL4G	Percentage	at least 4g mobile network															34.5	56.73	86.75	59.3266666666667	2016	86.75	Communications Regulation Commission	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	PERCENT	AL3G	Percentage	at least 3g mobile network								50	79.3						50	79.3	94.83	74.71	2016	94.83	Posts and Telecommunications Department, Ministry of Transport and Communications 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	104	96.51752295	21.19332882	MMR	Myanmar	2	PERCENT	AL2G	Percentage	at least 2g mobile network							10								73	95	94.83	87.61	2016	94.83	Posts and Telecommunications Department, Ministry of Transport and Communications 	
