series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	36	134.3499412	-25.57717202	AUS	Australia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	17.8	17.9	17.4	16.2	16.2	16.6	16.3	17.1	18.4	17.9	16.7	16.1	16.1	14.6	12.9	11.9				12.4	2015	11.9	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	40	14.14172472	47.58704857	AUT	Austria	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	13.74	13.73	13.82	13.16	13.69	12.84	11.95	11.2	11.25	10.39	10.19	9.1	8.63	8.1	7.39	7.63				7.51	2015	7.63	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	44	-78.05111663	24.69546597	BHS	Bahamas	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	49.8	50.8	46.9	45.6	46.4	43		40.42	39.76	34	35.9		32.01								2012	32.01	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	48	50.5490754	26.04407747	BHR	Bahrain	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	14.12883	11.53713	12.35486	17.81882	18.04363	16.29866	13.23203	12.71582	12.32109	14.57095	13.83087	14.05995	14.1768	15.28428	14.33208					14.33208	2014	14.33208	Registration UNSD & WPP2017	CA
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	50	89.17660788	22.86961622	BGD	Bangladesh	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	134	146	137		133	126				128	118	83	117	113	83	75	78			78.6666666666667	2016	78	Bangladesh Sample Vital Registration System	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	51	44.93839317	40.29499741	ARM	Armenia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	31.6	27.58226	27.64135	28.74799	28.94451	25.87085	24.33964	24.44793	24.7097	26.46353	27.12345	26.80999	26	22.7	23.4	24.3	24.1			23.9333333333333	2016	24.1	Estimate National statistics	E
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	52	-59.5346489	13.13648273	BRB	Barbados	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	62.2	62.8	55.3	50.5		46.15636	45.82711	49.7332													2007	49.7332	Registration UNSD & WPP2017	CA
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	56	4.660976456	50.64104975	BEL	Belgium	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	11.5	11.83	10.87	10.47707	10.48968	10.53483	10.4559	10.53641	10.3	10.28	9.64	9.43	8.8	7.28	6.95	6.57				6.76	2015	6.57	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	60	-64.78155012	32.27881922	BMU	Bermuda	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	25.5	38.7	33.2	42.3592			20.0974	14.1841	17.3106	17.6565	17.6094			14.9837	7.18954	6.59631	8.15217			7.31267333333333	2016	8.15217	Registration UNSD	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	64	90.45098484	27.39598568	BTN	Bhutan	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	61.7				36.47		43.81443			59		19.6	28.4								2012	28.4	Bhutan 2012 National Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population		97	84			89	88						77.9			71				71	2015	71	Bolivia 2016 Demographic and Health Survey (National)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	16.6	17.4	18.7	17.4	17.2	16.5	16.4	15.2	15.8	14.8	13.5	12.2	12.3	11	10.7					10.7	2014	10.7	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	72	23.81380223	-22.18810073	BWA	Botswana	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population		51					51					39									2011	39	Botswana 2011 Census	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	76	-53.08432878	-10.77668561	BRA	Brazil	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	81.36	78.41	75.17	73.74	73.33	73.92	70.9	68.52	67.27	64.58	62.16	63.13	63.03	63.07	63.36	61.67				62.515	2015	61.67	Estimate National statistics	E
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	84	-88.70199554	17.19965901	BLZ	Belize	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population		96.7	90.4								64				74			69		71.5	2017	69	Estimate National statistics	E
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population					70					61.6				78							2013	78	Solomon Islands 2015 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	45.6	33.9	35.8	32.8	40	28.8	25	27.4													2007	27.4	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	31.23843	27.7404	24.82272				17.79611	18.38433	16.46257			14.39498	15.78699	12.95756	11.3833	11.36827				11.375785	2015	11.36827	Registration UNSD & WPP2017	CA
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	100	25.23763153	42.75731323	BGR	Bulgaria	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	45.56	42.76	40.87	39.83	41.14	39.31	41.19	42.07	44.21	47.53	42.02	41.66	42.5	42.02	41.3	39.36				40.33	2015	39.36	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	104	96.51752295	21.19332882	MMR	Myanmar	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	22.7	17.4				18.5	16.9	16.7						33	36					36	2014	36	Myanmar 2015-2016 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	108	29.89080992	-3.366387428	BDI	Burundi	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population		30				73.51064			50.39936	65		85				58				58	2015	58	Burundi 2016 Demographic and Health Survey (DHS)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	112	28.04940161	53.54193075	BLR	Belarus	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	27	25.8	24	23.8	22.6	21.7	22.5	22.1	22.3	22.4	20.7	20.9	22.4	22.1	20.45	18.1	16.1			18.2166666666667	2016	16.1	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	116	104.922836	12.71163737	KHM	Cambodia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population				52	47				48	46			30	57							2013	57	Cambodia 2014 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	120	12.7419827	5.692387031	CMR	Cameroon	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	136.4	141	138			150.06483			128	127					119					119	2014	119	Cameroon 2014 Multiple Indicator Cluster Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	124	-101.6575058	57.72360191	CAN	Canada	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	17.3	16.3	15	14.5	13.7	13.4	13.7	14	14.3	14.2	13.5	12.6	12	11.1							2013	11.1	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	92			92	90					62.4	80										2010	80	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	140	20.93559492	7.003720791	CAF	Central African Republic	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	166.1			132.9						229											2009	229	Central African Republic 2010 Multiple Indicator Cluster Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	30.32631	30.61976	29.17367	27.50541	25.96112	23.92406	21.18393	21.95378	20.27778												2008	20.27778	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	148	18.66618401	15.36279341	TCD	Chad	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	146		193	187				203.39999						179							2013	179	Chad 2014-2015 Demographic and Health Survey and MICS	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	152	-71.23029019	-35.2652885	CHL	Chile	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	62.7	60.6	55.9	50.7	49.2	50.4	52.7	54.8	56.5	55.9	53.5	52.3	51.62	48.39	46.05	40.6				43.325	2015	40.6	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	156	104.1403375	32.30955217	CHN	China	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	6	2.7	2.7	5.3	5.6	6.3	4.6	3.8	5.3	6.2	5.93	6.16	6.72	7.84	11.19	9.19				10.19	2015	9.19	China 2015 Annual Population Change Survey (1‰ Survey)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	170	-73.07446751	3.888209046	COL	Colombia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	80.6		92	90		96.2		85	84						75					75	2014	75	Colombia 2015 Demographic and Health Survey (DHS)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	174	43.34234565	-11.66121732	COM	Comoros	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	94.5					89					71	70									2011	70	Comoros 2012 Demographic and Health Survey and Multiple Indicator Cluster Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	175	45.14015057	-12.82217691	MYT	Mayotte	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population			108		106																2004	106	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	178	15.22052612	-0.840544119	COG	Congo	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population				131	129					147	147										2010	147	Congo 2011-2012 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population		117				124							138								2012	138	Democratic Republic of the Congo 2013-2014 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population		47					58.7				86	56				67				67	2015	67	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	85.96	76.7	70.26	70.81	69.32	66.16	65.6	67.98	70.92	68.67	62.76	65.43	67.14	61.59	59.75	55.88	53.18			56.27	2016	53.18	Registration National statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	191	17.95874553	45.45172212	HRV	Croatia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	15.56281	16.58	15.96	14.9	14.51	14.76	14.44	14.25	14.55	13.49	12.42	11.85	11.41	10.56	10.23	9.59				9.91	2015	9.59	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	192	-79.54460144	22.10030366	CUB	Cuba	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	49.54455	48.3	47.9	48.9	45.23367	43.39796	40.99595	43.56899	50.14052	52.71246	53.63293	56.30548	51.71233	51.85307	49.99762		50.41			50.20381	2016	50.41	Registration National Statistics & WPP2017	CA
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	196	33.22285964	35.05659437	CYP	Cyprus	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	9.96	5.75272	7.42	4.88541	5.85484	4.76328	6.19	3.53648	6.26	5.45	6.07	5.58	6.51	4.71	4.86	4.91				4.885	2015	4.91	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	203	15.33151382	49.73913871	CZE	Czechia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	13.16	11.48	11.6	11.43	11.39	10.98	11	11.21	11.58	11.87	11.52	11.2	11.91	11.14	11.87	11.61				11.74	2015	11.61	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	204	2.339933594	9.65401646	BEN	Benin	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	109	87.1	87		114	112				98	94				94					94	2014	94	Benin 2014 Multiple Indicator Cluster Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	208	9.326571283	56.03829721	DNK	Denmark	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	7.8	7.6	6.7	6.2	5.8	5.8	4.3	4.2	4.4	3.9	3.6	3.2	3	2.9	2.4	2.3	2.5			2.4	2016	2.5	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	212	-61.3493756	15.43391378	DMA	Dominica	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	51.6	49.7	48.1	48.4																	2003	48.4	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	118	116	86.4		95	92		96.2				90									2011	90	Dominican Republic 2013 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population		100	99.6					111													2007	111	Ecuador 2012 Encuesta Nacional de Salud y Nutrición	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	222	-88.86862995	13.73603564	SLV	El Salvador	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	104.8625	102	86.77303	82.30581		76.09335	70.2266	89			65.62633	67.37524	69.22079								2012	69.22079	Registration UNSD & WPP2017	CA
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	195.6	128							177		176										2010	176	Equatorial Guinea 2011 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	231	39.63505296	8.631223181	ETH	Ethiopia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population			109	104			91		87	79				71.2	80					80	2014	80	Ethiopia 2016 Demographic and Health Survey (DHS)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	232	38.11074289	16.12894644	ERI	Eritrea	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	77		97					84	76												2008	76	Eritrea 2010 Population and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	233	25.84093481	58.68487172	EST	Estonia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	26.36	24.81	22.96	22	22.61	22.57	22.93	25.09	23.8	21.04	17.5	16.21	15.27	16.3	15.6	12.54				14.07	2015	12.54	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	18.3	13.6	15.2	16.3	15.5	9.8	9.2	9.2	17.5	17.3	16.3	17.6	12.2	18.9	14.6	7.3				10.95	2015	7.3	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	242	177.9660884	-17.83301566	FJI	Fiji	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population			34.8		31.01153				27.51606						40					40	2014	40	Estimate National statistics	E
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	246	23.308447	61.91586738	FIN	Finland	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	9.96	10.61	11.17	10.34	10.61	10.28	9.44	9.1	8.63	8.48	8.42	7.7	7.51	7.29772	7.24	6.15				6.695	2015	6.15	Registration National Statistics (Eurostat)	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	248	19.80945969	60.1544901	ALA	Åland Islands	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	250	2.457288129	46.62660861	FRA	France	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	8.19	8.41	7.96	7.68	7.76	7.62	7.48	7.4	7.45	7.3	7.16	6.97	6.97	6.56	6.23	5.58	5			5.60333333333333	2016	5	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	254	-53.23619089	3.922673437	GUF	French Guiana	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	126.7846	116.2992	110.9922	103.1825	84.4	84.87166	87.19694	86.6562													2007	86.6562	Registration UNSD & WPP2017	CA
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	63	61	59	55	46	52	50							39.6							2013	39.6	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	262	42.18274707	11.56004161	DJI	Djibouti	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	27									20.6	20.6										2010	20.6	Djibouti 2012 Family Health Survey	C
