series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	56	4.660976456	50.64104975	BEL	Belgium	1	FEMALE	PERCENT	Female	Percentage	23.3333	23.3333	23.3333	23.3333	35.3333	34.6667	34.6667	34.6667	35.3333	35.3333	38	39.3333	38	38	41.3333	39.3333	39.3333	38	38	39.19998	2018	38	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	60	-64.78155012	32.27881922	BMU	Bermuda	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	64	90.45098484	27.39598568	BTN	Bhutan	1	FEMALE	PERCENT	Female	Percentage	2	9.3333	9.3333	9.3333	9.3333	9.3333	9.3333	2.6667	2.6667	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	8.5106	2018	8.5106	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	FEMALE	PERCENT	Female	Percentage	11.5385	11.5385	11.5385	18.4615	18.4615	19.2308	16.9231	16.9231	16.9231	16.9231	22.3077	25.3846	25.3846	25.3846	25.3846	53.0769	53.0769	53.0769	53.0769	47.53844	2018	53.0769	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	FEMALE	PERCENT	Female	Percentage	7.1429	7.1429	16.6667	16.6667	16.6667	16.6667	16.6667	14.2857	11.9048	11.9048	19.0476	16.6667	21.4286	21.4286	21.4286	21.4286	21.4286	21.4286	21.4286	21.4286	2018	21.4286	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	72	23.81380223	-22.18810073	BWA	Botswana	1	FEMALE	PERCENT	Female	Percentage	17.0213	17.0213	17.0213	17.0213	17.0213	11.1111	11.1111	11.1111	11.1111	11.1111	7.9365	7.9365	7.9365	7.9365	9.5238	9.5238	9.5238	9.5238	9.5238	9.5238	2018	9.5238	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	76	-53.08432878	-10.77668561	BRA	Brazil	1	FEMALE	PERCENT	Female	Percentage	5.653	5.653	6.8226	8.577	8.577	8.577	8.577	8.7719	8.9669	8.9669	8.7719	8.577	8.577	8.577	8.577	8.9669	9.9415	10.7212	10.7212	9.78556	2018	10.7212	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	84	-88.70199554	17.19965901	BLZ	Belize	1	FEMALE	PERCENT	Female	Percentage	6.8966	6.8966	6.8966	6.8966	3.3333	6.6667	6.6667	6.6667	3.3333	0	0	0	0	3.125	3.125	3.125	3.125	9.375	9.375	5.625	2018	9.375	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	FEMALE	PERCENT	Female	Percentage	2.0408	2.0408	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2018	2	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	FEMALE	PERCENT	Female	Percentage																		9.0909	9.0909	9.0909	2018	9.0909	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	100	25.23763153	42.75731323	BGR	Bulgaria	1	FEMALE	PERCENT	Female	Percentage	10.8333	10.8333	26.25	26.25	26.25	26.25	22.0833	22.0833	21.6667	21.6667	20.8333	20.8333	20.8333	22.9167	24.5833	20.4167	20.4167	19.1667	23.75	21.66668	2018	23.75	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	104	96.51752295	21.19332882	MMR	Myanmar	1	FEMALE	PERCENT	Female	Percentage												4.2945	3.5443	6.0325	5.5944	6.1905	9.9307	10.1617	10.1617	8.4078	2018	10.1617	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	108	29.89080992	-3.366387428	BDI	Burundi	1	FEMALE	PERCENT	Female	Percentage	5.9829	14.4068	19.5266	18.4358	18.4358	18.4358	30.5085	30.5085	30.5085	30.5085	31.3559	32.0755	30.4762	30.4762	30.4762	30.4762	36.3636	36.3636	36.3636	34.00864	2018	36.3636	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	112	28.04940161	53.54193075	BLR	Belarus	1	FEMALE	PERCENT	Female	Percentage	9.0909	9.0909	10.3093	10.3093	10.3093	29.3578	29.0909	29.0909	29.0909	31.8182	31.8182	31.8182	31.8182	26.6055	26.6055	27.2727	27.2727	34.5455	34.5455	30.04838	2018	34.5455	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	116	104.922836	12.71163737	KHM	Cambodia	1	FEMALE	PERCENT	Female	Percentage	8.1967	7.377	7.377	7.377	9.7561	9.7561	9.7561	9.7561	19.5122	16.2602	21.1382	21.1382	20.3252	20.3252	20.3252	20.3252	20.3252	20.3252	20.3252	20.3252	2018	20.3252	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	120	12.7419827	5.692387031	CMR	Cameroon	1	FEMALE	PERCENT	Female	Percentage	5.5556	5.5556	5.5556	8.8889	8.8889	8.8889	8.8889	8.8889	13.8889	13.8889	13.8889	13.8889	13.8889	13.8889	31.1111	31.1111	31.1111	31.1111	31.1111	31.1111	2018	31.1111	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	124	-101.6575058	57.72360191	CAN	Canada	1	FEMALE	PERCENT	Female	Percentage	20.598	20.598	20.598	20.598	20.598	21.1039	20.7792	20.7792	21.3115	22.0779	22.0779	22.0779	24.7557	24.6753	25.0814	25.1634	26.0355	26.2687	27.003	25.9104	2018	27.003	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	FEMALE	PERCENT	Female	Percentage	11.1111	11.1111	11.1111	11.1111	11.1111	11.1111	15.2778	15.2778	18.0556	18.0556	18.0556	18.0556	20.8333	20.8333	20.8333	20.8333	20.8333	23.6111	23.6111	21.94442	2018	23.6111	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	140	20.93559492	7.003720791	CAF	Central African Republic	1	FEMALE	PERCENT	Female	Percentage	7.3394	7.3394	7.3394	7.3394			10.4762	10.4762	10.4762	10.4762	9.6154		12.5	12.5				8.5714	8.5714	8.5714	2018	8.5714	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	FEMALE	PERCENT	Female	Percentage	4.8889	4.4444	4.4444	4.4444	4.4444	4.8889	4.8889	4.8889	5.7778	5.7778	5.7778	5.3333	5.7778	5.7778	5.7778	5.7778	5.7778	5.7778	5.7778	5.7778	2018	5.7778	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	148	18.66618401	15.36279341	TCD	Chad	1	FEMALE	PERCENT	Female	Percentage	2.4	2.4	2.4	5.8065	5.8065	6.4516	6.4516	6.4516	5.1613	5.1613	5.1613	5.1613	12.766	14.8936	14.8936	14.8936	14.8936	12.766	12.766	14.04256	2018	12.766	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	152	-71.23029019	-35.2652885	CHL	Chile	1	FEMALE	PERCENT	Female	Percentage	10.8333	10.8333	12.5	12.5	12.5	12.5	15	15	15	15	14.1667	14.1667	14.1667	14.1667	15.8333	15.8333	15.8333	15.8333		15.8333	2017	15.8333	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	156	104.1403375	32.30955217	CHN	China	1	FEMALE	PERCENT	Female	Percentage	21.8194	21.7828	21.7828	21.7828	20.2345	20.2345	20.2685	20.2685	20.621	21.3257	21.3257	21.3257	21.323	21.323	23.4014	23.6228	23.6228	23.703	24.2476	23.71952	2018	24.2476	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	170	-73.07446751	3.888209046	COL	Colombia	1	FEMALE	PERCENT	Female	Percentage	11.8012	11.8012	11.8012	12.0482	12.0482	12.0482	12.1212	8.4337	8.4337	8.4337	8.4337	12.6506	12.1212	12.1212	12.1212	19.8795	19.8795	18.6747	18.6747	17.84592	2018	18.6747	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	174	43.34234565	-11.66121732	COM	Comoros	1	FEMALE	PERCENT	Female	Percentage						3.0303	3.0303	3.0303	3.0303	3.0303	3.0303	3.0303	3.0303	3.0303	3.0303		3.0303	6.0606	6.0606	4.54545	2018	6.0606	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	175	45.14015057	-12.82217691	MYT	Mayotte	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	178	15.22052612	-0.840544119	COG	Congo	1	FEMALE	PERCENT	Female	Percentage	12	12	12	9.3023	8.5271	8.5271	8.5271	8.5271	7.2993	7.2993	7.2993	7.2993	7.2993	7.3529	7.3529	7.3529	7.3529	7.3529	11.2583	8.13398	2018	11.2583	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	FEMALE	PERCENT	Female	Percentage					12	12	12	8.4	8.4	8.4	8.4	8.4	8.9431	8.9431	10.6426	8.9431	8.9431	8.9431	8.9431	9.283	2018	8.9431	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	FEMALE	PERCENT	Female	Percentage	19.2982	19.2982	19.2982	35.0877	35.0877	35.0877	35.0877	38.5965	36.8421	36.8421	36.8421	38.5965	38.5965	38.5965	38.5965	33.3333	33.3333	35.0877	35.0877	35.0877	2018	35.0877	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	191	17.95874553	45.45172212	HRV	Croatia	1	FEMALE	PERCENT	Female	Percentage	0	20.5298	20.5298	20.5298	17.7632	21.7105	21.7105	21.7105	20.915	20.915	23.5294	23.5294	23.8411	23.8411	23.8411	25.8278	15.2318	19.8675	18.543	20.66224	2018	18.543	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	192	-79.54460144	22.10030366	CUB	Cuba	1	FEMALE	PERCENT	Female	Percentage	27.6206	27.6206	27.6206	35.9606	35.9606	35.9606	35.9606	35.9606	43.1596	43.1596	43.1596	43.1596	45.2218	45.2218	48.8562	48.8562	48.8562	48.8562	48.8562	48.8562	2018	48.8562	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	196	33.22285964	35.05659437	CYP	Cyprus	1	FEMALE	PERCENT	Female	Percentage	5.3571	7.1429	10.7143	10.7143	10.7143	16.0714	16.0714	14.2857	14.2857	14.2857	12.5	12.5	10.7143	10.7143	12.5	12.5	12.5	17.8571	17.8571	14.64284	2018	17.8571	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	203	15.33151382	49.73913871	CZE	Czechia	1	FEMALE	PERCENT	Female	Percentage	15	15	15	17	17	17	17	15.5	15.5	15.5	15.5	22	22	22	19.5	19	20	20	22	20.1	2018	22	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	204	2.339933594	9.65401646	BEN	Benin	1	FEMALE	PERCENT	Female	Percentage	6.0241	6.0241	6.0241	6.0241	7.2289	7.2289	7.2289	7.2289	10.8434	10.8434	10.8434	10.8434	8.4337	8.4337	8.4337	8.4337	7.2289	7.2289	7.2289	7.71082	2018	7.2289	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	208	9.326571283	56.03829721	DNK	Denmark	1	FEMALE	PERCENT	Female	Percentage	37.4302	37.4302	37.9888	37.9888	37.9888	37.9888	36.8715	36.8715	37.9888	37.9888	37.9888	37.9888	39.1061	39.1061	39.1061	37.9888	37.4302	37.4302	37.4302	37.8771	2018	37.4302	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	212	-61.3493756	15.43391378	DMA	Dominica	1	FEMALE	PERCENT	Female	Percentage	18.75	18.75	18.75	18.75	18.75	19.3548	12.9032	12.9032	16.129	18.75	14.2857	12.5	12.5	12.5	12.9032	21.875	21.875	25	25	21.33064	2018	25	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	FEMALE	PERCENT	Female	Percentage	16.1074	16.1074	16.1074	17.3333	17.3333	17.3333	17.3333	19.6629	19.6629	19.6629	19.6629	20.765	20.765	20.765	20.765	20.765	20.765	26.8421	26.8421	23.19584	2018	26.8421	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	FEMALE	PERCENT	Female	Percentage	17.3554	14.6341	14.6341	16	16	16	16	25	25	27.6316	32.2581	32.2581	32.2581	32.2581	41.6058	41.6058	41.6058	41.6058	37.9562	40.87588	2018	37.9562	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	222	-88.86862995	13.73603564	SLV	El Salvador	1	FEMALE	PERCENT	Female	Percentage	16.6667	9.5238	9.5238	9.5238	10.7143	10.7143	10.7143	16.6667	16.6667	19.0476	19.0476	19.0476	19.0476	26.1905	26.1905	27.381	32.1429	32.1429	32.1429	30.00004	2018	32.1429	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	FEMALE	PERCENT	Female	Percentage	5	5	5	5	5	18	18	18	18	6	10	10	10	10	24	24	24	24	20	23.2	2018	20	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
