"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Location_Code","Location_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"BDI","29.89080992","-3.366387428","108","Burundi","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","G","","","G","E","G","E","G","E","G","E","E","","","","","","Source: Global Tracking Framework 2018","","","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","","","","","","1.04","","","1.20","0.10","1.00","0.50","1.20","0.95","2.00","1.42","1.65",2016.0,"1.65"
"BDI","29.89080992","-3.366387428","108","Burundi","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","G","E","E","G","E","G","E","G","E","G","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","52.47","52.25","52.03","51.81","51.59","45.05","51.18","50.99","39.60","50.64","49.00","50.34","58.50","50.07","52.10","49.81","49.68",2016.0,"49.68"
"BLR","28.04940161","53.54193075","112","Belarus","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00"
"BLR","28.04940161","53.54193075","112","Belarus","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00"
"BLR","28.04940161","53.54193075","112","Belarus","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00"
"KHM","104.922836","12.71163737","116","Cambodia","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","G","E","E","G","E","G","E","E","G","E","G","E","E","E","G","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","16.60","17.74","19.81","19.30","23.94","20.50","28.08","30.18","26.40","34.44","31.10","38.78","40.96","43.16","56.10","47.57","49.77",2016.0,"49.77"
"KHM","104.922836","12.71163737","116","Cambodia","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","G","E","E","G","E","G","E","E","G","E","G","E","E","E","G","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","9.00","7.18","9.05","7.72","12.75","12.60","16.47","18.36","13.10","22.18","18.80","26.03","27.96","29.88","49.20","34.13","36.46",2016.0,"36.46"
"KHM","104.922836","12.71163737","116","Cambodia","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","G","E","E","G","E","G","E","E","G","E","G","E","E","E","G","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","60.60","63.67","66.26","68.85","71.45","66.80","76.66","79.28","87.00","84.56","91.30","89.88","92.56","95.23","96.90","98.98","100.00",2016.0,"100.00"
"DZA","2.678164227","28.15940032","12","Algeria","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","G","E","E","E","G","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","98.97","98.94","98.91","98.87","98.83","98.80","98.77","98.77","99.30","98.83","98.88","98.96","98.76","99.13","99.23","99.34","99.44",2016.0,"99.44"
"DZA","2.678164227","28.15940032","12","Algeria","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","G","E","E","E","G","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","97.57","97.56","97.52","97.47","97.42","97.37","97.33","97.33","97.91","97.46","97.59","97.77","97.86","98.19","98.43","98.69","98.96",2016.0,"98.96"
"DZA","2.678164227","28.15940032","12","Algeria","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","G","E","E","E","G","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","99.90","99.84","99.78","99.72","99.66","99.61","99.56","99.53","100.00","99.51","99.51","99.51","99.26","99.55","99.58","99.61","99.63",2016.0,"99.63"
"CMR","12.7419827","5.692387031","120","Cameroon","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","G","G","E","E","G","E","G","G","E","E","E","G","E","E","G","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","41.00","46.20","44.05","45.12","47.10","47.26","49.00","48.20","50.57","51.72","52.88","53.70","55.25","56.45","56.80","58.87","60.07",2016.0,"60.07"
