"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"SVN","14.82209486","46.11958061","705","Slovenia","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","","","","","NA","NA","NA","NA","NA","NA","NA","","","","","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","","","","3.39119","2.5562","0.82202","0.94406","0.52972","0.54809","1.6207",2016.0,"1.6207"
"ESP","-3.554078296","40.39211472","724","Spain","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","360.06374","366.18409","613.4728","827.09078","1049.33306","475.18504","119.28513","124.19932","80.8508","67.47201","77.26093",2016.0,"77.26093"
"SWE","14.3775338","60.60103109","752","Sweden","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","301.56875","334.80449","324.90667","393.20107","289.03973","331.62982","399.90594","404.43302","357.85503","329.35387","327.2047",2016.0,"327.2047"
"CHE","8.223158","46.96617097","756","Switzerland","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","255.84715","234.0031","251.56993","229.09286","218.85771","229.72795","251.75133","271.40214","368.12295","372.15393","372.32278",2016.0,"372.32278"
"GBR","-2.23830539","53.27691757","826","United Kingdom of Great Britain and Northern Ireland","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","373.72935","1066.07866","1111.24122","1237.68874","1165.34517","1228.49538","1251.73199","1286.92338","1446.21501","2012.73892","1865.12749",2016.0,"1865.12749"
"USA","-99.13830311","39.5277871","840","United States of America","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","5151.2552","3794.91781","4006.50016","3936.21118","4504.69906","4298.40129","3740.70559","3477.86722","3241.9306","2872.79089","2702.11976",2016.0,"2702.11976"
"AFG","66.02688198","33.83160199","4","Afghanistan","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALB","20.06660928","41.13897007","8","Albania","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATA","21.47585697","-80.40897662","10","Antarctica","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZA","2.678164227","28.15940032","12","Algeria","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASM","-170.7187269","-14.30587306","16","American Samoa","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AND","1.576257417","42.54548611","20","Andorra","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGO","17.57817062","-12.33724746","24","Angola","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATG","-61.7999755","17.07761471","28","Antigua and Barbuda","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZE","50.01064725","40.39229544","31","Azerbaijan","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARG","-65.14563274","-35.19446255","32","Argentina","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHS","-78.05111663","24.69546597","44","Bahamas","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHR","50.5490754","26.04407747","48","Bahrain","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGD","89.17660788","22.86961622","50","Bangladesh","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARM","44.93839317","40.29499741","51","Armenia","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRB","-59.5346489","13.13648273","52","Barbados","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMU","-64.78155012","32.27881922","60","Bermuda","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTN","90.45098484","27.39598568","64","Bhutan","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOL","-64.66224284","-16.71273412","68","Bolivia (Plurinational State of)","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIH","17.78584332","44.16845548","70","Bosnia and Herzegovina","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWA","23.81380223","-22.18810073","72","Botswana","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBMDL","Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
