"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Age_Code","Age_Desc","Sex_Code","Sex_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2005","Footnotes_2010","Footnotes_2015","Footnotes_2016","Nature_Code_2000","Nature_Code_2005","Nature_Code_2010","Nature_Code_2015","Nature_Code_2016","Source_2000","Source_2005","Source_2010","Source_2015","Source_2016","TimeDetail_2000","TimeDetail_2005","TimeDetail_2010","TimeDetail_2015","TimeDetail_2016","Value_2000","Value_2005","Value_2010","Value_2015","Value_2016","Latest_Year","Latest_Value"
"BDI","29.89080992","-3.366387428","108","Burundi","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","FEMALE","Female","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","24.7","23.8","23.1","22.7","22.7",2016.0,"22.7"
"BDI","29.89080992","-3.366387428","108","Burundi","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","MALE","Male","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","22.3","21.8","22.5","23","23.1",2016.0,"23.1"
"BLR","28.04940161","53.54193075","112","Belarus","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","34","34.7","31","24.5","23.7",2016.0,"23.7"
"BLR","28.04940161","53.54193075","112","Belarus","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","FEMALE","Female","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","22.1","21.6","18.4","14.4","13.8",2016.0,"13.8"
"BLR","28.04940161","53.54193075","112","Belarus","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","MALE","Male","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","47.2","49.2","45.2","36.4","35.2",2016.0,"35.2"
"KHM","104.922836","12.71163737","116","Cambodia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","25.5","24","22.2","21.3","21.1",2016.0,"21.1"
"KHM","104.922836","12.71163737","116","Cambodia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","FEMALE","Female","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","23.7","21.7","20.3","19.4","19.1",2016.0,"19.1"
"KHM","104.922836","12.71163737","116","Cambodia","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","MALE","Male","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","27.7","26.9","24.9","24","23.9",2016.0,"23.9"
"DZA","2.678164227","28.15940032","12","Algeria","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","21.1","17.6","15.4","14.4","14.2",2016.0,"14.2"
"DZA","2.678164227","28.15940032","12","Algeria","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","FEMALE","Female","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","19.1","16.2","14.4","13.3","13.2",2016.0,"13.2"
"DZA","2.678164227","28.15940032","12","Algeria","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","MALE","Male","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","23.1","18.9","16.4","15.4","15.2",2016.0,"15.2"
"CMR","12.7419827","5.692387031","120","Cameroon","3","Ensure healthy lives and promote well-being for all at all ages","3.4","By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","1","SH_DTH_NCOM","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","2019.Q1.G.01","30-70","30 to 70 years old","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","","","M","M","M","M","M","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018","","","","","","24.5","22.8","21.8","21.8","21.6",2016.0,"21.6"
