"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"BEL","4.660976456","50.64104975","56","Belgium","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","221.45705","200.24789","263.03073","272.57302","476.26062","366.99353","404.95239","124.25365","172.91577","237.36626","207.61882","159.04556",2016.0,"159.04556"
"NOR","11.47846389","61.34311134","578","Norway","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","233.54905","310.88906","380.4632","443.53384","510.37894","396.09945","522.93997","419.65403","592.12356","487.32184","320.53235","330.69324",2016.0,"330.69324"
"POL","19.40660158","52.1226733","616","Poland","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","","","","","","","","","NA","NA","NA","NA","","","","","","","","","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","","","","","","","","","3.13205","21.77045","29.98077","75.6554",2016.0,"75.6554"
"PRT","-7.961599811","39.68509315","620","Portugal","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","41.72649","8.93069","57.10769","15.29522","77.74754","47.80693","21.7521","19.91349","19.91178","40.59177","24.40862","4.10081",2016.0,"4.10081"
"SVK","19.48495604","48.70741446","703","Slovakia","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","","","","","","","","","NA","NA","NA","NA","","","","","","","","","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","","","","","","","","","0.89797","0.8343","0.86257","0.75839",2016.0,"0.75839"
"SVN","14.82209486","46.11958061","705","Slovenia","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","","","","","","NA","NA","NA","NA","NA","NA","NA","","","","","","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","","","","","","3.83663","2.33512","1.08145","1.89993","0.37357","0.11268","1.16437",2016.0,"1.16437"
"ESP","-3.554078296","40.39211472","724","Spain","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","348.91526","665.14022","543.92425","705.36275","738.94943","1120.77222","517.62177","74.71695","80.21204","106.82522","50.41078","41.57334",2016.0,"41.57334"
"SWE","14.3775338","60.60103109","752","Sweden","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","220.13634","333.45504","335.94052","286.27218","338.29767","345.2647","284.35604","316.35086","407.89144","371.16772","285.20582","337.78906",2016.0,"337.78906"
"CHE","8.223158","46.96617097","756","Switzerland","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","296.92858","247.17659","250.18","305.10462","204.00737","301.31516","347.12912","267.26855","467.64308","394.33865","306.5319","355.20178",2016.0,"355.20178"
"GBR","-2.23830539","53.27691757","826","United Kingdom of Great Britain and Northern Ireland","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","665.05994","553.37679","417.84108","1515.58913","1787.59389","912.1773","715.22587","846.92929","870.64676","905.26712","1553.9999","833.63307",2016.0,"833.63307"
"USA","-99.13830311","39.5277871","840","United States of America","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","","4200.62348","5305.28911","5432.11375","7191.38861","5000.43582","4860.15549","3949.54516","3246.10304","3974.58806","3000.86042","3428.50271","2901.02634",2016.0,"2901.02634"
"AFG","66.02688198","33.83160199","4","Afghanistan","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALB","20.06660928","41.13897007","8","Albania","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATA","21.47585697","-80.40897662","10","Antarctica","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDCMDL","Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
