"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2005","Footnotes_2016","Nature_Code_2005","Nature_Code_2016","Source_2005","Source_2016","TimeDetail_2005","TimeDetail_2016","Value_2005","Value_2016","Latest_Year","Latest_Value"
"","","","158","Other non-specified areas","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","10.88","5.16",2016.0,"5.16"
"COL","-73.07446751","3.888209046","170","Colombia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","41.07","33.53",2016.0,"33.53"
"COK","-159.7711391","-21.22696458","184","Cook Islands","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","3.7","21.62",2016.0,"21.62"
"CRI","-84.19712782","9.970998683","188","Costa Rica","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","20.09","19.61",2016.0,"19.61"
"HRV","17.95874553","45.45172212","191","Croatia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","31.4","22.63",2016.0,"22.63"
"CYP","33.22285964","35.05659437","196","Cyprus","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","16.96","19.56",2016.0,"19.56"
"AND","1.576257417","42.54548611","20","Andorra","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","","","24.59","61.7",2016.0,"61.7"
"CZE","15.33151382","49.73913871","203","Czechia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","","","16.83","9.76",2016.0,"9.76"
"DNK","9.326571283","56.03829721","208","Denmark","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","27.89","28.63",2016.0,"28.63"
"DMA","-61.3493756","15.43391378","212","Dominica","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","21.03","22.83",2016.0,"22.83"
"DOM","-70.49847576","18.89832088","214","Dominican Republic","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","","","62.02","52.89",2016.0,"52.89"
"ECU","-78.37005241","-1.447785891","218","Ecuador","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","","","63.07","39.6",2016.0,"39.6"
"SLV","-88.86862995","13.73603564","222","El Salvador","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","","","28.77","23.88",2016.0,"23.88"
"EST","25.84093481","58.68487172","233","Estonia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","25.64","24.11",2016.0,"24.11"
"FRO","-7.122044325","62.21228119","234","Faroe Islands","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","","","26.09","22.18",2016.0,"22.18"
"AGO","17.57817062","-12.33724746","24","Angola","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","63.69","45.76",2016.0,"45.76"
"FJI","177.9660884","-17.83301566","242","Fiji","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","8.65","23.13",2016.0,"23.13"
"FIN","23.308447","61.91586738","246","Finland","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","13.27","19.21",2016.0,"19.21"
"FRA","2.457288129","46.62660861","250","France","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","","","36.55","27.02",2016.0,"27.02"
"GEO","43.3713615","42.04813028","268","Georgia","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","54.19","13.35",2016.0,"13.35"
"DEU","10.3806066","51.08862743","276","Germany","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","23.71","21.71",2016.0,"21.71"
"ATG","-61.7999755","17.07761471","28","Antigua and Barbuda","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","27.01","44.34",2016.0,"44.34"
"GHA","-1.205623522","7.964825185","288","Ghana","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","30.61","12.79",2016.0,"12.79"
"GIB","-5.347561686","36.13895036","292","Gibraltar","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","54.8","26.8",2016.0,"26.8"
"KIR","-157.5643005","1.768837732","296","Kiribati","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","2.58","5.29",2016.0,"5.29"
"GRC","22.58307827","39.47301873","300","Greece","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","UN-CTS: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems","","","29.75","25.28",2016.0,"25.28"
"GRL","-41.39371316","74.75625681","304","Greenland","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","WPB-ICPR: World Prison Brief-Institute for Criminal Policy Research ","","","8.11","22.57",2016.0,"22.57"
"GRD","-61.68248568","12.11238395","308","Grenada","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.3","Promote the rule of law at the national and international levels and ensure equal access to justice for all","16.3.2","Unsentenced detainees as a proportion of overall prison population","1","VC_PRS_UNSEC","Unsentenced detainees as a proportion of overall prison population (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","2005: Data refer to 3 year average 2003-2005","2016: Data refer to 3 year average 2014-2016","C","C","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","UN-CTS/WPB-ICPR: United Nations Survey on Crime Trends and Operations of Criminal Justice Systems and World Prison Brief-Institute for Criminal Policy Research","","","19.57","17.73",2016.0,"17.73"
