SELECT,seriesCode,countryAttributeId,seriesId,seriesName,sourceId,tableId,newSeriesName,units,multiplier,baseYear,dim_expenditureType,dim_pesonnelType,dim_industry,dim_typeOfSpecies,dim_typeOfODA,dim_location,dim_ageGroup,dim_sex,dim_educationLevel
,RD-Govt,,206,Gross domestic expenditure on R & D: Government (%),76,6,Gross domestic expenditure on R & D: Government,Percent,,,,,,,,,,,
,RD-HighEd,,207,Gross domestic expenditure on R & D: Higher education (%),76,6,Gross domestic expenditure on R & D: Higher education,Percent,,,,,,,,,,,
,RD-NotDis,,208,Gross domestic expenditure on R & D: Not distributed (%),76,6,Gross domestic expenditure on R & D: Not distributed,Percent,,,,,,,,,,,
,RD-PrivNP,,209,Gross domestic expenditure on R & D: Private non-profit (%),76,6,Gross domestic expenditure on R & D: Private non-profit,Percent,,,,,,,,,,,
,Inftmort,,253,"Infant mortality for both sexes (per 1,000 live births) ",35,8,Infant mortality ratio,"Number of deaths per 1,000 live births",,,,,,,,,,BOTH,
,LifeEx,,36,Life expectancy at birth for both sexes (years),87,8,Life expectancy at birth,Number of years,,,,,,,,,,BOTH,
,LifeEx_f,,268,Life expectancy at birth for females (years),87,8,Life expectancy at birth,Number of years,,,,,,,,,,FEMALE,
,LifeEx_m,,269,Life expectancy at birth for males (years),87,8,Life expectancy at birth,Number of years,,,,,,,,,,MALE,
,matmortbk,,1159,"Maternal mortality ratio (deaths per 100,000 population)",43,8,Maternal mortality ratio,"Number of deaths per 1,000 population",,,,,,,,,,,
,popgrow,,13,Population annual rate of increase (percent),73,8,Population annual rate of increase,Percent,,,,,,,,,,,
,Tot_Fer,,392,Total fertility rate (children per women) ,87,8,Total fertility rate,Number of children per women,,,,,,,,,,,
,mjtradexp1,12,11,Major trading partner 1 (% of exports),95,14,Major trading partner 1 (% of exports),Percent,,,,,,,,,,,
,mjtradimp1,13,16,Major trading partner 1 (% of imports),95,14,Major trading partner 1 (% of imports),Percent,,,,,,,,,,,
,mjtradexp2,14,12,Major trading partner 2 (% of exports),95,14,Major trading partner 2 (% of exports),Percent,,,,,,,,,,,
,mjtradimp2,15,18,Major trading partner 2 (% of imports),95,14,Major trading partner 2 (% of imports),Percent,,,,,,,,,,,
,mjtradexp3,16,15,Major trading partner 3 (% of exports),95,14,Major trading partner 3 (% of exports),Percent,,,,,,,,,,,
,mjtradimp3,17,19,Major trading partner 3 (% of imports),95,14,Major trading partner 3 (% of imports),Percent,,,,,,,,,,,
X,Agri_va,,1581,"Agriculture, hunting, forestry and fishing (% of gross value added)",37,18,Gross value added by industry,Percent of total gross value added,,,,,"Agriculture, hunting, forestry and fishing",,,,,,
X,ind_va,,1582,Industry (% of gross value added),37,18,Gross value added by industry,Percent of total gross value added,,,,,Industry,,,,,,
X,serv_va,,1583,Services (% of gross value added),37,18,Gross value added by industry,Percent of total gross value added,,,,,Services,,,,,,
,gdp_cons,,196,GDP in constant 2010 prices (millions of US dollars),37,19,GDP in constant prices,US dollars,6,2010,,,,,,,,,
,gdp_curr,,198,GDP in current prices (millions of US dollars),37,19,GDP in current prices,US dollars,6,,,,,,,,,,
,gdp_pc,,194,GDP per capita (US dollars),37,19,GDP per capita,US dollars,,,,,,,,,,,
,gr_rate,,195,GDP real rates of growth (percent),37,19,GDP real rates of growth,Percent,,,,,,,,,,,
,BasMetal,,228,Index of industrial production: Basic metals (Index base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Basic metals,,,,,,
,ChemPRPPr,,233,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",74,23,Index of industrial production,Index,,2005=100,,,"Chemicals, petroleum, rubber and plastic products",,,,,,
,ElecGasW,,236,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",74,23,Index of industrial production,Index,,2005=100,,,"Electricity, gas and water",,,,,,
,ElGsStACsu,,1445,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",74,23,Index of industrial production,Index,,2005=100,,,"Electricity, gas, steam",,,,,,
,FoodBevTb,,239,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",74,23,Index of industrial production,Index,,2005=100,,,"Food, beverages and tobacco",,,,,,
,Mach,,1579,Index of industrial production: Machinery (Index base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Machinery,,,,,,
,TotManuf,,250,Index of industrial production: Manufacturing (Index base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Manufacturing,,,,,,
,MetalProd,,243,Index of industrial production: Metal products (Index base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Metal products,,,,,,
,Met+MetPro,,1378,Index of industrial production: Metal products and machinery (Index Base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Metal products and machinery,,,,,,
,TotMining,,251,Index of industrial production: Mining (Index base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Mining,,,,,,
,MinManuf,,241,Index of industrial production: Mining and manufacturing (Index base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Mining and manufacturing,,,,,,
,miscman,,1580,Index of industrial production: Miscellaneous manufacturing industries (Index base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Miscellaneous manufacturing industries,,,,,,
,TextWaLFt,,248,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",74,23,Index of industrial production,Index,,2005=100,,,"Textiles, wearing apparel, leather, footwear",,,,,,
,MinManEGW,,249,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",74,23,Index of industrial production,Index,,2005=100,,,"Total industry - Mining; manufacturing; electricity, gas and water",,,,,,
,watcolltmt,,1567,Index of industrial production: Water and waste management (Index base: 2005=100),74,23,Index of industrial production,Index,,2005=100,,,Water and waste management,,,,,,
,Agri_ind,,8,Agricultural production (Index Base: 2004-2006 = 100),11,32,Index of agricultural production,Index,,2004-2006 = 100,,,,,,,,,
,Food_ind,,188,Food production (Index Base: 2004-2006 = 100),11,32,Index of food production,Index,,2004-2006 = 100,,,,,,,,,
,I3AgriF,,1586,Employment by industry: Agriculture (%) Female,85,49,Distribution of employment by industry and sex,Percent,,,,,Agriculture,,,,,FEMALE,
,I3AgriM,,1585,Employment by industry: Agriculture (%) Male ,85,49,Distribution of employment by industry and sex,Percent,,,,,Agriculture,,,,,MALE,
,I3AgriMF,,1584,Employment by industry: Agriculture (%) Male and Female,85,49,Distribution of employment by industry and sex,Percent,,,,,Agriculture,,,,,BOTH,
,I3IndF,,1589,Employment by industry: Industry (%) Female,85,49,Distribution of employment by industry and sex,Percent,,,,,Industry,,,,,FEMALE,
,I3IndM,,1588,Employment by industry: Industry (%) Male,85,49,Distribution of employment by industry and sex,Percent,,,,,Industry,,,,,MALE,
,I3IndMF,,1587,Employment by industry: Industry (%) Male and Female,85,49,Distribution of employment by industry and sex,Percent,,,,,Industry,,,,,BOTH,
,I3ServF,,1592,Employment by industry: Services (%) Female,85,49,Distribution of employment by industry and sex,Percent,,,,,Services,,,,,FEMALE,
,I3ServM,,1591,Employment by industry: Services (%) Male ,85,49,Distribution of employment by industry and sex,Percent,,,,,Services,,,,,MALE,
,I3ServMF,,1590,Employment by industry: Services (%) Male and Female,85,49,Distribution of employment by industry and sex,Percent,,,,,Services,,,,,BOTH,
,nett_kms,,364,Railway traffic - net ton-kilometers (millions),32,57,Railway traffic - net weight-distance,Ton-kilometers,6,,,,,,,,,,
,pass_kms,,365,Railway traffic - passenger-kilometers (millions),32,57,Railway traffic - passenger-distance,Passenger-kilometers,6,,,,,,,,,,
,comm_vehs,,300,Motor vehicles in use: Commercial vehicles (thousands),32,58,Motor vehicles in use: Commercial vehicles,Number of vehicles,3,,,,,,,,,,
,pass_cars,,301,Motor vehicles in use: Passenger cars (thousands),32,58,Motor vehicles in use: Passenger cars,Number of vehicles,3,,,,,,,,,,
,vess_cle,,254,International maritime transport: Vessels cleared (thousand net registered tons),32,60,International maritime transport: Vessels cleared,Net registered tons,3,,,,,,,,,,
,vess_ent,,255,International maritime transport: Vessels entered (thousand net registered tons),32,60,International maritime transport: Vessels entered,Net registered tons,3,,,,,,,,,,
,intkmfl,,47,International traffic - kilometers flown (millions),75,61,International traffic - distance flown,Kilometers ,6,,,,,,,,,,
,intpkm,,48,International traffic - passenger-kilometres (millions),75,61,International traffic - passenger-distance,Passenger-kilometers,6,,,,,,,,,,
,intpcar,,49,International traffic - passengers carried (thousands),75,61,International traffic - passengers carried,Number of passengers,3,,,,,,,,,,
,inttonkm,,50,International traffic - total ton-kilometres (millions),75,61,International traffic - total weight-distance,Ton-kilometers,6,,,,,,,,,,
,totkmfl,,51,Total traffic - kilometres flown (millions),75,61,Total traffic - distance,Kilometers ,6,,,,,,,,,,
,totpkm,,52,Total traffic - passenger-kilometres (millions),75,61,Total traffic - passenger-distance,Passenger-kilometers,6,,,,,,,,,,
,totpcar,,53,Total traffic - passengers carried (thousands),75,61,Total traffic - passengers carried,Number of passengers,3,,,,,,,,,,
,tottonkm,,54,Total traffic - total ton-kilometres (millions),75,61,Total traffic - total weight-distance,Ton-kilometers,6,,,,,,,,,,
,Arableperc,,1576,Arable land (% of total land area),78,64,Arable land as percent of total land area,Percent,,,,,,,,,,,
,LArable,,259,Arable land (thousand hectares),78,64,Arable land area,Hectares,3,,,,,,,,,,
,forcoverpe,,1578,Forest cover (% of total land area),78,64,Forest cover as percent of total land area,Percent,,,,,,,,,,,
,Forest,,1375,Forest cover (thousand hectares),78,64,Forest cover area,Hectares,3,,,,,,,,,,
,KBAPA,,40,Important sites for terrestrial biodiversity protected (% of total sites protected),94,64,Important sites for terrestrial biodiversity protected as percent of total sites protected,Percent,,,,,,,,,,,
X,Land_area,,998,Land area (thousand hectares),78,64,Land area,Hectares,3,,,,,,,,,,
,Prmcropper,,1577,Permanent crops (% of total land area),78,64,Permanent crops as percent of total land area,Percent,,,,,,,,,,,
,LPermcrop,,262,Permanent crops (thousand hectares),78,64,Permanent crops area,Hectares,3,,,,,,,,,,
,stockchg,,1595,Changes in stocks (petajoules),29,65,Changes energy in stocks,Petajoules,,,,,,,,,,,
,netimp,,1594,Net imports [Imports - Exports - Bunkers] (petajoules),29,65,Net energy imports [Imports - Exports - Bunkers],Petajoules,,,,,,,,,,,
,totenergy,,1593,Primary energy production (petajoules),29,65,Primary energy production,Petajoules,,,,,,,,,,,
,capsupply,,1597,Supply per capita (gigajoules),29,65,Supply of energy per capity,Gigajoules,,,,,,,,,,,
,totsupply,,1596,Total supply (petajoules),29,65,Total energy supply,Petajoules,,,,,,,,,,,
,OtherSS-T,,355,R & D personnel: Other supporting staff - total (number in full-time equivalent),76,66,R & D personnel,Number of full-time equivalent staff,,,,Other supporting staff,,,,,,BOTH,
,OtherSS-F,,354,R & D personnel: Other supporting staff - women (number in full-time equivalent),76,66,R & D personnel,Number of full-time equivalent staff,,,,Other supporting staff,,,,,,FEMALE,
,ResearchT,,357,R & D personnel: Researchers - total (number in full-time equivalent),76,66,R & D personnel,Number of full-time equivalent staff,,,,Researchers,,,,,,BOTH,
,ResearchF,,356,R & D personnel: Researchers - women (number in full-time equivalent),76,66,R & D personnel,Number of full-time equivalent staff,,,,Researchers,,,,,,FEMALE,
,Tech-T,,359,R & D personnel: Technicians - total (number in full-time equivalent),76,66,R & D personnel,Number of full-time equivalent staff,,,,Technicians,,,,,,BOTH,
,Tech-F,,358,R & D personnel: Technicians - women (number in full-time equivalent),76,66,R & D personnel,Number of full-time equivalent staff,,,,Technicians,,,,,,FEMALE,
,ResTecOth,,360,R & D personnel: Total (number in full-time equivalent),76,66,R & D personnel,Number of full-time equivalent staff,,,,Total,,,,,,BOTH,
,pat_grts,,318,Grants of patents (number),44,67,Grants of patents,Number,,,,,,,,,,,
,pat_infrc,,319,Patents in force (number),44,67,Patents in force,Number,,,,,,,,,,,
,patfil_pop,,1400,Resident patent filings (per million population),44,67,Resident patent filings,Number of patents per million population,,,,,,,,,,,
X,impexpbal,10,449,Balance imports/exports (millions of US dollars),95,68,Balance imports/exports,US dollars,6,,,,,,,,,,
X,exportfob,10,172,Exports FOB (millions of US dollars),95,68,Exports FOB,US dollars,6,,,,,,,,,,
X,importcif,10,221,Imports CIF (millions of US dollars),95,68,Imports CIF,US dollars,6,,,,,,,,,,
X,Cap_acct,,1360,Balance of Payments: Capital account (millions of US dollars),16,74,Balance of Payments: Capital account,US dollars,6,,,,,,,,,,
X,Curr_acct,,1355,Balance of Payments: Current account (millions of US dollars),16,74,Balance of Payments: Current account,US dollars,6,,,,,,,,,,
X,Fin_acct,,17,Balance of Payments: Financial account (millions of US dollars),16,74,Balance of Payments: Financial account,US dollars,6,,,,,,,,,,
X,endperiod,0,165,Exchange rates: end of period (national currency per US dollar) ,96,75,Exchange rate: end of period,National currency per US dollar,,,,,,,,,,,
X,periodave,0,166,Exchange rates: period average (national currency per US dollar),96,75,Exchange rate: period average,National currency per US dollar,,,,,,,,,,,
,Biloda,,75,Net official development assistance received: Bilateral  (millions of US dollars),22,77,Net official development assistance received,US dollars,6,,,,,,Bilateral,,,,
,Muloda,,76,Net official development assistance received: Multilateral (millions of US dollars),22,77,Net official development assistance received,US dollars,6,,,,,,Multilateral,,,,
,GNI_%,,1555,Net official development assistance received: Total (as % GNI),22,77,Net official development assistance received as percent of GNI,Percent of GNI,,,,,,,Total,,,,
,Bim-Tot,,77,Net official development assistance received: Total (millions of US dollars),22,77,Net official development assistance received,US dollars,6,,,,,,Total,,,,
,asylsk,,1617,"Asylum seekers, including pending cases (number)",90,78,"Asylum seekers, including pending cases",Number,,,,,,,,,,,
X,ims%tot,,1614,International migrant stock: Both sexes (% total population),89,78,International migrant stock as percent of total population,Percent of total population,,,,,,,,,,BOTH,
X,MS:Total,,1610,International migrant stock: Both sexes (number),89,78,International migrant stock,Number,,,,,,,,,,BOTH,
X,ims%fem,,1616,International migrant stock: Female (% total Population),89,78,International migrant stock as percent of total population,Percent of total population,,,,,,,,,,FEMALE,
X,ims%male,,1615,International migrant stock: Male (% total Population),89,78,International migrant stock as percent of total population,Percent of total population,,,,,,,,,,MALE,
X,other,,1618,Other of concern to UNHCR (number),90,78,Other population of concern to UNHCR,Number,,,,,,,,,,,
X,totpopunhc,,1619,Total population of concern to UNHCR (number),90,78,Total population of concern to UNHCR,Number,,,,,,,,,,,
X,totrefugee,,1613,Total refugees and people in refugee-like situations (number),90,78,Total refugees and people in refugee-like situations,Number,,,,,,,,,,,
X,Pop-AgT%,1,265,Capital city population (as a percentage of total population),31,83,Capital city population as percent of total population,Percent of total population,,,,,,,,,,,
X,Pop_AgUr%,1,266,Capital city population (as a percentage of total urban population),31,83,Capital city population as percent of total urban population,Percent of total urban population,,,,,,,,,,,
X,Pop_Agg,1,264,Capital city population (thousands),31,83,Capital city population,Number,3,,,,,,,,,,
X,Pop_Gr%,,329,Rural population (percent growth rate per annum),31,83,Population growth rate per annum,Percent,,,,,,,,Rural,,,
X,Pop_Gu%,,330,Urban population (percent growth rate per annum),31,83,Population growth rate per annum,Percent,,,,,,,,Urban,,,
X,Pop_Ur%,,328,Urban population (percent),31,83,Urban population as percent of total populatoin,Percent of total population,,,,,,,,Urban,,,
,Water-%R,,3,"Improved drinking water sources, rural (Proportion of population with access)",42,84,Proportion of population with access to Improved drinking water sources,Percent,,,,,,,,Rural,,,
,Water-%T,,4,"Improved drinking water sources, total (Proportion of population with access)",42,84,Proportion of population with access to Improved drinking water sources,Percent,,,,,,,,Total,,,
,Water-%U,,2,"Improved drinking water sources, urban (Proportion of population with access)",42,84,Proportion of population with access to Improved drinking water sources,Percent,,,,,,,,Urban,,,
,Sanit-%R,,6,"Improved sanitation facilities, rural (Proportion of population with access)",42,84,Proportion of population with access to improved sanitation facilities,Percent,,,,,,,,Rural,,,
,Sanit-%T,,7,"Improved sanitation facilities, total (Proportion of population with access)",42,84,Proportion of population with access to improved sanitation facilities,Percent,,,,,,,,Total,,,
,Sanit-%U,,5,"Improved sanitation facilities, urban (Proportion of population with access)",42,84,Proportion of population with access to improved sanitation facilities,Percent,,,,,,,,Urban,,,
,Man_H2O_R,,55,"Safely managed drinking water sources, rural (Proportion of population with access)",42,84,Proportion of population with access to safely managed drinking water sources,Percent,,,,,,,,Rural,,,
,Man_H2O_T,,60,"Safely managed drinking water sources, total (Proportion of population with access)",42,84,Proportion of population with access to safely managed drinking water sources,Percent,,,,,,,,Total,,,
,Man_H2O_U,,56,"Safely managed drinking water sources, urban (Proportion of population with access)",42,84,Proportion of population with access to safely managed drinking water sources,Percent,,,,,,,,Urban,,,
,Man_San_R,,78,"Safely managed sanitation facilities, rural (Proportion of population with access)",42,84,Proportion of population with access to safely managed sanitation facilities,Percent,,,,,,,,Rural,,,
,Man_San_T,,61,"Safely managed sanitation facilities, total (Proportion of population with access)",42,84,Proportion of population with access to safely managed sanitation facilities,Percent,,,,,,,,Total,,,
,Man_San_U,,122,"Safely managed sanitation facilities, urban (Proportion of population with access)",42,84,Proportion of population with access to safely managed sanitation facilities,Percent,,,,,,,,Urban,,,
X,poplt15,,22,Population aged 0 to 14 years old (percentage),87,89,Share of population by age group,Percent,,,,,,,,,0-14yr,,
X,popgt60,,23,Population aged 60+ years old (percentage),87,89,Share of population by age group,Percent,,,,,,,,,60+yr,,
X,popdens,,1171,Population density,73,89,Population density,,,,,,,,,,,,
X,mdyrbk,,1160,Population mid-year estimates (millions),73,89,Population mid-year estimates,Number,6,,,,,,,,,BOTH,
X,mdyrbkf,,123,Population mid-year estimates for females (millions),73,89,Population mid-year estimates,Number,6,,,,,,,,,FEMALE,
X,mdyrbkm,,124,Population mid-year estimates for males (millions),73,89,Population mid-year estimates,Number,6,,,,,,,,,MALE,
X,sexratio,,24,Sex ratio (males per 100 females),87,89,Sex ratio (males per 100 females),Percent,,,,,,,,,,,
X,surfarea,,1170,Surface area (thousand km2),35,89,Surface area,km2,3,,,,,,,,,,
,LfFemale,,1605,Labour force participation - Female,85,94,Labour force participation,Percent,,,,,,,,,,FEMALE,
,LfMale,,1604,Labour force participation - Male,85,94,Labour force participation,Percent,,,,,,,,,,MALE,
,LfTotal,,1603,Labour force participation - Total,85,94,Labour force participation,Percent,,,,,,,,,,BOTH,
,UnFemale,,1602,Unemployment rate - Female,85,94,Unemployment rate,Percent,,,,,,,,,,FEMALE,
,UnMale,,1601,Unemployment rate - Male,85,94,Unemployment rate,Percent,,,,,,,,,,MALE,
,UnTotal,,1600,Unemployment rate - Total,85,94,Unemployment rate,Percent,,,,,,,,,,BOTH,
X,cpifood,,1606,Consumer price index: Food,34,98,Consumer Price index: food,Index,,,,,,,,,,,
X,cpigeneral,,1607,Consumer price index: General,34,98,Consumer Price index: general,Index,,,,,,,,,,,
,assist_%GN,,1608,Net official development assistance to developing countries and multilateral organizations (as % of GNI),22,103,Net official development assistance to developing countries and multilateral organizations as percent of GNI,Percent of GNI,,,,,,,,,,,
,assist_$,,1609,Net official development assistance to developing countries and multilateral organizations (millions of US$),22,103,Net official development assistance to developing countries and multilateral organizations,US dollars,6,,,,,,,,,,
,assault,,1624,"Assault rate per 100,000 population",92,104,Assault rate,"Incidents per 100,000 population",,,,,,,,,,,
,homirate,,1621,"Intentional homicide rates per 100,000",92,104,Intentional homicide rate,"Incidents per 100,000 population",,,,,,,,,,,
,kidnap,,1625,"Kidnapping at the national level, rate per 100,000",92,104,National kidnapping rate,"Incidents per 100,000 population",,,,,,,,,,,
,homivicF,,1622,"Percentage of male and female intentional homicide victims, Female									",92,104,Distribution of intentional homicide victims by sex,Percent,,,,,,,,,,FEMALE,
,homivicM,,1623,"Percentage of male and female intentional homicide victims, Male",92,104,Distribution of intentional homicide victims by sex,Percent,,,,,,,,,,MALE,
,robbery,,1628,"Robbery at the national level, rate per 100,000 population																										",92,104,National robbery rate,"Incidents per 100,000 population",,,,,,,,,,,
,theft,,1627,"Theft at the national level, rate per 100,000 population																			",92,104,National theft rate,"Incidents per 100,000 population",,,,,,,,,,,
,sviolence,,1626,"Total Sexual Violence at the national level, rate per 100,000		",92,104,Total national sexual violence rate,"Incidents per 100,000 population",,,,,,,,,,,
,int%,,1491,Percentage of individuals using the internet,18,106,Percentage of individuals using the internet,Percent,,,,,,,,,,,
,cell,,1368,Cellular mobile telephone subscriptions (number),18,107,Cellular mobile telephone subscriptions,Number,,,,,,,,,,,
,cell_100,,1367,Cellular mobile telephone subscriptions (per 100 inhabitants),18,107,Cellular mobile telephone subscriptions,Subscriptions per 100 inhabitants,,,,,,,,,,,
,staffcomp,,1638,"All staff compensation as % of total expenditure in public institutions (%)																",24,109,"Distribution of total expenditure in public institutions														",Percent,,,All staff compensation,,,,,,,,
,capexpedu,,1640,"Capital expenditure as % of total expenditure in public institutions (%)																",24,109,"Distribution of total expenditure in public institutions														",Percent,,,Capital expenditure,,,,,,,,
,currentexp,,1639,"Current expenditure other than staff compensation as % of total expenditure in public institutions (%)																",24,109,"Distribution of total expenditure in public institutions														",Percent,,,Current expenditure,,,,,,,,
,exppreprim,,1634,Expenditure by level of education: pre-primary (as % of government expenditure),24,109,Public expenditure in education as percent of government expenditure,Percent of government expenditure,,,Education,,,,,,,,Pre-primary
,expprim,,1635,Expenditure by level of education: primary (as % of government expenditure),24,109,Public expenditure in education as percent of government expenditure,Percent of government expenditure,,,Education,,,,,,,,Primary
,expsec,,1636,Expenditure by level of education: secondary (as % of government expenditure),24,109,Public expenditure in education as percent of government expenditure,Percent of government expenditure,,,Education,,,,,,,,Secondary
,exptert,,1637,Expenditure by level of education: tertiary (as % of government expenditure),24,109,Public expenditure in education as percent of government expenditure,Percent of government expenditure,,,Education,,,,,,,,Tertiary
,edugdp,,1632,Public expenditure on education (% of GDP),24,109,Public expenditure in education as percent of GDP,Percent of GDP,,,Education,,,,,,,,Total
,edugov,,1633,Public expenditure on education (% of government expenditure),24,109,Public expenditure in education as percent of government expenditure,Percent of government expenditure,,,Education,,,,,,,,Total
,gpi_primar,,1387,Ratio of girls to boys in primary education,24,115,Gender parity ratio in education,Girls to boys ratio,,,,,,,,,,,Primary
,gpi_second,,1388,Ratio of girls to boys in secondary education,24,115,Gender parity ratio in education,Girls to boys ratio,,,,,,,,,,,Secondary
,gpi_tertia,,1389,Ratio of girls to boys in tertiary education,24,115,Gender parity ratio in education,Girls to boys ratio,,,,,,,,,,,Tertiary
,treceipts,,1390,Tourism expenditure (millions of US dollars),45,116,Tourism expenditure,US dollars,6,,,,,,,,,,
,tarrivals,11,1391,Tourist/visitor arrivals (thousands),45,116,Tourist/visitor arrivals,Number,3,,,,,,,,,,
,hlth%GDP,,1572,Current health expenditure (% of GDP),91,117,Current health expenditure,Percent of GDP,,,,,,,,,,,
,hlth%govt,,1573,Domestic general government health expenditure (% of total government expenditure),91,117,Domestic general government health expenditure,Percent of government expenditure,,,,,,,,,,,
,wom_parlia,2,1425,"Seats held by women in national parliament, as of February (%)",82,134,"Seats held by women in national parliament, as of February",Percent,,,,,,,,,,,
,nofemprim,,1426,Pupil-teacher ratio in primary education,24,135,Pupil-teacher ratio,Pupil to teacher ratio,,,,,,,,,,,Primary
,nofemsec,,1427,Pupil-teacher ratio in secondary education,24,135,Pupil-teacher ratio,Pupil to teacher ratio,,,,,,,,,,,Secondary
,nofemtert,,1428,Pupil-teacher ratio in tertiary education,24,135,Pupil-teacher ratio,Pupil to teacher ratio,,,,,,,,,,,Tertiary
,noteachpri,,1429,Teachers at primary level (thousands),24,135,Number of teachers,Number,,,,,,,,,,,Primary
,noteachsec,,1430,Teachers at secondary level (thousands),24,135,Number of teachers,Number,,,,,,,,,,,Secondary
,noteachter,,1431,Teachers at tertiary level (thousands),24,135,Number of teachers,Number,,,,,,,,,,,Tertiary
,dentnum,,1511,Health personnel: Dentists (number),84,151,Health personnel,Number,,,,Dentists,,,,,,,
,dents,,1512,Health personnel: Dentists (per 1000 population),84,151,Health personnel per 1000 population,Number per 1000 population,,,,Dentists,,,,,,,
,nursmidwnu,,1513,Health personnel: Nurses and midwives (number),84,151,Health personnel,Number,,,,Nurses and midwives,,,,,,,
,nursemid,,1516,Health personnel: Nurses and midwives personnel (per 1000 population),84,151,Health personnel per 1000 population,Number per 1000 population,,,,Nurses and midwives,,,,,,,
,pharmnum,,1515,Health personnel: Pharmacists (number),84,151,Health personnel,Number,,,,Pharmacists,,,,,,,
,pharmper,,1514,Health personnel: Pharmacists (per 1000 population),84,151,Health personnel per 1000 population,Number per 1000 population,,,,Pharmacists,,,,,,,
,Physnum,,1517,Health personnel: Physicians (number),84,151,Health personnel,Number,,,,Physicians,,,,,,,
,physicianh,,1519,Health personnel: Physicians (per 1000 population),84,151,Health personnel per 1000 population,Number per 1000 population,,,,Physicians,,,,,,,
,co2,,1521,Emissions (thousand metric tons of carbon dioxide),3,152,Carbon dioxide emissions,Metric tons,3,,,,,,,,,,
,co2_percap,,1520,Emissions per capita (metric tons of carbon dioxide),3,152,Carbon dioxide emissions per capita,Metric tons per capita,,,,,,,,,,,
